SMILES,TITLE,Hybrid2,docked_fragment,site
c1cc2c(cc[nH]2)cc1C(=O)Oc3cc(cnc3)Cl,5,-12.829528,x0678,active-noncovalent
c1ccc(cc1)Cn2cc(c(n2)c3cccnc3)C=O,2497380,-12.610242,x0678,active-noncovalent
CC(=O)N1Cc2ccccc2C[C@H]1C(=O)Oc3cc(cnc3)Cl,14,-12.383274,x0107,active-noncovalent
c1cc(cc2c1cc[nH]2)C(=O)Oc3cc(cnc3)Cl,9,-12.103578,x0678,active-noncovalent
c1cc2cc[nH]c2c(c1)C(=O)Oc3cc(cnc3)Cl,12,-11.950620,x0678,active-noncovalent
COc1c(cccn1)c2ccc(cc2)N(Cc3ccsc3)C(=O)Cn4c5ccccc5nn4,17C,-11.026529,x0678,active-noncovalent
c1ccc2c(c1)c(cc(=O)[nH]2)C(=O)N3CCN(CC3)c4cccc(c4)C(F)(F)F,2449860,-11.014729,x0104,active-noncovalent
c1ccc(cc1)c2ccc(cc2)N(Cc3ccsc3)C(=O)Cn4c5ccccc5nn4,17A,-10.968197,x0678,active-noncovalent
c1ccc2c(c1)nnn2CC(=O)N(Cc3ccsc3)c4ccc(cc4)c5ccncc5,17D,-10.789346,x0678,active-noncovalent
c1ccc(cc1)N2CCN(CC2)C(=O)c3cc(=O)[nH]c4c3cccc4,2083510,-10.749320,x0107,active-noncovalent
c1cc(c2cc[nH]c2c1)C(=O)Oc3cc(cnc3)Cl,10,-10.696278,x0678,active-noncovalent
c1ccc2c(c1)nnn2CC(=O)N(Cc3ccsc3)c4ccc(cc4)c5cccnc5,17B,-10.597997,x0678,active-noncovalent
CNc1ccc(cc1)N(Cc2ccsc2)C(=O)Cn3c4ccccc4nn3,16J,-10.554366,x0107,active-noncovalent
c1cc(cnc1)OC(=O)c2ccc(cc2)Cl,6602830,-10.500870,x0678,active-noncovalent
c1cc(ccc1c2ccc(o2)C(=O)[C@H](c3cc(cnc3)Br)F)Cl,12d,-10.489427,x0107,active-noncovalent
Cc1cccc(c1C)N2CCN(CC2)C(=O)c3cc(=O)[nH]c4c3cccc4,2443805,-10.395829,x0104,active-noncovalent
Cc1c2cc(ccc2sc1C(=O)C[C@@H]3C(=C(C(=O)O3)Cl)Cl)Cl,MAC-30731,-10.304352,x0749,active-covalent
CC(C)C(=O)Nc1ccc(cc1)N(Cc2ccsc2)C(=O)Cn3c4ccccc4nn3,16B,-10.201071,x0678,active-noncovalent
c1ccc2c(c1)nnn2CC(=O)c3ccc(cc3)Cl,677475,-10.170614,x0678,active-noncovalent
c1ccc2c(c1)nnn2CC(=O)c3ccc(cc3)Br,761840,-9.808483,x0107,active-noncovalent
c1ccc2c(c1)nnn2CC(=O)N(Cc3ccsc3)c4ccc(cc4)NC(=O)C5CC5,16E,-9.786143,x0678,active-noncovalent
CCc1cc(=O)oc2c1ccc(c2)OC(=O)c3ccco3,807412,-9.750003,x0195,active-noncovalent
c1cc(ccc1c2ccc(o2)C(=O)Cc3cc(cnc3)Br)Cl,11d,-9.710086,x0107,active-noncovalent
c1cc(ccc1c2ccc(o2)C(=O)Cc3cc(cnc3)Br)Cl,11b,-9.710086,x0107,active-noncovalent
COc1ccc(cc1)N(C(=O)Cn2c3ccccc3nn2)C4(CCCCC4)C(=O)NC5CCCC5,1083882,-9.619914,x0678,active-noncovalent
c1ccc(cc1)c2csc(c2C(=O)[O-])NC(=O)/C=C/c3cccs3,1177253,-9.529073,x0104,active-noncovalent
c1cc(sc1)C(=O)Oc2cc(cnc2)Br,MAC-5576,-9.501300,x0678,active-noncovalent
C[C@@H]1CCc2c(c(n(c2O)c3cc(ccc3OC(=O)c4ccco4)Cl)O)C1,2939288,-9.458717,x1392,active-covalent
c1ccc2c(c1)/C(=C/c3c([nH]c(=O)n(c3=O)c4ccccc4F)[O-])/C=N2,135451179,-9.455291,x0946,active-noncovalent
c1ccc(cc1)Cn2c(=O)n(sc2=O)c3cccc4c3cccc4,tideglusib,-9.413855,x0678,active-noncovalent
CCC(=O)Nc1ccc(cc1)N(Cc2ccsc2)C(=O)Cn3c4ccccc4nn3,16A,-9.350317,x0678,active-noncovalent
Cc1ccc(cc1)C(=O)c2c3ccccc3n(=O)n2CCC(=O)N,24817254,-9.225680,x0161,active-noncovalent
CCOc1ccc2c(c1)C(=O)C(=O)N2C[C@H]3COc4ccccc4O3,17584476,-9.207936,x0195,active-noncovalent
COc1ccccc1/C=C/C(=O)c2cc(ccc2OC(=O)c3ccco3)Br,5734490,-9.201124,x0749,active-covalent
CC(=CC[C@@H](C1=CC(=O)c2c(ccc(c2C1=O)[O-])[O-])O)C,shikonin,-9.158545,x0195,active-noncovalent
c1cc(oc1)C(=O)Oc2cc(cnc2)Br,1,-9.152252,x0678,active-noncovalent
Cc1cc(=O)oc2c1ccc(c2)OC(=O)c3ccco3,728528,-9.151100,x0195,active-noncovalent
c1cc(cnc1)OC(=O)c2ccco2,2,-9.149232,x0678,active-noncovalent
c1ccc2c(c1)c(cs2)CN3[C@@H]4C=C[C@H](C=C4C(=O)C3=O)I,11a,-9.137547,x0072,active-noncovalent
c1ccc2c(c1)c(n(n2=O)CCC(=O)N)C(=O)c3ccc(cc3)Cl,24817257,-9.136329,x0195,active-noncovalent
c1ccc(cc1)Nc2ccc(cc2)N(Cc3ccsc3)C(=O)Cn4c5ccccc5nn4,16K,-9.090625,x0161,active-noncovalent
CC(C)c1ccc(cc1)N([C@H](c2cccnc2)C(=O)NC3CCCC3)C(=O)c4ccco4,3196509,-9.048825,x0678,active-noncovalent
CC(=O)c1cc([nH]c1N2CCCC2)c3ccccc3,880528,-8.955803,x0749,active-covalent
CC1(Cc2c(sc(c2C(=O)C1)NCc3ccco3)C#N)C,2820775,-8.930847,x0195,active-noncovalent
COc1ccc(cc1)C(=O)n2c3cc4c(cc3nc2SC)OCCO4,1008368,-8.924468,x1077,active-noncovalent
c1csc(n1)CC(=O)c2nccs2,44415173,-8.870080,x0397,active-noncovalent
CSc1c(c([nH]n1)NC(=O)c2cccs2)S(=O)(=O)c3ccccc3,44415162,-8.833296,x0678,active-noncovalent
c1ccc(cc1)NC(=O)NN(c2ccccc2)C(=O)CCl,4868361,-8.824375,x1093,active-noncovalent
COc1cc(cc(c1OC)OC)C/N=N/C(=O)Cn2c3ccccc3nn2,5509654,-8.804478,x0831,active-covalent
c1cc(ccc1c2ccc(o2)C(=O)C(c3cc(cnc3)Br)(F)F)Cl,13d,-8.795322,x0678,active-noncovalent
Cc1ccc2c(c1S(=O)(=O)[O-])sc(n2)c3ccc(cc3)N,MAC-8120,-8.717568,x0749,active-covalent
COc1ccc2c(c1)C(=O)C(=O)N2C[C@H]3COc4ccccc4O3,17583883,-8.695367,x0195,active-noncovalent
c1ccc(cc1)C#Cc2ccc(o2)C(=O)Sc3[nH]nc(n3)C(F)(F)F,2822496,-8.662864,x0874,active-noncovalent
c1ccc(cc1)C#Cc2ccc(o2)C(=O)Sc3[nH]nc(n3)C(F)(F)F,15,-8.662864,x0874,active-noncovalent
COc1ccc(cc1)[C@H]2C(=O)[C@H](NN2C(=O)CCl)c3c[nH]c4c3cccc4,3555173,-8.618880,x0104,active-noncovalent
