SMILES,paper_id,paper/assay,IC50 (um),real_space,SCR,BB,molport_or_mcule,PDB
O=C(Oc1cccnc1)c1ccc(Cl)cc1,6602830,https://pubchem.ncbi.nlm.nih.gov/bioassay/1890,6.31,FALSE,FALSE,FALSE,"['https://mcule.com/MCULE-4819550481/', 'https://mcule.com/MCULE-5985438179/', 'https://www.molport.com/shop/molecule-link/MolPort-000-705-678', 'https://www.molport.com/shop/molecule-link/MolPort-002-087-861']",FALSE
CC(=O)c1cc(-c2ccccc2)[nH]c1N1CCCC1,880528,https://pubchem.ncbi.nlm.nih.gov/bioassay/1890,4.633,FALSE,FALSE,FALSE,"['https://mcule.com/MCULE-7853098144/', 'https://www.molport.com/shop/molecule-link/MolPort-002-119-160']",FALSE
COc1cccc(C(C(=O)NCc2ccco2)N(Cc2ccco2)C(=O)Cn2nnc3ccccc32)c1,3206295,https://pubchem.ncbi.nlm.nih.gov/bioassay/1890,7.755,FALSE,FALSE,FALSE,FALSE,FALSE
Cc1cc(C)c(C)c(S(=O)(=O)N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1C,2417657,https://pubchem.ncbi.nlm.nih.gov/bioassay/1890,4.834,FALSE,Z29513321,FALSE,"['https://www.molport.com/shop/molecule-link/MolPort-005-507-857', 'https://mcule.com/MCULE-7557874602/']",FALSE
COc1ccc(C(=O)n2c(SC)nc3cc4c(cc32)OCCO4)cc1,1008368,https://pubchem.ncbi.nlm.nih.gov/bioassay/1890,1.085,FALSE,FALSE,FALSE,"['https://mcule.com/MCULE-8196340560/', 'https://www.molport.com/shop/molecule-link/MolPort-002-823-372']",FALSE
COc1ccc(N(C(=O)Cn2nnc3ccccc32)C2(C(=O)NC3CCCC3)CCCCC2)cc1,1083882,https://pubchem.ncbi.nlm.nih.gov/bioassay/1890,7.887,FALSE,FALSE,FALSE,FALSE,FALSE
Cc1cc(C)c(N(C(=O)Cn2nnc3ccccc32)C(C(=O)NC(C)(C)C)c2ccsc2)c(C)c1,3197965,https://pubchem.ncbi.nlm.nih.gov/bioassay/1890,2.904,FALSE,FALSE,FALSE,FALSE,FALSE
COc1ccccc1/C=C/C(=O)c1cc(Br)ccc1OC(=O)c1ccco1,5734490,https://pubchem.ncbi.nlm.nih.gov/bioassay/1890,8.939,FALSE,FALSE,FALSE,"['https://mcule.com/MCULE-6080442345/', 'https://www.molport.com/shop/molecule-link/MolPort-000-424-576']",FALSE
O=C(Oc1ccc(Br)cc1C(=O)/C=C/c1ccccc1F)c1ccco1,5734448,https://pubchem.ncbi.nlm.nih.gov/bioassay/1890,7.121,FALSE,FALSE,FALSE,"['https://mcule.com/MCULE-9409329838/', 'https://www.molport.com/shop/molecule-link/MolPort-000-424-589']",FALSE
COc1cc(/C=N\NC(=O)Cn2nnc3ccccc32)cc(OC)c1OC,5509654,https://pubchem.ncbi.nlm.nih.gov/bioassay/1890,5.179,FALSE,FALSE,FALSE,['https://www.molport.com/shop/molecule-link/MolPort-002-168-005'],FALSE
O=C(Cn1nnc2ccccc21)c1ccc(Cl)cc1,677475,https://pubchem.ncbi.nlm.nih.gov/bioassay/1890,9.908,FALSE,FALSE,FALSE,"['https://www.molport.com/shop/molecule-link/MolPort-001-017-875', 'https://mcule.com/MCULE-7924864257/', 'https://www.molport.com/shop/molecule-link/MolPort-001-017-875']",FALSE
O=C(Cn1nnc2ccccc21)c1ccc(Br)cc1,761840,https://pubchem.ncbi.nlm.nih.gov/bioassay/1890,4.013,FALSE,FALSE,FALSE,"['https://www.molport.com/shop/molecule-link/MolPort-001-017-874', 'https://mcule.com/MCULE-1486323937/', 'https://www.molport.com/shop/molecule-link/MolPort-001-017-874']",FALSE
Cc1cc(=O)oc2cc(OC(=O)c3ccco3)ccc12,728528,https://pubchem.ncbi.nlm.nih.gov/bioassay/1890,3.341,Z30906287,FALSE,FALSE,"['https://mcule.com/MCULE-9374158399/', 'https://www.molport.com/shop/molecule-link/MolPort-000-659-699', 'http://www.sigmaaldrich.com/catalog/search?term=S256617|ALDRICH&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product', 'http://www.sigmaaldrich.com/catalog/search?term=S256617&interface=All&N=0&mode=match%20partialmax&lang=en&region=US&focus=product']",FALSE
CCC(C)(C)NC(=O)C(c1cccn1C)N(C(=O)Cn1nnc2ccccc21)c1ccc(NC(C)=O)cc1,3198732,https://pubchem.ncbi.nlm.nih.gov/bioassay/1890,6.288,FALSE,FALSE,FALSE,FALSE,4MDS
O=Cc1cn(Cc2ccccc2)nc1-c1cccnc1,2497380,https://pubchem.ncbi.nlm.nih.gov/bioassay/1890,7.214,FALSE,Z56346837,EN300-16575,"['https://www.molport.com/shop/molecule-link/MolPort-002-470-369', 'https://www.molport.com/shop/molecule-link/MolPort-002-470-369', 'https://mcule.com/MCULE-3388356709/']",FALSE
Cc1cc(C(=O)CCl)c(C)n1-c1cccc([N+](=O)[O-])c1,2526861,https://pubchem.ncbi.nlm.nih.gov/bioassay/1890,4.586,FALSE,FALSE,FALSE,"['https://www.molport.com/shop/molecule-link/MolPort-000-875-862', 'https://www.molport.com/shop/molecule-link/MolPort-000-875-862', 'https://mcule.com/MCULE-8923860832/']",FALSE
O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(c2cccc(C(F)(F)F)c2)CC1,2449860,https://pubchem.ncbi.nlm.nih.gov/bioassay/1890,5.098,FALSE,Z26829233,FALSE,"['https://www.molport.com/shop/molecule-link/MolPort-005-787-071', 'https://mcule.com/MCULE-9247304440/']",FALSE
O=C(/C=C/c1cccs1)Nc1scc(-c2ccccc2)c1C(=O)O,1177253,https://pubchem.ncbi.nlm.nih.gov/bioassay/1890,5.219,FALSE,FALSE,EN300-804992,"['https://www.molport.com/shop/molecule-link/MolPort-000-222-483', 'https://mcule.com/MCULE-7408784201/']",FALSE
Cc1cccc(N2CCN(C(=O)c3cc(=O)[nH]c4ccccc34)CC2)c1C,2443805,https://pubchem.ncbi.nlm.nih.gov/bioassay/1890,6.66,FALSE,Z26850384,FALSE,"['https://www.molport.com/shop/molecule-link/MolPort-005-314-864', 'https://mcule.com/MCULE-8265971805/']",FALSE
COc1ccccc1OCCNC(=O)c1cc(=O)[nH]c2ccccc12,2558401,https://pubchem.ncbi.nlm.nih.gov/bioassay/1890,3.597,FALSE,Z30450892,FALSE,"['https://www.molport.com/shop/molecule-link/MolPort-028-825-688', 'https://mcule.com/MCULE-4274089916/']",FALSE
