SMILES,TITLE,Hybrid2,fragments,site
Cc1cc2c(cc1C)n(cn2)c3c4ccccc4nc(n3)c5cccnc5,top_hits_only_mpro-130_1,-13.190726,x1077,active-noncovalent
C[C@H](c1cc(ccc1N2CC[NH+](CC2)C)F)[NH2+]Cc3cccnc3,top_hits_only_mpro-76_1,-13.060610,x0107,active-noncovalent
Cn1c2ccccc2nc1c3c([nH]nc3c4ccccc4O)c5ccccc5,-11.76956558227539_2,-12.924612,x0831,active-covalent
Cc1ccc(c(c1)Oc2c3ccccc3nc(n2)c4cccnc4)C,top_hits_only_mpro-135_1,-12.784735,x1077,active-noncovalent
c1cc(cnc1)C(=O)NC2(CCOCC2)c3ccc(cc3)Cl,-12.505891799926758_1,-12.759226,x0678,active-noncovalent
c1ccc2c(c1)c3c4c(c5c6ccccc6[nH]c5c3[nH]2)C(=O)NC4,top_hits_only_mpro-441_1,-12.704174,x0678,active-noncovalent
c1ccc2c(c1)c(nc(n2)c3cccnc3)N4CCN(CC4)c5ccc(cc5)F,top_hits_only_mpro-207_1,-12.635254,x1077,active-noncovalent
c1ccc2c(c1)c(=O)[nH]c(n2)SCc3c(cccc3Cl)F,top_hits_only_mpro-215_1,-12.537562,x0678,active-noncovalent
c1ccc2c(c1)[nH]c(n2)c3c4c(sc3NC(=O)c5ccco5)CCCC4,top_hits_only_mpro-404_1,-12.507226,x0831,active-covalent
c1cc(cnc1)CC(=O)N(CCC#N)C23CC4CC(C2)CC(C4)C3,top_hits_only_mpro-225_1,-12.433633,x0678,active-noncovalent
C[C@H](CNc1c2c(c([nH]c2ncn1)c3ccccc3)c4ccccc4)O,top_hits_only_mpro-123_1,-12.269093,x0678,active-noncovalent
Cn1ccnc1[C@@H](c2ccccc2)NC(=O)c3cccnc3,top_hits_only_mpro-393_1,-12.258639,x0678,active-noncovalent
c1ccc(cc1)C2=CC[N@@](CC2)c3c4ccccc4nc(n3)c5cccnc5,top_hits_only_mpro-508_1,-12.257722,x0107,active-noncovalent
COc1ccc2c(c1)CCC[C@@H]2CNc3cn[nH]c(=O)c3Cl,top_hits_only_mpro-112_1,-12.222922,x0107,active-noncovalent
c1ccc(cc1)[C@@H]2CCN(C[C@@H]2CO)C(=O)c3cncc4c3cccc4,top_hits_only_mpro-483_1,-12.105143,x0107,active-noncovalent
c1ccc(cc1)C(c2ccccc2)[NH2+]Cc3cccnc3,top_hits_only_mpro-506_1,-12.078482,x0678,active-noncovalent
Cc1ccc(c(c1)C)NC(=O)c2cc(n[nH]2)C,top_hits_only_mpro-133_2,-12.026031,x0678,active-noncovalent
c1ccc(cc1)C(c2ccccc2)C(=O)Nc3cccnc3,-12.269648551940918_1,-11.973841,x0678,active-noncovalent
Cc1ccc(cc1Cl)NC(=O)c2c3c(n[nH]2)CCCC3,top_hits_only_mpro-358_2,-11.965358,x0678,active-noncovalent
c1ccc(cc1)c2csc(n2)Nc3cccnc3,top_hits_only_mpro-515_1,-11.924387,x0678,active-noncovalent
c1nnc(s1)NC(=O)N[C@H]2[C@@H]3CC[C@@H](C3)[C@@H]2CO,top_hits_only_mpro-475_1,-11.904167,x0678,active-noncovalent
c1ccc(cc1)[C@H]2[N@]3[C@@H](CC(=N3)c4cccnc4)c5ccccc5O2,top_hits_only_mpro-510_1,-11.859377,x0678,active-noncovalent
Cc1nc2ccccc2n1CCNC(=O)c3cc(cnc3)Br,-11.790989875793455_1,-11.805521,x0678,active-noncovalent
c1cc(cc(c1)Br)C2(CCCC2)C(=O)Nc3cccnc3,top_hits_only_mpro-3_1,-11.800355,x0678,active-noncovalent
Cc1ccc(cc1)Oc2c3ccccc3nc(n2)c4cccnc4,top_hits_only_mpro-138_1,-11.766344,x0678,active-noncovalent
c1ccc(cc1)[C@H](c2ccccn2)NC(=O)c3cc(cnc3)Br,top_hits_only_mpro-6_1,-11.750984,x0678,active-noncovalent
c1cc(ccc1CCNc2c3c[nH]nc3ncn2)C(F)(F)F,top_hits_only_mpro-189_2,-11.743460,x1093,active-noncovalent
Cc1ccc2nc(c(n2c1)NC(=O)c3cnccn3)c4ccccc4,top_hits_only_mpro-145_1,-11.738350,x0678,active-noncovalent
c1ccc2c(c1)c(nc(n2)c3cccnc3)Oc4ccc(cc4Br)F,top_hits_only_mpro-195_1,-11.723173,x1077,active-noncovalent
CC1CCC(CC1)N(C[C@@H]2CCCO2)C(=O)Cc3cccnc3,top_hits_only_mpro-35_1,-11.701943,x0678,active-noncovalent
c1ccc2c(c1)CCC[C@H]2N(C3CC3)C(=O)Cc4cncnc4,top_hits_only_mpro-308_1,-11.655543,x0678,active-noncovalent
CC(=O)c1ccc(cc1)Oc2c3ccccc3nc(n2)c4cccnc4,top_hits_only_mpro-19_1,-11.638037,x0678,active-noncovalent
c1cnc2[nH+]c(cn2c1)C(=O)N3CC4C[C@H]5C[C@@H](C4)CC3C5,top_hits_only_mpro-315_1,-11.609927,x0678,active-noncovalent
c1c(cncc1F)C(=O)N2CCC3(CCCCC3)CC2,top_hits_only_mpro-218_1,-11.570904,x0678,active-noncovalent
CC(C)(CNc1cn[nH]c(=O)c1Cl)c2ccc3c(c2)OCCO3,top_hits_only_mpro-458_1,-11.543694,x0107,active-noncovalent
c1cc2c(c(c1)O)N(CCC2)C(=O)c3cc(cnc3)F,top_hits_only_mpro-220_1,-11.543637,x0678,active-noncovalent
c1ccc2c(c1)c(c[nH]2)C3=CCN(CC3)C(=O)c4cccnc4,top_hits_only_mpro-390_1,-11.536157,x0107,active-noncovalent
