smiles,Mpro-x0072_dock,Mpro-x0104_dock,Mpro-x0107_dock,Mpro-x0161_dock,Mpro-x0195_dock,Mpro-x0305_dock,Mpro-x0354_dock,Mpro-x0387_dock,Mpro-x0395_dock,Mpro-x0397_dock,Mpro-x0426_dock,Mpro-x0434_dock,Mpro-x0540_dock,Mpro-x0678_dock,Mpro-x0874_dock,Mpro-x0946_dock,Mpro-x0967_dock,Mpro-x0991_dock,Mpro-x0995_dock,Mpro-x1077_dock,Mpro-x1093_dock,Mpro-x1249_dock
Brc1c[nH]c(c1)C(=O)NCc1nnc2n1cccc2,,,,,,,,,,-11.367557525634766,,,,,,,,,,,,
Brc1ccc(c(c1)[N+](=O)[O-])C(=O)NC(c1cccc(c1)C(F)(F)F)C,,,,,,,,,,,,,,,,,-12.195198059082033,,,,,
Brc1ccc(cc1)NC(c1c(C)[nH]c2c1cccc2)c1ccccn1,,,,,,,,,,,,,,,-11.969464302062988,,,,,,,
Brc1cccc(c1)C1(CCCC1)C(=O)Nc1cccnc1,,,,,,,,,,,,,,,,-11.042842864990234,,,,,,
Brc1cccc(c1)OCCn1cnc2c(c1=O)cccc2,,,,,,,,,,,,,,,,,,,,,-12.103425979614258,
Brc1cnc(c(c1)S(=O)(=O)N1CCC(C1)Oc1cccnc1)N,,,,,,,,,,,,,,,,,,-11.795487403869627,,,,
Brc1cncc(c1)C(=O)NC(c1ccccn1)c1ccccc1,,,,,,,,,,-10.790013313293457,,,,,,,,,,,,
Brc1cncc(c1)C(=O)NCCn1c(C)nc2c1cccc2,-11.790989875793455,,,,,,,,,,,,,,,,,,,,-12.11111068725586,
Brc1cncc(c1)C(=O)N[C@H](c1nc2c([nH]1)cccc2)Cc1ccccc1,,,,,,,-12.099448204040527,,,,,,,,,,,,,,,
Brc1cncc(c1)C(=O)Nc1c(nc2n1cccc2C)c1ccccc1,,,,-13.342823028564453,,,-11.91294002532959,,,,,,,,,,,,,,,
Brc1cncc(c1)C(=O)Nc1sc2c(c1c1nc3c([nH]1)cccc3)CCCC2,,,,,,,-11.879929542541506,,,,,,,,,,,,,,,
C(CC12CC3CC(C2)CC(C1)C3)Sc1nn2c(n1)nccc2,,,-11.274331092834473,,,,,,,,,,,,,,,,-11.819356918334961,-12.529581069946287,,
C=CCc1cc(CN2CCC(CC2)c2[nH]ncc2)cc(c1O)OC,,,,,,,,,,,,,,,,,,-11.653864860534668,,,,
C=CCn1cnnc1SCc1cc(Cl)ccc1OCc1cccnc1,,,,,,,,,,,,,,-12.556279182434082,,,,,,,,
CC(=O)NC1CCN(CC1)C(=O)c1ccc2c(c1O)OC(C2)(C)C,,,,-12.512317657470705,,,,,,,,,,,,,,,,,,
CC(=O)Nc1cc(ccc1F)C(=O)N1CCc2c(C1)cc(cc2)O,,,,,-11.560532569885256,,,,,,,,,,,,,,,,,
CC(=O)Nc1ccc(cc1)CCNc1ncnc2c1c(C)ccc2,,,,,,,,,,,,,,,,,,-11.0126953125,,,,
CC(=O)Nc1cccc(c1)Oc1c(=O)[nH]c2c(c1c1ccccc1)cccc2,,,,,-11.672770500183105,,,,,,,,,,,,,,,,,
CC(=O)Nc1ccn(n1)C1CCN(C1)C(c1ccccn1)C,,,,,,,,,-11.537413597106935,,,,,,,,,,,,,
CC(=O)c1ccc(cc1)Oc1nc(nc2c1cccc2)c1cccnc1,,,,,,,,,,,,-12.42342758178711,,,,,,,,-12.531909942626953,,
CC(C(=O)NC1(CC1)c1ccccc1)Cc1c(C)n[nH]c1C,,,,,,,,,,,,,,,,,-12.2381591796875,,,,,
CC(C1CCCCN1C(=O)C(c1cccnc1)C)N,,,,,,,,,,,,,-10.428166389465332,,,,,,,,,
CC(C1Nc2ccccc2N(C1)C(=O)c1c[nH]nn1)C,,,,,,,,,,-10.615921020507812,,,,,,,,,,,,
CC(C1OCCCC1Nc1nccc(n1)NCc1ccncc1)C,,,,,,,,,,,,,-9.880460739135742,,,,,,,,,
CC(CC(c1ccccc1OCC(C)C)Nc1nn2c(s1)nccc2=O)C,-11.815126419067385,,,,,,,,,,,,,,,,,,,,,
CC(CC(c1onc(n1)c1nnc[nH]1)NC(=O)c1cncc(c1)C)C,,,,,,,,,,-12.55750846862793,,,,,,,,,,,,
CC(CN(Cc1nnnn1C1CC1)CC(=O)N)C,,,,,,,,,,,,,,,,,,-11.03879165649414,,,,
CC(N(c1ccccc1)C(=O)CNc1ccc(c(c1)C(=O)N)F)C,,,,,,,,,,,-10.43122673034668,,,,,,,,,,,
CC(NC(=O)c1[nH]nc(c1)C)CC(=O)c1ccccc1,,,,,,,,-10.375605583190918,,,,,,,,,,,,,,
CC(NC(=O)c1c(O)nc2c(c1C)cccc2)Cn1cncn1,,,,,,,,,,,,,,,,,,,,,-12.220702171325685,
CC(OC(=O)c1c(C)[nH]c(c1C)C(=O)NCc1nnc2n1cccc2)C,,,,,,,,,-11.89615535736084,,,,,,,,,,,,,
CC([C@H]1OCC[C@@H]1c1noc(n1)C=Cc1cnccc1C)(C)C,,,,,,,,,,-10.707929611206056,,,,,,,,,,,,
CC(c1cccc(c1)C(F)(F)F)CNC(=O)c1cc[nH]c(=O)c1,,,,,,,,,,,,,,-12.868171691894533,,,,,,,,
CC(c1ccccc1)NC(=O)c1cccnc1,,,,,,,,,,,,,-9.904394149780273,,,-11.014043807983398,,,,,,
CC(c1ccncc1)NC(=O)NCC1(C)CCCC1,,,,,,,,,,,,,-10.053869247436523,,,,,,,,,
CC1CCC(CC1)N(C(=O)Cc1cccnc1)CC1CCCO1,,,,,,,,,,,,,,,-12.48996353149414,,,,,,,
CC1CCCCN1C(=O)NCCNC(=O)c1ccn[nH]1,,,,,,,,,,,,,,,,-11.05606174468994,,,,,,
CC1CCCCN1Cc1ccccc1CNCc1c[nH]nc1C.Cl,,,,,,,,,,,,,,,,,,-11.69018840789795,,,,
CC1CCCN(C1)c1nc(nc2c1c(cs2)c1ccccc1)c1cccnc1,,,,,,,,-10.302542686462402,,,,,,,,,,,,,,
CC1CCCN(CC1)Cc1nc2ccccc2c(=O)[nH]1,,,,,,,,,,,,,,-12.655281066894533,,,,,,,,
CC1CCN(CC1)c1nc(nc2c1c(cs2)c1ccccc1)c1cccnc1,,,,,,,,-10.325406074523926,-11.644617080688475,,,,,,,,,,,,,
CC1CCN(c2c(S1)cccc2)C(=O)CSc1nnc[nH]1,,,,,,,-11.844127655029295,,,,,,,,,,,,,,,
CC1CCc2c(C1)sc1c2c(Oc2ccc3c(c2)cncc3)nc(n1)C,,,,,,,,,,,,,-10.351563453674316,,,,,,,,,
CCC(C(c1nc2c([nH]1)cccc2)NC(=O)c1ccc(nc1)O)C,,,,,,,,,,,,,,,,,-12.418176651000975,,,,,
CCC(N(C(=O)c1cc(C)c2c(n1)nc([nH]c2=O)O)Cc1ccccc1)C,,,,,,,,,,,,,,,,,,,,,-12.36235523223877,
CCC(c1scc(n1)C(F)(F)F)NC(=O)Nc1cccnc1,,,,,,,,,,,,,,-12.37860870361328,,,,,,,,
CCC1CN2CCCCC2CN1C(=O)CCc1n[nH]nn1,,,,,,,,,,,,,,,,,,,,,-12.185462951660154,
CCCOc1ccc(cc1)C(=O)N1CCN(CC1)Cc1nc2ccccc2c(=O)[nH]1,,-12.734293937683105,,,,,,,,,,,,,,,,,,,,
CCCc1nnc([nH]1)SCC(=O)c1cc(F)ccc1F,,,,,-11.778704643249512,,,,,,,,,,,,,,,,,
CCCn1c(NC(=O)CCc2onc(n2)c2ccncc2)nc2c1cccc2,,,,,,,,,,,,,,,,,,,,,-12.477972030639648,
CCN(C(=O)c1ccc([nH]c1=O)C)Cc1ccc2c(c1)OCO2,,,-11.56891918182373,,,,,,,,,,,,,,,,,,,
CCN1CC(C(C1)NS(=O)(=O)c1cncc(c1)F)C,,,,,,,,,-11.433229446411133,,,,,,,,,-11.143260955810547,-11.471649169921875,,,
CCN1CCN(CC1c1ncc[nH]1)C(=O)c1cncc(c1)F,,,,,,,,,,,,,-10.078962326049805,,,,,,,,,
CCOC(=O)c1c(C)[nH]c(c1C)C(=O)NCc1nnc2n1cccc2,,,,,,,,,-11.897430419921875,,,,,,,,,,,,,
