SMILES,TITLE,dockvalent_id,number_of_overlapping_fragments,overlapping_fragments,overlap_score,docked_fragment
c1cc(cnc1)/N=C(/N[C+]=[NH2+])\Nc2cc(cnc2)C#N,JAN-UNI-2e9-2,2276_NIT.0,7,"x1420,x0759,x1392,x0831,x0830,x0692,x0770",2474.1399166257165,x0387
c1cc(cnc1)/N=C(/N[C+]=[NH2+])\Nc2cc(cnc2)C#N,JAN-UNI-2e9-2,2276_NIT.0,6,"x1420,x0734,x0759,x1392,x0831,x0770",2430.699596017504,x0195
CC(=O)[C@@H]1CN(C[C@@H](N1C(=O)C)CC(=O)N)C(=O)[CH2-],DAN-PUR-390-2,2121_NCL.0,3,"x1420,x1392,x1374",2387.9953493749317,x1493
[CH2-]CC(=O)N(c1cccnc1)[C@H]2CCS(=O)(=O)C2,DAN-PUR-390-3,2122_NCL2ACR.0,10,"x1418,x1420,x0759,x1392,x0831,x0830,x1412,x1336,x0692,x0770",2320.9375111225954,x1311
c1cc(cnc1)/N=C(/N[C+]=[NH2+])\Nc2cc(cnc2)C#N,JAN-UNI-2e9-2,2276_NIT.0,4,"x1420,x0759,x1392,x0770",2312.379998197523,x0305
[CH2-]C(=O)NCCc1ccccc1,ANT-DIA-b7f-4,733_ACL.0,9,"x1418,x1420,x0759,x1392,x1386,x0831,x0830,x0692,x0770",2275.862948964784,x0305
c1cc(cnc1)/N=C(/N[C+]=[NH2+])\Nc2cc(cnc2)C#N,JAN-UNI-2e9-2,2276_NIT.0,3,"x1420,x0759,x1392",2260.764458004175,x0434
C[C@H]([C@H](c1cc(cc(c1)S(=O)(=O)N)F)NC(=O)C[CH2-])F,JON-UIO-066-13,2682_ACL2ACR.0,7,"x1420,x0759,x1334,x1392,x1412,x1336,x1385",2260.1547117530736,x0769
[CH2-]C(=O)N1Cc2ccccc2[C@@H](C1)c3cc(cc4c3cccc4)Cl,DAR-DIA-cab-8,546_NCL.0,3,"x1420,x1392,x0830",2251.106178577271,x0195
CS(=O)(=O)[N@@]1CCN(C[C@@H]1c2ccccc2)C(=O)[CH2-],DUN-NEW-f8c-22,109_NCL.0,4,"x0734,x1458,x0820,x1336",2242.4942534282845,x0072
C[C@H]([C@H](c1cc(cc(c1)S(=O)(=O)N)F)NC(=O)C[CH2-])F,JON-UIO-066-13,2682_ACL2ACR.0,6,"x1420,x1334,x1392,x1412,x1336,x1385",2226.0363124130035,x0689
[CH2-]C(=O)N1CCC(CC1)C(=O)SCF,GIA-UNK-995-6,1146_ACL.0,6,"x1420,x1334,x1392,x1412,x1336,x1385",2213.1552196452376,x1334
[CH2-]C(=O)N1CC[C@@H](OC1)c2ccc(cc2)[S-],NIM-UNI-43f-5,2053_NCL.0,7,"x0734,x1380,x1458,x1493,x0820,x1336,x0689",2186.325000728036,x0759
[CH2-]C(=O)N1CCN[C@@H]2[C@H]1N(C(=O)N2)c3cccnc3,NIM-UNI-36e-1,2138_ACL.0,1,x1374,2170.628165967547,x0434
[CH2-]C(=O)N(c1cccnc1)C(=O)Nc2ccccc2,DAR-DIA-fc9-9,31_ACL.0,2,"x1420,x1392",2165.652277890338,x0434
[CH2-]C(=O)N(c1cc(cnc1)N)C(=O)CCl,DAN-PUR-19f-2,2490_ACL.0,5,"x1420,x0734,x1392,x1412,x1385",2159.0744665037205,x0107
[CH2-]CC(=O)N1CCN(C[C@@H]1CC(=O)N)C(=O)CCl,DAN-PUR-390-1,2120_ACL2ACR.0,6,"x0769,x1375,x1374,x1311,x0691,x0755",2146.3408312045217,x1493
CC(=O)N1CCN(C[C@@H]1CC(=O)N)C(=O)[CH2-],DAN-PUR-390-1,2120_NCL.0,10,"x1420,x0759,x1334,x1392,x1386,x0831,x0830,x1385,x0692,x0770",2131.638942967693,x1311
C[C@@H](c1ccc(c(c1)Cl)O)NC(=O)[CH2-],DAV-CRI-3ed-1,2095_NCL.0,2,"x1420,x0759",2116.364584638057,x1382
CC(=O)N(c1cc(cnc1)N)C(=O)[CH2-],DAN-PUR-19f-2,2490_NCL.0,7,"x1420,x0734,x1334,x1392,x1412,x1077,x1385",2115.74857677006,x0107
[CH2-]C(=O)NCCc1cccc2c1nccn2,ANT-OPE-81f-1,1376_ACL.0,0,,2114.6710277267453,x0104
[CH2-]C(=O)N1CCN(CC1)C(=O)[C@H](c2c(cccn2)Cl)F,JON-UIO-066-4,2673_ACL.0,7,"x0734,x1334,x1380,x1458,x1412,x1336,x1385",2108.978223320199,x0831
CC(=O)[C@@H]1CN(C[C@@H](N1C(=O)C)CC(=O)N)C(=O)[CH2-],DAN-PUR-390-2,2121_NCL.0,4,"x1420,x1392,x1412,x1336",2108.0547244902664,x1311
CCO[C@@H]1CC[C@@H](c2c1sc(c2)c3nnco3)[C+]=[NH2+],DOU-UNK-b53-16,870_NIT.0,2,"x1358,x1351",2105.84068778697,x1093
CC1=CCNC=C1N(C(=O)[CH2-])C(=O)NC2CC2,SEL-UNI-842-3,1356_ACL.0,2,"x1420,x1392",2096.408526554815,x1374
CC1=CCNC=C1N(C(=O)[CH2-])C(=O)c2cccnc2Cl,SEL-UNI-842-2,1355_ACL.0,3,"x0734,x1392,x1336",2094.2973023208597,x0107
CO[c-]1[cH-][cH-][c-]2[c-]([cH-]1)[c-]([cH-][nH]2)CCNC(=O)[CH2-],JOH-MSK-35a-1,2201_ACL.0,1,x1392,2079.14552723228,x0104
CO[c-]1[cH-][cH-][c-]2[c-]([cH-]1)[c-]([cH-][nH]2)CCNC(=O)[CH2-],ALE-ACE-261-1,2340_ACL.0,1,x1392,2079.14552723228,x0104
CNc1c(cc(cn1)[C+]=[NH2+])Oc2ccccc2,LIZ-THE-702-1,1627_NIT.0,3,"x0734,x1412,x1336",2073.8051895614476,x0305
[CH2-]CC(=O)N(c1ccc(cc1CC2=NC=[NH+][CH+]2)F)[C@@H]3CS(=O)(=O)C=C3,SAL-INS-1c7-10,2463_NCL2ACR.0,0,,2058.977402815617,x1458
CC1=CCNC=C1N(C(=O)[CH2-])C(=O)c2cccnc2Cl,SEL-UNI-842-2,1355_ACL.0,2,"x1420,x1392",2054.3314470220357,x1478
[CH2-]CC(=O)N1CCN[C@@H]2[C@H]1N(C(=O)N2)c3cccnc3,NIM-UNI-36e-1,2138_ACL2ACR.0,2,"x1420,x1392",2045.4251553095012,x0770
[CH2-]CC(=O)N1CCN[C@@H]2[C@H]1N(C(=O)N2)c3cccnc3,NIM-UNI-36e-1,2138_ACL2ACR.0,2,"x1420,x1392",2043.965611267033,x0749
[CH2-]CC(=O)N(c1ccc(cc1CC2=NC=[NH+][CH+]2)F)[C@@H]3CS(=O)(=O)C=C3,SAL-INS-1c7-10,2463_NCL2ACR.0,0,,2043.078572561253,x1374
c1ccc(c(c1)[C+]=[NH2+])NC(=O)Cc2cccnc2,ANT-DIA-3c7-2,2113_NIT.0,5,"x1420,x0759,x1392,x0831,x0830",2034.8480972477635,x0830
[CH2-]C(=O)N1CC[N@@](C[C@H](C1)c2cc(ccc2O)O)Cc3cc(ccc3O)O,AVI-UNI-70b-2,1582_NCL.0,2,"x1420,x1392",2029.8737222061688,x0831
Cc1cccc(c1)CC2C[C@H]3CC[C@@H](C2)N3C(=O)[CH2-],MAK-UNK-af8-8,932_NCL.0,1,x1420,2024.0746473307768,x0195
[CH2-]CC(=O)N1CCN[C@@H]2[C@H]1N(C(=O)N2)c3cccnc3,NIM-UNI-36e-1,2138_ACL2ACR.0,2,"x1420,x1392",2013.6441014179723,x0692
