SMILES,TITLE,docked_fragment,site,inspiration frags,Chemgauss4
COc1ccc(cc1)[C@@H]2C[N@H+](C[C@H]2NC(=O)Nc3cccnc3)Cc4ccccc4,3819,x0434,active-noncovalent,x0434,-10.997332
Cc1ccc(cc1)[C@H](c2ccccn2)NC(=O)Nc3cccnc3,11928,x0434,active-noncovalent,x0434,-10.880516
Cn1ccnc1[C@@H](c2ccc(cc2F)F)NC(=O)Nc3cccnc3,7950,x0434,active-noncovalent,x0434,-10.788489
Cn1ccnc1[C@@H](c2ccc(cc2)Cl)NC(=O)Nc3cccnc3,2622,x0434,active-noncovalent,x0434,-10.715148
c1ccc2c(c1)[C@H]3CC[C@H](C3)[C@@H]2NC(=O)Nc4cccnc4,3664,x0434,active-noncovalent,x0434,-10.656775
Cn1ccnc1[C@@H](c2ccc(cc2)Br)NC(=O)Nc3cccnc3,12060,x0434,active-noncovalent,x0434,-10.471167
c1ccc(cc1)C[N@@H+]2C[C@H]([C@@H](C2)NC(=O)Nc3cccnc3)c4ccc(cc4)F,2108,x0434,active-noncovalent,x0434,-10.440890
Cn1ccnc1[C@@H](c2ccccc2F)NC(=O)Nc3cccnc3,13962,x0434,active-noncovalent,x0434,-10.308332
c1cc(cnc1)NC(=O)N[C@@H](Cc2ccc(cc2)Cl)c3ccc(cc3)F,7824,x0434,active-noncovalent,x0434,-10.288799
COC(=O)[C@H](c1ccccc1F)NC(=O)Nc2cccnc2,8484,x0434,active-noncovalent,x0434,-10.260317
c1ccc2c(c1)CC3([C@H]2NC(=O)Nc4cccnc4)CC3,12452,x0434,active-noncovalent,x0434,-10.243671
COc1ccc(cc1)C2(CCCC2)NC(=O)Nc3cccnc3,12138,x0434,active-noncovalent,x0434,-10.243172
CC(C)(C)c1ccccc1CNC(=O)Nc2cccnc2,8652,x0434,active-noncovalent,x0434,-10.239783
COC(=O)[C@H](Cc1ccc(cc1)C#C)NC(=O)Nc2cccnc2,8011,x0434,active-noncovalent,x0434,-10.225594
COC(=O)[C@H](c1ccccc1)NC(=O)Nc2cccnc2,4831,x0434,active-noncovalent,x0434,-10.213534
COC(=O)[C@H](c1ccccc1)NC(=O)Nc2cccnc2,5005,x0434,active-noncovalent,x0434,-10.213534
c1ccc(cc1)OC[C@H](c2ccc(cc2)F)NC(=O)Nc3cccnc3,11803,x0434,active-noncovalent,x0434,-10.211174
c1ccc(cc1)CCC2(CCCCC2)NC(=O)Nc3cccnc3,2502,x0434,active-noncovalent,x0434,-10.180093
COC(=O)[C@H](c1cc(ccc1F)F)NC(=O)Nc2cccnc2,10190,x0434,active-noncovalent,x0434,-10.118233
Cc1ccc(cc1)C2(CCCCC2)NC(=O)Nc3cccnc3,814,x0434,active-noncovalent,x0434,-10.117776
Cn1ccnc1[C@@H](c2ccc(cc2)OC)NC(=O)Nc3cccnc3,510,x0434,active-noncovalent,x0434,-10.103846
CCOC(=O)[C@H](c1cccc(c1)O)NC(=O)Nc2cccnc2,2698,x0434,active-noncovalent,x0434,-10.005779
CC(C)(C)OC(=O)[C@H](c1ccc(cc1)F)NC(=O)Nc2cccnc2,13693,x0434,active-noncovalent,x0434,-9.989727
c1cc(cc(c1)Cl)[C@H](c2ccc(cn2)C(F)(F)F)NC(=O)Nc3cccnc3,2173,x0434,active-noncovalent,x0434,-9.975840
CC(C)CC[C@H](c1ccc(cc1)Cl)NC(=O)Nc2cccnc2,812,x0434,active-noncovalent,x0434,-9.963420
COC(=O)[C@H](c1ccccc1O)NC(=O)Nc2cccnc2,6580,x0434,active-noncovalent,x0434,-9.892119
CC1(CCc2ccccc2[C@H](C1)NC(=O)Nc3cccnc3)C,8208,x0434,active-noncovalent,x0434,-9.887188
CCOC(=O)[C@H](c1ccc(cc1)Cl)NC(=O)Nc2cccnc2,12228,x0434,active-noncovalent,x0434,-9.884702
CC1(C[C@@H](c2cc(ccc2O1)F)NC(=O)Nc3cccnc3)C,8195,x0434,active-noncovalent,x0434,-9.821795
Cc1cccc(c1OC[C@H](c2ccccc2)NC(=O)Nc3cccnc3)C,13631,x0434,active-noncovalent,x0434,-9.817052
c1cc(cnc1)NC(=O)N[C@@H]2CCCc3c2cc(cc3F)F,14216,x0434,active-noncovalent,x0434,-9.815285
c1cc(cc(c1)Cl)[C@@H](c2ccc(cc2)C(F)(F)F)NC(=O)Nc3cccnc3,3939,x0434,active-noncovalent,x0434,-9.814688
c1cc(cnc1)NC(=O)NC2(CCOCC2)c3ccc(cc3F)F,10006,x0434,active-noncovalent,x0434,-9.803023
c1cc(cnc1)NC(=O)NC2(CCOCC2)c3ccc(cc3)F,10197,x0434,active-noncovalent,x0434,-9.766981
c1cc(cc(c1)F)C[C@@H](c2cccc(c2)F)NC(=O)Nc3cccnc3,341,x0434,active-noncovalent,x0434,-9.749427
COc1ccc(cc1)c2nc3c(s2)[C@H](CCC3)NC(=O)Nc4cccnc4,9722,x0434,active-noncovalent,x0434,-9.746625
c1cc(cnc1)NC(=O)N[C@H]2CCCc3c2sc(n3)c4ccc(cc4)F,5961,x0434,active-noncovalent,x0434,-9.731894
CC(C)(C)c1csc(n1)[C@@H](c2ccc(cc2)Cl)NC(=O)Nc3cccnc3,11710,x0434,active-noncovalent,x0434,-9.730786
c1cc(cnc1)NC(=O)NCCc2ccc(c(c2)N(=O)=O)Cl,10317,x0434,active-noncovalent,x0434,-9.712358
C[N@]1c2ccccc2[C@H](CS1(=O)=O)NC(=O)Nc3cccnc3,2061,x0434,active-noncovalent,x0434,-9.709629
c1cc(cc(c1)Br)C2(CCOCC2)NC(=O)Nc3cccnc3,10174,x0434,active-noncovalent,x0434,-9.708034
CS(=O)(=O)c1cccc(c1)[C@H](c2ccc(cc2F)F)NC(=O)Nc3cccnc3,3940,x0434,active-noncovalent,x0434,-9.706271
c1ccc(cc1)[C@@H](COc2ccccc2C(F)(F)F)NC(=O)Nc3cccnc3,2153,x0434,active-noncovalent,x0434,-9.700028
c1ccc(cc1)C[N@@H+]2CC[C@@](C2)(c3ccccc3)NC(=O)Nc4cccnc4,13652,x0434,active-noncovalent,x0434,-9.697349
c1ccc(cc1)Cn2cc(c(n2)c3ccccc3)CNC(=O)Nc4cccnc4,415,x0434,active-noncovalent,x0434,-9.679766
c1ccc2c(c1)CC([C@H]2NC(=O)Nc3cccnc3)(F)F,7489,x0434,active-noncovalent,x0434,-9.670104
c1cc(cnc1)NC(=O)NC2(CCOCC2)c3ccc(cc3)C#N,11542,x0434,active-noncovalent,x0434,-9.665362
