SMILES,TITLE,fragments,Hybrid2,docked_fragment,Mpro-x0434_dock,site
COc1ccc(cc1)[C@@H]2C[N@H+](C[C@H]2NC(=O)Nc3cccnc3)Cc4ccccc4,3819,x0434,-10.997332,x0434,-10.997332,active-noncovalent
Cc1ccc(cc1)[C@H](c2ccccn2)NC(=O)Nc3cccnc3,11928,x0434,-10.880516,x0434,-10.880516,active-noncovalent
Cn1ccnc1[C@@H](c2ccc(cc2F)F)NC(=O)Nc3cccnc3,7950,x0434,-10.788489,x0434,-10.788489,active-noncovalent
Cn1ccnc1[C@@H](c2ccc(cc2)Cl)NC(=O)Nc3cccnc3,2622,x0434,-10.715148,x0434,-10.715148,active-noncovalent
c1ccc2c(c1)[C@H]3CC[C@H](C3)[C@@H]2NC(=O)Nc4cccnc4,3664,x0434,-10.656775,x0434,-10.656775,active-noncovalent
Cn1ccnc1[C@@H](c2ccc(cc2)Br)NC(=O)Nc3cccnc3,12060,x0434,-10.471167,x0434,-10.471167,active-noncovalent
c1ccc(cc1)C[N@@H+]2C[C@H]([C@@H](C2)NC(=O)Nc3cccnc3)c4ccc(cc4)F,2108,x0434,-10.440890,x0434,-10.44089,active-noncovalent
Cn1ccnc1[C@@H](c2ccccc2F)NC(=O)Nc3cccnc3,13962,x0434,-10.308332,x0434,-10.308332,active-noncovalent
c1cc(cnc1)NC(=O)N[C@@H](Cc2ccc(cc2)Cl)c3ccc(cc3)F,7824,x0434,-10.288799,x0434,-10.288799,active-noncovalent
COC(=O)[C@H](c1ccccc1F)NC(=O)Nc2cccnc2,8484,x0434,-10.260317,x0434,-10.260317,active-noncovalent
c1ccc2c(c1)CC3([C@H]2NC(=O)Nc4cccnc4)CC3,12452,x0434,-10.243671,x0434,-10.243671,active-noncovalent
COc1ccc(cc1)C2(CCCC2)NC(=O)Nc3cccnc3,12138,x0434,-10.243172,x0434,-10.243172,active-noncovalent
CC(C)(C)c1ccccc1CNC(=O)Nc2cccnc2,8652,x0434,-10.239783,x0434,-10.239783,active-noncovalent
COC(=O)[C@H](Cc1ccc(cc1)C#C)NC(=O)Nc2cccnc2,8011,x0434,-10.225594,x0434,-10.225594,active-noncovalent
COC(=O)[C@H](c1ccccc1)NC(=O)Nc2cccnc2,4831,x0434,-10.213534,x0434,-10.213534,active-noncovalent
COC(=O)[C@H](c1ccccc1)NC(=O)Nc2cccnc2,5005,x0434,-10.213534,x0434,-10.213534,active-noncovalent
c1ccc(cc1)OC[C@H](c2ccc(cc2)F)NC(=O)Nc3cccnc3,11803,x0434,-10.211174,x0434,-10.211174,active-noncovalent
c1ccc(cc1)CCC2(CCCCC2)NC(=O)Nc3cccnc3,2502,x0434,-10.180093,x0434,-10.180093,active-noncovalent
COC(=O)[C@H](c1cc(ccc1F)F)NC(=O)Nc2cccnc2,10190,x0434,-10.118233,x0434,-10.118233,active-noncovalent
Cc1ccc(cc1)C2(CCCCC2)NC(=O)Nc3cccnc3,814,x0434,-10.117776,x0434,-10.117776,active-noncovalent
Cn1ccnc1[C@@H](c2ccc(cc2)OC)NC(=O)Nc3cccnc3,510,x0434,-10.103846,x0434,-10.103846,active-noncovalent
CCOC(=O)[C@H](c1cccc(c1)O)NC(=O)Nc2cccnc2,2698,x0434,-10.005779,x0434,-10.005779,active-noncovalent
CC(C)(C)OC(=O)[C@H](c1ccc(cc1)F)NC(=O)Nc2cccnc2,13693,x0434,-9.989727,x0434,-9.989727,active-noncovalent
c1cc(cc(c1)Cl)[C@H](c2ccc(cn2)C(F)(F)F)NC(=O)Nc3cccnc3,2173,x0434,-9.975840,x0434,-9.97584,active-noncovalent
CC(C)CC[C@H](c1ccc(cc1)Cl)NC(=O)Nc2cccnc2,812,x0434,-9.963420,x0434,-9.96342,active-noncovalent
COC(=O)[C@H](c1ccccc1O)NC(=O)Nc2cccnc2,6580,x0434,-9.892119,x0434,-9.892119,active-noncovalent
CC1(CCc2ccccc2[C@H](C1)NC(=O)Nc3cccnc3)C,8208,x0434,-9.887188,x0434,-9.887188,active-noncovalent
CCOC(=O)[C@H](c1ccc(cc1)Cl)NC(=O)Nc2cccnc2,12228,x0434,-9.884702,x0434,-9.884702,active-noncovalent
CC1(C[C@@H](c2cc(ccc2O1)F)NC(=O)Nc3cccnc3)C,8195,x0434,-9.821795,x0434,-9.821795,active-noncovalent
Cc1cccc(c1OC[C@H](c2ccccc2)NC(=O)Nc3cccnc3)C,13631,x0434,-9.817052,x0434,-9.817052,active-noncovalent
c1cc(cnc1)NC(=O)N[C@@H]2CCCc3c2cc(cc3F)F,14216,x0434,-9.815285,x0434,-9.815285,active-noncovalent
c1cc(cc(c1)Cl)[C@@H](c2ccc(cc2)C(F)(F)F)NC(=O)Nc3cccnc3,3939,x0434,-9.814688,x0434,-9.814688,active-noncovalent
c1cc(cnc1)NC(=O)NC2(CCOCC2)c3ccc(cc3F)F,10006,x0434,-9.803023,x0434,-9.803023,active-noncovalent
c1cc(cnc1)NC(=O)NC2(CCOCC2)c3ccc(cc3)F,10197,x0434,-9.766981,x0434,-9.766981,active-noncovalent
c1cc(cc(c1)F)C[C@@H](c2cccc(c2)F)NC(=O)Nc3cccnc3,341,x0434,-9.749427,x0434,-9.749427,active-noncovalent
COc1ccc(cc1)c2nc3c(s2)[C@H](CCC3)NC(=O)Nc4cccnc4,9722,x0434,-9.746625,x0434,-9.746625,active-noncovalent
c1cc(cnc1)NC(=O)N[C@H]2CCCc3c2sc(n3)c4ccc(cc4)F,5961,x0434,-9.731894,x0434,-9.731894,active-noncovalent
CC(C)(C)c1csc(n1)[C@@H](c2ccc(cc2)Cl)NC(=O)Nc3cccnc3,11710,x0434,-9.730786,x0434,-9.730786,active-noncovalent
c1cc(cnc1)NC(=O)NCCc2ccc(c(c2)N(=O)=O)Cl,10317,x0434,-9.712358,x0434,-9.712358,active-noncovalent
C[N@]1c2ccccc2[C@H](CS1(=O)=O)NC(=O)Nc3cccnc3,2061,x0434,-9.709629,x0434,-9.709629,active-noncovalent
c1cc(cc(c1)Br)C2(CCOCC2)NC(=O)Nc3cccnc3,10174,x0434,-9.708034,x0434,-9.708034,active-noncovalent
CS(=O)(=O)c1cccc(c1)[C@H](c2ccc(cc2F)F)NC(=O)Nc3cccnc3,3940,x0434,-9.706271,x0434,-9.706271,active-noncovalent
c1ccc(cc1)[C@@H](COc2ccccc2C(F)(F)F)NC(=O)Nc3cccnc3,2153,x0434,-9.700028,x0434,-9.700028,active-noncovalent
c1ccc(cc1)C[N@@H+]2CC[C@@](C2)(c3ccccc3)NC(=O)Nc4cccnc4,13652,x0434,-9.697349,x0434,-9.697349,active-noncovalent
c1ccc(cc1)Cn2cc(c(n2)c3ccccc3)CNC(=O)Nc4cccnc4,415,x0434,-9.679766,x0434,-9.679766,active-noncovalent
c1ccc2c(c1)CC([C@H]2NC(=O)Nc3cccnc3)(F)F,7489,x0434,-9.670104,x0434,-9.670104,active-noncovalent
c1cc(cnc1)NC(=O)NC2(CCOCC2)c3ccc(cc3)C#N,11542,x0434,-9.665362,x0434,-9.665362,active-noncovalent
COc1ccc(cc1)[C@H](c2ccccc2Cl)NC(=O)Nc3cccnc3,13688,x0434,-9.653199,x0434,-9.653199,active-noncovalent
c1cc(cnc1)NC(=O)N[C@@]2(CCCOC2)Cc3ccc(cc3)Cl,2450,x0434,-9.652589,x0434,-9.652589,active-noncovalent
c1cc(cnc1)NC(=O)N[C@H](c2ccc(cc2)F)C3CCCCC3,641,x0434,-9.651368,x0434,-9.651368,active-noncovalent
c1cc(cnc1)NC(=O)NC2(CCOCC2)c3ccc(cc3)Cl,14474,x0434,-9.608900,x0434,-9.6089,active-noncovalent
CC1(CCc2ccccc2[C@H]1NC(=O)Nc3cccnc3)C,2812,x0434,-9.599171,x0434,-9.599171,active-noncovalent
c1cc(cnc1)NC(=O)N[C@H](c2ccc(cc2)C(F)(F)F)c3ccc(cc3)F,11656,x0434,-9.596527,x0434,-9.596527,active-noncovalent
c1ccc(c(c1)[C@@H](c2ccc(cc2)F)NC(=O)Nc3cccnc3)I,13781,x0434,-9.589866,x0434,-9.589866,active-noncovalent
c1cc(cnc1)NC(=O)N[C@@H]2CCSc3c2cc(cc3)Br,10662,x0434,-9.582528,x0434,-9.582528,active-noncovalent
c1cc(cc(c1)F)Oc2ccc(cc2NC(=O)Nc3cccnc3)Cl,9879,x0434,-9.578796,x0434,-9.578796,active-noncovalent
c1ccc(cc1)C[C@@H]2C[C@H]2CCNC(=O)Nc3cccnc3,11430,x0434,-9.572595,x0434,-9.572595,active-noncovalent
c1cc(cnc1)NC(=O)N[C@H]2CCS(=O)(=O)c3c2cc(cc3)Br,14455,x0434,-9.566759,x0434,-9.566759,active-noncovalent
COC(=O)[C@H](c1ccc(cc1)Br)NC(=O)Nc2cccnc2,4771,x0434,-9.563612,x0434,-9.563612,active-noncovalent
C[C@@H]1Cc2cc(ccc2[C@H](C1)NC(=O)Nc3cccnc3)OC,3792,x0434,-9.556354,x0434,-9.556354,active-noncovalent
COC(=O)[C@H](c1ccccc1Cl)NC(=O)Nc2cccnc2,6685,x0434,-9.546761,x0434,-9.546761,active-noncovalent
