SMILES,TITLE,fragments
O=C(NCCc1nc2ncc([N+](=O)[O-])cn2n1)Nc1cccnc1,1,x0434
O=C(Nc1cccnc1)NC1CC2(CCC2)C1OCc1ccccc1,2,x0434
CS[C@H]1C[C@@H](CNC(=O)Nc2cccnc2)C1,3,x0434
CO[C@@H]1C[C@H](NC(=O)Nc2cccnc2)C[C@@H]1O,4,x0434
C#CCC(CNC(=O)Nc1cccnc1)C1CC1,5,x0434
CC(C)(C)OC(=O)[C@H]1C[C@@](O)(CNC(=O)Nc2cccnc2)C1,6,x0434
O=C(Nc1cccnc1)NC1CCCC2(CC1)CC2,7,x0434
O=C(NCC1CC(=C2CCC2)C1)Nc1cccnc1,8,x0434
O=C(NC[C@@]1(CO)CC[C@@H]1c1ccccc1)Nc1cccnc1,9,x0434
O=C(Nc1cccnc1)NC1CCC2CC21CO,10,x0434
O=C(NCCn1cc(Br)nn1)Nc1cccnc1,11,x0434
O=C(NC[C@@H]1C[C@@H]1Br)Nc1cccnc1,12,x0434
CC(C)(C)OC(=O)CCNC(=O)CCCCCNC(=O)Nc1cccnc1,13,x0434
O=C(Nc1cccnc1)N[C@@H]1C[C@H](CO)[C@@H](O)[C@H]1O,14,x0434
C#CCC(CC(=O)OC)NC(=O)Nc1cccnc1,15,x0434
O=C(Nc1cccnc1)N[C@@H]1CC[C@@H]1c1ccc(F)cc1F,16,x0434
CO[C@@H]1C[C@H](CNC(=O)Nc2cccnc2)N(c2cc(C)ncn2)C1,17,x0434
CO[C@@H]1CN[C@H](CNC(=O)Nc2cccnc2)C1,18,x0434
O=C(NC[C@@H]1C[C@H](O)CN1)Nc1cccnc1,19,x0434
O=C(Nc1cccnc1)N[C@@H]1[C@@H]2CC[C@H]1N(Cc1ccccc1)C2,20,x0434
O=C(Nc1cccnc1)N[C@@H]1CCCC[C@@H]1Oc1ccccc1,21,x0434
CNc1cc(N2C[C@H](O)C[C@@H]2CNC(=O)Nc2cccnc2)ncn1,22,x0434
CO[C@H]1CC(NC(=O)Nc2cccnc2)C[C@H]1OC,23,x0434
CCN(C)c1cc(N2C[C@H](O)C[C@@H]2CNC(=O)Nc2cccnc2)ncn1,24,x0434
CC1(C)CN(c2ccccc2NC(=O)Nc2cccnc2)C1=O,25,x0434
CC[C@@H](COC(F)(F)F)NC(=O)Nc1cccnc1,26,x0434
C=C1C(NC(=O)Nc2cccnc2)C[C@H]2C[C@@H]1C2(C)C,27,x0434
CO[C@@H]1CC(NC(=O)Nc2cccnc2)C[C@H]1OC,28,x0434
COC1CC2(CC(CNC(=O)Nc3cccnc3)C2)C1,29,x0434
O=C(NCc1nnc(C(O)C2CC2)[nH]1)Nc1cccnc1,30,x0434
COC(=O)[C@@H]1CC[C@@](F)(CNC(=O)Nc2cccnc2)C1,31,x0434
O=C(Nc1cccnc1)Nc1cncc2c1CCNC2=O,32,x0434
O=C(NC[C@@H]1C[C@H](O)CCO1)Nc1cccnc1,33,x0434
O=C(Nc1cccnc1)NC1[C@H]2CC[C@@H]1C[C@H](CO)C2,34,x0434
Cc1cnc(C(O)(CCNC(=O)Nc2cccnc2)C(F)(F)F)o1,35,x0434
CC1(C)CCOC1CCNC(=O)Nc1cccnc1,36,x0434
O=C(Nc1cccnc1)NC1(c2ccc(O)nc2)CCC1,37,x0434
C=CCC(C)(NC(=O)Nc1cccnc1)C(F)F,38,x0434
CCOC(=O)C12CC(CNC(=O)Nc3cccnc3)(C1)OC21CCC1,39,x0434
O=C(Nc1cccnc1)N[C@H]1C[C@@H](CO)[C@@H]2C[C@H]12,40,x0434
C=CCC1(NC(=O)Nc2cccnc2)CCS(=O)(=O)CC1,41,x0434
