SMILES,TITLE
Cc1ccc2c(c1)[nH]cc2CCNC(=O)C,s_22____9156166____58844
CCOc1cccc2c1c(c[nH]2)CCNC(=O)CC#N,s_22____9226532____8794444
COc1ccc2c(c1)[nH]cc2CCNC(=O)CSCC#C,s_22____13978824____13040272
c1cc2c(cc1O)c(c[nH]2)CCNC(=O)CC#N,s_22____13909752____8794444
c1cc2c(cc1F)[nH]cc2CCNC(=O)CC#N,s_22____2366540____8794444
CC(C)(CCl)C(=O)NCCc1c[nH]c2c1cccc2OC,s_270062____15506652____12187078
CN(C)C(=O)C[NH2+]Cc1cc2ccc(cc2[nH]1)F,s_207____3310404____9293594
COc1ccc2c(c1)c(c[nH]2)CC(C(=O)OC)NC(=O)CSC,s_11a____14724372____55112
COc1ccc2c(c1)[nH]cc2CCNC(=O)COC(F)F,s_22____13978824____10118400
CC(C(=O)NCCc1c[nH]c2c1cc(nc2)Cl)[NH3+],s_240690b____17036622____3025692
COc1ccc2c(c1)[nH]cc2CCNC(=O)CS(=O)(=O)C,s_22____13978824____1290374
COCC(=O)NCCc1c[nH]c2c1cccc2,s_527a____153889____157834
COc1cccc2c1[nH]cc2CCNC(=O)COCC=C,s_22____15506616____3489590
CCNC(=S)NCCc1c[nH]c2c1c(ccc2)OCC,s_8____9226528____83696
C[NH2+]CCC(=O)NCCc1c[nH]c2c1cccc2OC,s_240690b____15506692____10126850
CC(=O)CCC(=O)NCCc1c[nH]c2c1ccc(c2)OC,s_22____13978824____59017
CC(CNC(=O)CSC)c1c[nH]c2c1cc(cc2)OC,s_22____15754586____60364
CC#CC(=O)Nc1cc2cc(ccc2[nH]1)OC,s_22____9276248____9296322
COc1ccc2c(c1)c(c[nH]2)CCNC(=O)CC(F)(F)F,s_22____4839448____1720042
Cc1ccc2c(c1)c(c[nH]2)CCNC(=O)C(C)O,s_22____13612008____7941096
CC#CC(=O)NCCc1c[nH]c2c1c(ccc2)Br,s_22____10303762____9296322
Cc1c[nH]c2c1ccc(c2)OC,EN300-1692548
CC(CNC(=S)NC)c1c[nH]c2c1cc(cc2)OC,s_8____15754582____83693
CCc1c[nH]c2c1cc(cc2)OC,EN300-124986
COc1cccc2c1cc([nH]2)C[NH2+]CC(CF)O,s_207____13905812____15269818
c1cc2c(c(c1)F)c(c[nH]2)CCNC(=O)CC[NH3+],s_240690b____16900534____3025680
CC#CC(=O)NCCc1c[nH]c2c1ccc(c2)OC,s_22____13978824____9296322
CCC(=O)NCc1c[nH]c2c1cc(cc2)OC(C)C,s_22____9192330____58887
CCCC(=O)NCCc1c[nH]c2c1cc(cc2)F,s_22____9631354____58866
c1cc2c(c[nH]c2c(c1)Cl)CCNC(=O)CC[NH3+],s_240690b____12346500____3025680
Cc1cccc2c1[nH]cc2CCNC(=O)COC,s_22____5635330____59039
c1cc2c(cc1F)c(c[nH]2)CCNC(=O)CON,s_240690b____17029356____13151248
COc1ccc2c(c1)c(c[nH]2)CCNC(=O)CCCO,s_22____4839448____16783912
CC(CC(=O)NCCc1c[nH]c2c1cccc2OC)F,s_22____15506616____16890190
CC(C)CNC(=O)NCCc1c[nH]c2c1c(ccc2)OC,s_512____158561____13025528
CCOc1cccc2c1c(c[nH]2)CCNC(=O)N(C)CCF,s_272164____14971852____9387680
c1cc2c(c[nH]c2c(c1)Cl)CCNC(=O)CCl,s_270062____12346470____8147258
CC(C)(CCl)C(=O)NCCc1c[nH]c2c1c(ccc2)OC,s_270062____13025552____12187078
CC(=O)NCC(C)(C)c1c[nH]c2c1ccc(c2)F,s_527a____12637914____156031
CCOc1cccc2c1c(c[nH]2)CCNC(=O)C[NH2+]C,s_240690b____17027970____7368582
c1cc2c(cc1F)[nH]cc2CCNC(=O)CO,s_22____2366540____7941800
c1c(cc(c2c1[nH]cc2CCNC(=O)C[NH3+])F)F,s_240690b____15144160____3025698
CCCOc1ccc2c(c1)c(c[nH]2)CCNC(=O)C(C)O,s_22____13771018____7941096
COc1cccc2c1[nH]cc2CCNC(=O)CSC,s_22____15506616____60364
CSCC(=O)NCCc1c[nH]c2c1c(cc(c2)F)F,s_22____15144084____60364
CC(c1[nH]c2ccc(cc2n1)OC)NC(=O)C[NH3+],s_240690b____17027210____3025698
CC=CC(=O)NCCc1c[nH]c2c1ccc(c2)OC,s_22____13978824____12103014
CC(C)(Cc1c[nH]c2c1ccc(c2)OC)NC(=O)C=C,s_273270____16380474____10884640
CCC(C[NH2+]Cc1cc2cc(ccc2[nH]1)OC)OC,s_270004____10345658____16621896
