SMILES,TITLE,fragments,Hybrid2,docked_fragment,site
c1ccc(c(c1)NCc2ccn[nH]2)F,x0500,x0500,-11.881923,x0678,active-noncovalent
Cc1ccccc1OCC(=O)Nc2ncccn2,x0415,x0415,-11.622278,x0678,active-noncovalent
Cc1csc(n1)CNC(=O)c2ccn[nH]2,x0356,x0356,-11.435024,x0678,active-noncovalent
Cc1csc(n1)CNC(=O)c2ccn[nH]2,x1113,x1113,-11.435024,x0678,active-noncovalent
c1cc(cnc1)NC(=O)CC2CCCCC2,x0678,x0678,-11.355046,x0678,active-noncovalent
c1cc(cc(c1)F)NC(=O)c2cnccn2,x0528,x0528,-11.158923,x0678,active-noncovalent
c1cc(cnc1)C(=O)OCc2ccc(cc2)Cl,x0522,x0522,-11.040628,x0678,active-noncovalent
c1ccc2c(c1)nc(s2)[C@@H]3CCCN(C3)C(=O)CCl,x0749,x0749,-10.822291,x0749,active-covalent
c1ccc2c(c1)nc(s2)[C@@H]3CCCN(C3)C(=O)CCl,x0823,x0823,-10.822291,x0749,active-covalent
C[NH+]1CCN(CC1)C(=O)Cc2c[nH]c3c2cccn3,x1093,x1093,-10.785702,x0749,active-covalent
c1cnccc1CCNC(=O)NC2CCCCC2,x0540,x0540,-10.720702,x0967,active-noncovalent
Cc1c([nH]cn1)C[N@@H+]2CCc3ccccc3C2,x0391,x0391,-10.638167,x0161,active-noncovalent
Cc1cccc(c1)NC(=O)Nc2nc(cs2)C,x1245,x1245,-10.544705,x0678,active-noncovalent
Cc1cccc(c1)NC(=O)Nc2nc(cs2)C,x0367,x0367,-10.544705,x0678,active-noncovalent
CN(CC(=O)[O-])C(=O)c1ccccn1,x0508,x0508,-10.517735,x0397,active-noncovalent
c1cnc(cn1)C(=O)NCCC2=CCCCC2,x0558,x0558,-10.487701,x0678,active-noncovalent
c1ccc(cc1)C[NH+]2CCC(CC2)n3cccc3,x1287,x1287,-10.477966,x0104,active-noncovalent
c1ccc(cc1)C[NH+]2CCC(CC2)n3cccc3,x0430,x0430,-10.477966,x0104,active-noncovalent
C[C@H](C(=O)[O-])Oc1ccc(cc1)c2ccccc2,x1204,x1204,-10.414139,x0678,active-noncovalent
C[C@H](C(=O)[O-])Oc1ccc(cc1)c2ccccc2,x0301,x0301,-10.414139,x0678,active-noncovalent
c1cc(ccc1NC(=O)Nc2ccc(cc2)F)F,x0632,x0632,-10.410782,x0678,active-noncovalent
CNC(=O)C[N@H+](C)C1CCCCCC1,x0626,x0626,-10.361785,x0678,active-noncovalent
Cc1ncc(s1)CNc2cc(cnc2)F,x0404,x0404,-10.347001,x0678,active-noncovalent
Cc1ncc(s1)CNc2cc(cnc2)F,x1272,x1272,-10.347001,x0678,active-noncovalent
c1cc(ccc1C(=O)N)NC(=O)c2cnccn2,x0531,x0531,-10.329702,x0678,active-noncovalent
c1cc(ccc1C(=O)N)NC(=O)c2cnccn2,x1255,x1255,-10.329702,x0678,active-noncovalent
Cc1ccc(cc1)OCC(=O)Nc2cc(on2)C,x0655,x0655,-10.299666,x0678,active-noncovalent
CCn1cc(cn1)CNC(=O)c2cccnc2,x0389,x0389,-10.282750,x0107,active-noncovalent
Cc1cc(no1)NC(=O)CSc2ccccc2,x0447,x0447,-10.276305,x0678,active-noncovalent
c1ccc(cc1)NC(=O)Nc2cccnc2,x0434,x0434,-10.248122,x0678,active-noncovalent
c1ccc(c(c1)CNc2[nH]c3ccccc3n2)O,x0390,x0390,-10.243726,x0434,active-noncovalent
c1cc(c(cc1C(F)(F)F)N)N2CCCCC2,x0219,x0219,-10.238253,x0749,active-covalent
c1ccc(cc1)CC2CCN(CC2)C(=O)CC#N,x0127,x0127,-10.234052,x0749,active-covalent
CC(=O)N[C@H](Cc1ccc(cc1)O)C(=O)NCC#CBr,x0967,x0967,-10.207242,x0678,active-noncovalent
c1cc(oc1)CNC(=O)Nc2ccc(cc2)F,x0453,x0453,-10.193295,x1093,active-noncovalent
c1ccc(cc1)c2ccc(cc2)n3cnnn3,x0042,x0042,-10.162877,x0749,active-covalent
c1ccc(cc1)c2ccc(cc2)n3cnnn3,x1055,x1055,-10.162877,x0749,active-covalent
CC(=O)NCCc1c[nH]c2c1cc(cc2)F,x0104,x0104,-10.150834,x0195,active-noncovalent
Cc1ccc(cc1)Nc2c3c[nH]nc3ncn2,x1233,x1233,-10.091614,x0072,active-noncovalent
Cc1cc(no1)C(=O)Nc2ccc3c(c2)cc[nH]3,x0459,x0459,-10.088093,x0678,active-noncovalent
Cc1ccc(c(c1)OC(=O)c2ccncc2)C,x0607,x0607,-10.074556,x0749,active-covalent
c1cc(ccc1N2CCN(CC2)C(=O)C3CC3)F,x1251,x1251,-10.040556,x0749,active-covalent
c1cc(ccc1N2CCN(CC2)C(=O)C3CC3)F,x0490,x0490,-10.040556,x0749,active-covalent
Cc1ccc(cc1)CC(=O)Nc2nccs2,x0095,x0095,-10.034944,x0678,active-noncovalent
Cc1c(cnn1C)C(=O)NCC2CCC2,x0408,x0408,-10.012135,x0678,active-noncovalent
Cc1c(cnn1C)C(=O)NCC2CCC2,x1079,x1079,-10.012135,x0678,active-noncovalent
c1ccc(cc1)C2CC[NH+](CC2)CC(=O)[O-],x0210,x0210,-10.005326,x0678,active-noncovalent
CC(=O)N1CCC(CC1)[NH2+]CCc2ccccc2,x0494,x0494,-9.992181,x0678,active-noncovalent
COc1ccc(cc1)C(=O)C2CC[NH2+]CC2,x0149,x0149,-9.966073,x0749,active-covalent
Cc1nc(on1)C[C@H](c2ccccc2)[NH3+],x0288,x0288,-9.955351,x0678,active-noncovalent
Cc1nc(on1)C[C@H](c2ccccc2)[NH3+],x1140,x1140,-9.955351,x0678,active-noncovalent
Cc1nc(cs1)C[NH+]2CCC(CC2)C[NH3+],x0461,x0461,-9.916791,x0678,active-noncovalent
CC(C)[NH+]1CCN(CC1)C(=O)c2cccs2,x0442,x0442,-9.915393,x0104,active-noncovalent
c1ccc2c(c1)ncn2Cc3ccc(cc3)F,x0505,x0505,-9.898929,x0749,active-covalent
c1ccc(cc1)OCC(=O)N2CCNC(=O)C2,x0414,x0414,-9.892899,x0678,active-noncovalent
c1ccc(cc1)[C@@H]2C[C@H]2C(=O)Nc3nccs3,x0362,x0362,-9.891851,x0678,active-noncovalent
C[C@H](c1nc(no1)Cc2ccccc2)[NH3+],x0243,x0243,-9.891538,x0107,active-noncovalent
C[C@H](c1nc(no1)Cc2ccccc2)[NH3+],x1151,x1151,-9.891538,x0107,active-noncovalent
CCOC(=O)C1CCN(CC1)c2cnccn2,x0393,x0393,-9.851280,x0678,active-noncovalent
c1cc(cc(c1)F)C[NH2+]Cc2ccco2,x0350,x0350,-9.775595,x1093,active-noncovalent
c1cnccc1c2nc(on2)C3CCCCC3,x0437,x0437,-9.766360,x0749,active-covalent
c1ccc(cc1)C[NH+]2CC(=O)NC(=O)C2,x0076,x0076,-9.763610,x0195,active-noncovalent
c1ccc(cc1)C[NH+]2CC(=O)NC(=O)C2,x1073,x1073,-9.763610,x0195,active-noncovalent
CC(C)NC(=O)c1ccn[nH]1,x0221,x0221,-9.741217,x0678,active-noncovalent
c1ccc(cc1)COc2ccc(cc2)C(=O)[O-],x1084,x1084,-9.734284,x0072,active-noncovalent
c1ccc(cc1)COc2ccc(cc2)C(=O)[O-],x0116,x0116,-9.734284,x0072,active-noncovalent
c1ccc2c(c1)[nH]c(n2)NCc3ccco3,x1103,x1103,-9.681434,x0678,active-noncovalent
c1ccc2c(c1)[nH]c(n2)NCc3ccco3,x0358,x0358,-9.681434,x0678,active-noncovalent
CCc1nnc(s1)NC(=O)c2cnccn2,x0606,x0606,-9.664877,x0678,active-noncovalent
