SMILES,TITLE,fragments,CrystalName,CompoundCode,MountingResult,DataCollectionOutcome,DataProcessingResolutionHigh,RefinementOutcome,Deposition_PDB_ID,Hybrid2,docked_fragment,Mpro-x0500_dock,site
c1ccc(c(c1)NCc2ccn[nH]2)F,x0500,x0500,Mpro-x0500,Z1545196403,OK: No comment:No comment,success,2.19,7 - Analysed & Rejected,None,-11.881923,x0678,-2.501554,active-noncovalent
c1ccc(cc1)C2(CCCC2)CC(=O)Nc3cccnc3,x2849,x2849,Mpro-x2849,CHR-SOS-f73-4,OK: Clear:No comment,success,2.42,7 - Analysed & Rejected,None,-11.737092,x0678,,active-noncovalent
Cc1ccccc1OCC(=O)Nc2ncccn2,x0415,x0415,Mpro-x0415,Z53834613,OK: No comment:No comment,success,1.62,7 - Analysed & Rejected,None,-11.622278,x0678,,active-noncovalent
Cc1csc(n1)CNC(=O)c2ccn[nH]2,x0356,x0356,Mpro-x0356,Z466628048,OK: No comment:No comment,success,3.25,7 - Analysed & Rejected,None,-11.435024,x0678,,active-noncovalent
Cc1csc(n1)CNC(=O)c2ccn[nH]2,x1113,x1113,Mpro-x1113,Z466628048,OK: No comment:No comment,success,1.57,7 - Analysed & Rejected,None,-11.435024,x0678,,active-noncovalent
c1cc(cnc1)NC(=O)CC2CCCCC2,x0678,x0678,Mpro-x0678,Z31792168,Mounted_Clear,success,1.83,6 - Deposited,5R84,-11.355046,x0678,,active-noncovalent
c1cc(cnc1)NC(=O)Cc2ccc(s2)Cl,x2475,x2475,Mpro-x2475,Z2010253653,OK: Clear:Normal,success,2.34,7 - Analysed & Rejected,None,-11.181113,x0678,,active-noncovalent
c1cc(cnc1)NC(=O)Cc2ccc(s2)Cl,x2643,x2643,Mpro-x2643,Z2010253653,OK: No comment:No comment,success,3.46,6 - Deposited,5RH1,-11.181113,x0678,,active-noncovalent
c1cc(cc(c1)F)NC(=O)c2cnccn2,x0528,x0528,Mpro-x0528,Z28143241,OK: No comment:No comment,success,1.9,7 - Analysed & Rejected,None,-11.158923,x0678,,active-noncovalent
c1ccc(cc1)[C@@H]2C[N@@H+](C[C@H]2C(=O)N)Cc3cccnc3,x2834,x2834,Mpro-x2834,DUN-NEW-d83-1,OK: Clear:No comment,success,2.42,7 - Analysed & Rejected,None,-11.157682,x0678,,active-noncovalent
Cc1ccncc1NC(=O)[C@@H](C)c2cccc(c2)Cl,x2481,x2481,Mpro-x2481,Z1264525706,OK: Clear:Normal,success,1.86,3 - In Refinement,None,-11.149205,x0678,,active-noncovalent
Cc1ccncc1NC(=O)[C@@H](C)c2cccc(c2)Cl,x2649,x2649,Mpro-x2649,Z1264525706,OK: No comment:No comment,success,1.69,6 - Deposited,5RH3,-11.149205,x0678,,active-noncovalent
c1ccc(c(c1)CC(=O)OCc2cn[nH]n2)O[C@@H]3CCOC3,x2812,x2812,Mpro-x2812,BAR-COM-4e0-50,OK: Clear:No comment,success,2.09,7 - Analysed & Rejected,None,-11.107311,x0678,,active-noncovalent
c1cc(cnc1)C(=O)OCc2ccc(cc2)Cl,x0522,x0522,Mpro-x0522,Z57515803,OK: No comment:No comment,success,2.17,7 - Analysed & Rejected,None,-11.040628,x0678,,active-noncovalent
c1ccc2c(c1)nc(s2)[C@@H]3CCCN(C3)C(=O)CCl,x0749,x0749,Mpro-x0749,PCM-0102425,OK: Clear:Normal,success,2.15,6 - Deposited,5REN,-10.828880,x0749,,active-covalent
c1ccc2c(c1)nc(s2)[C@@H]3CCCN(C3)C(=O)CCl,x0823,x0823,Mpro-x0823,PCM-0102425,OK: Clear:Cracked,success,1.77,7 - Analysed & Rejected,None,-10.828880,x0749,,active-covalent
C[NH+]1CCN(CC1)C(=O)Cc2c[nH]c3c2cccn3,x1093,x1093,Mpro-x1093,Z316425948_minor,OK: No comment:No comment,success,1.54,6 - Deposited,5RF7,-10.785702,x0749,,active-covalent
c1ccc(cc1)N2CCN(CC2)C(=O)c3cc(=O)[nH]c4c3cccc4,x2796,x2796,Mpro-x2796,Z27770229,OK: Clear:No comment,Failed - low resolution,2.96,,None,-10.749320,x0107,,active-noncovalent
