SMILES,TITLE,fragments,CrystalName,CompoundCode,MountingResult,DataCollectionOutcome,DataProcessingResolutionHigh,RefinementOutcome,Deposition_PDB_ID,Hybrid2,docked_fragment,Mpro-x2643_dock,site,run
c1cc(cnc1)NC(=O)Cc2ccc(s2)Cl,x2643,x2643,Mpro-x2643,Z2010253653,OK: No comment:No comment,success,3.46,6 - Deposited,5RH1,-11.181113,x0678,-1.170343,active-noncovalent,RUN0
c1cc(cc(c1)F)NC(=O)c2cnccn2,x0528,x0528,Mpro-x0528,Z28143241,OK: No comment:No comment,success,1.9,7 - Analysed & Rejected,None,-11.158923,x0678,,active-noncovalent,RUN1
Cc1ccncc1NC(=O)[C@@H](C)c2cccc(c2)Cl,x2649,x2649,Mpro-x2649,Z1264525706,OK: No comment:No comment,success,1.69,6 - Deposited,5RH3,-11.149205,x0678,,active-noncovalent,RUN2
c1cc(cnc1)C(=O)OCc2ccc(cc2)Cl,x0522,x0522,Mpro-x0522,Z57515803,OK: No comment:No comment,success,2.17,7 - Analysed & Rejected,None,-11.040628,x0678,,active-noncovalent,RUN3
c1ccc2c(c1)nc(s2)[C@@H]3CCCN(C3)C(=O)CCl,x0749,x0749,Mpro-x0749,PCM-0102425,OK: Clear:Normal,success,2.15,6 - Deposited,5REN,-10.828880,x0749,,active-covalent,RUN4
c1cnccc1CCNC(=O)NC2CCCCC2,x0540,x0540,Mpro-x0540,Z111507846,OK: No comment:No comment,success,1.8,6 - Deposited,5REH,-10.720702,x0967,,active-noncovalent,RUN5
c1cc(cc(c1)Cl)CNC(=O)Cc2c[nH]c3c2cccn3,x2482,x2482,Mpro-x2482,Z1400783129,OK: Clear:Normal,success,1.83,7 - Analysed & Rejected,None,-10.682974,x0678,,active-noncovalent,RUN6
c1cc(cc(c1)Cl)CNC(=O)Cc2c[nH]c3c2cccn3,x2650,x2650,Mpro-x2650,Z1400783129,OK: Precipitated:No comment,success,1.76,7 - Analysed & Rejected,None,-10.682974,x0678,,active-noncovalent,RUN7
c1ccc(cc1)C[NH+]2CCC(CC2)n3cccc3,x1287,x1287,Mpro-x1287,Z2856434898,OK: No comment:No comment,success,1.86,7 - Analysed & Rejected,None,-10.477966,x0104,,active-noncovalent,RUN8
C[C@H](C(=O)[O-])Oc1ccc(cc1)c2ccccc2,x1204,x1204,Mpro-x1204,Z111782404,OK: No comment:No comment,None,None,,None,-10.414139,x0678,,active-noncovalent,RUN9
Cc1ccncc1NC(=O)Cc2cccc(c2)Cl,x2646,x2646,Mpro-x2646,Z1129289650,OK: No comment:No comment,success,1.83,6 - Deposited,5RH2,-10.387289,x0678,,active-noncovalent,RUN10
c1ccc(cc1)NC2CCN(CC2)c3ccc(cc3)S(=O)(=O)N,x2848,x2848,Mpro-x2848,WAR-XCH-b68-29,OK: Clear:No comment,success,1.91,7 - Analysed & Rejected,None,-10.363422,x0072,,active-noncovalent,RUN11
C[C@@H](c1ccc2c3cc(ccc3[nH]c2c1)Cl)C(=O)[O-],x2659,x2659,Mpro-x2659,Z1530425063,OK: No comment:Cracked,success,1.34,6 - Deposited,5RH4,-10.343470,x0749,,active-covalent,RUN12
c1ccc(cc1)[C@H]2CN(Cc3c2cccc3)C(=O)CCl,x1440,x1440,Mpro-x1440,PCM-0102432,OK: No comment:No comment,success,1.98,7 - Analysed & Rejected,None,-10.232087,x0831,,active-covalent,RUN13
c1ccc(cc1)[C@H]2CN(Cc3c2cccc3)C(=O)CCl,x1337,x1337,Mpro-x1337,PCM-0102432,OK: No comment:No comment,success,1.82,7 - Analysed & Rejected,None,-10.232087,x0831,,active-covalent,RUN14
c1ccc(cc1)[C@H]2CN(Cc3c2cccc3)C(=O)CCl,x1470,x1470,Mpro-x1470,PCM-0102432,OK: No comment:No comment,success,1.69,7 - Analysed & Rejected,None,-10.232087,x0831,,active-covalent,RUN15
Cn1cc(nn1)CNC(=O)N(CCc2ccccc2)Cc3cccnc3,x2825,x2825,Mpro-x2825,BAR-COM-4e0-47,OK: Clear:No comment,success,3.18,7 - Analysed & Rejected,None,-10.219568,x0678,,active-noncovalent,RUN16
CC(=O)N[C@H](Cc1ccc(cc1)O)C(=O)NCC#CBr,x0967,x0967,Mpro-x0967,NCL-00024905,OK: No comment:No comment,success,1.65,6 - Deposited,5RG1,-10.207242,x0678,,active-noncovalent,RUN17
c1cc(cc(c1)NC(=O)[C@H](c2cccnc2)O)c3cc[nH]n3,x2835,x2835,Mpro-x2835,BAR-COM-4e0-68,OK: Clear:No comment,success,1.79,7 - Analysed & Rejected,None,-10.195171,x0195,,active-noncovalent,RUN18
c1ccc(cc1)c2ccc(cc2)n3cnnn3,x0042,x0042,Mpro-x0042,Z57479285,OK: No comment:No comment,success,2.56,7 - Analysed & Rejected,None,-10.162877,x0749,,active-covalent,RUN19
C[C@H]1CCC[C@H](C1)OCc2cccc(c2)NC(=O)N[C@@H](C)c3cc[nH]n3,x2821,x2821,Mpro-x2821,BAR-COM-4e0-63,OK: Clear:No comment,success,1.87,7 - Analysed & Rejected,None,-10.126563,x0195,,active-noncovalent,RUN20
Cc1ccc(cc1)Nc2c3c[nH]nc3ncn2,x1233,x1233,Mpro-x1233,Z57101343,OK: Precipitated:No comment,success,1.27,7 - Analysed & Rejected,None,-10.091614,x0072,,active-noncovalent,RUN21
c1cc2c(c[nH]c2nc1)CC(=O)NCc3ccc(cc3)Cl,x2647,x2647,Mpro-x2647,Z1400780364,OK: No comment:No comment,success,1.87,7 - Analysed & Rejected,None,-10.089762,x0678,,active-noncovalent,RUN22
c1cc2c(c[nH]c2nc1)CC(=O)NCc3ccc(cc3)Cl,x2479,x2479,Mpro-x2479,Z1400780364,OK: Crystalline:Normal,success,1.84,7 - Analysed & Rejected,None,-10.089762,x0678,,active-noncovalent,RUN23
Cc1cc(no1)C(=O)Nc2ccc3c(c2)cc[nH]3,x0459,x0459,Mpro-x0459,Z1190787729,OK: No comment:No comment,success,1.95,7 - Analysed & Rejected,None,-10.088093,x0678,,active-noncovalent,RUN24
Cc1ccc(c(c1)OC(=O)c2ccncc2)C,x0607,x0607,Mpro-x0607,Z30891796,OK: No comment:No comment,success,1.77,7 - Analysed & Rejected,None,-10.074556,x0749,,active-covalent,RUN25
c1cc(ccc1N2CCN(CC2)C(=O)C3CC3)F,x1251,x1251,Mpro-x1251,Z30620520,OK: No comment:No comment,success,1.71,7 - Analysed & Rejected,None,-10.040556,x0749,,active-covalent,RUN26
c1ccc2c(c1)c(cc(n2)Cl)NC(=O)C3CCN(CC3)C(=O)CCl,x2724,x2724,Mpro-x2724,PG-COV-17,OK: Clear:No comment,success,2.35,7 - Analysed & Rejected,None,-9.996580,x0831,,active-covalent,RUN27
c1ccc2c(c1)c(cc(n2)Cl)NC(=O)C3CCN(CC3)C(=O)CCl,x2048,x2048,Mpro-x2048,PG-COV-17,OK: No comment:No comment,success,1.53,7 - Analysed & Rejected,None,-9.996580,x0831,,active-covalent,RUN28
CC(=O)N1CCC(CC1)[NH2+]CCc2ccccc2,x0494,x0494,Mpro-x0494,Z2856434883,OK: No comment:No comment,success,2.38,7 - Analysed & Rejected,None,-9.992181,x0678,,active-noncovalent,RUN29
Cc1nc(on1)C[C@H](c2ccccc2)[NH3+],x1140,x1140,Mpro-x1140,Z2442269480,OK: No comment:No comment,success,1.85,7 - Analysed & Rejected,None,-9.955351,x0678,,active-noncovalent,RUN30
CC(C)[NH+]1CCN(CC1)C(=O)c2cccs2,x0442,x0442,Mpro-x0442,Z2856434826,OK: No comment:No comment,success,1.82,7 - Analysed & Rejected,None,-9.915393,x0104,,active-noncovalent,RUN31
C[C@@H](c1cnccn1)C(=O)Nc2cccc(c2)O[C@H]3CC(=O)N3,x2829,x2829,Mpro-x2829,BAR-COM-4e0-53,OK: Clear:No comment,success,2.29,7 - Analysed & Rejected,None,-9.905735,x0195,,active-noncovalent,RUN32
CS(=O)(=O)Nc1cccc(c1)C(=O)Oc2cccc(c2)N3CCCC3=O,x2858,x2858,Mpro-x2858,MAK-UNK-915-7,OK: Clear:No comment,success,2.16,7 - Analysed & Rejected,None,-9.903871,x0161,,active-noncovalent,RUN33
c1cc(ccc1NC2CCN(CC2)c3ccc(cc3)S(=O)(=O)N)F,x2822,x2822,Mpro-x2822,WAR-XCH-b68-26,OK: Clear:No comment,success,2.24,7 - Analysed & Rejected,None,-9.858924,x0072,,active-noncovalent,RUN34
C[C@H](c1ccccc1)[NH+]2CCN(CC2)C(=O)CCl,x0699,x0699,Mpro-x0699,PCM-0102710,OK: Clear:Normal,success,1.88,7 - Analysed & Rejected,None,-9.851532,x0831,,active-covalent,RUN35
CS(=O)(=O)Cc1ccc(o1)C(=O)Nc2cccnc2,x2642,x2642,Mpro-x2642,Z995832158,OK: No comment:No comment,success,1.89,7 - Analysed & Rejected,None,-9.845098,x0107,,active-noncovalent,RUN36
CS(=O)(=O)Cc1ccc(o1)C(=O)Nc2cccnc2,x2474,x2474,Mpro-x2474,Z995832158,OK: Clear:Normal,success,1.85,7 - Analysed & Rejected,None,-9.845098,x0107,,active-noncovalent,RUN37
c1cc(cc(c1)Cl)NC(=O)Cc2c[nH]c3c2cccn3,x2480,x2480,Mpro-x2480,Z1400781098,OK: Clear:Normal,success,1.9,7 - Analysed & Rejected,None,-9.791058,x0397,,active-noncovalent,RUN38
c1cc(cc(c1)Cl)NC(=O)Cc2c[nH]c3c2cccn3,x2648,x2648,Mpro-x2648,Z1400781098,OK: Precipitated:Cracked,success,2.3,7 - Analysed & Rejected,None,-9.791058,x0397,,active-noncovalent,RUN39
c1cnccc1c2nc(on2)C3CCCCC3,x0437,x0437,Mpro-x0437,Z57715447,OK: No comment:No comment,success,2.46,7 - Analysed & Rejected,None,-9.766360,x0749,,active-covalent,RUN40
c1ccc(cc1)C[NH+]2CC(=O)NC(=O)C2,x0076,x0076,Mpro-x0076,Z2856434910,OK: No comment:No comment,success,2.74,7 - Analysed & Rejected,None,-9.763610,x0195,,active-noncovalent,RUN41
c1ccc(cc1)COc2ccc(cc2)C(=O)[O-],x0116,x0116,Mpro-x0116,Z2856434845,OK: Precipitated:Normal,success,2.84,7 - Analysed & Rejected,None,-9.734284,x0072,,active-noncovalent,RUN42
C=CC(=O)N1CCn2c3cccc(c3cc2C1)Cl,x2029,x2029,Mpro-x2029,PCM-0102835-001,OK: No comment:No comment,success,2.04,7 - Analysed & Rejected,None,-9.699213,x0749,,active-covalent,RUN43
c1ccc2c(c1)cccc2C[NH+]3CCN(CC3)C(=O)CCl,x0830,x0830,Mpro-x0830,PCM-0102287,OK: Clear:Normal,success,2.07,6 - Deposited,5REX,-9.686901,x0830,,active-covalent,RUN44
c1ccc2c(c1)cccc2C[NH+]3CCN(CC3)C(=O)CCl,x0756,x0756,Mpro-x0756,PCM-0102287,OK: Clear:Normal,success,2.77,7 - Analysed & Rejected,None,-9.686901,x0830,,active-covalent,RUN45
c1cc(cc(c1)Cl)NC(=O)Nc2cc(cnc2)N,x2866,x2866,Mpro-x2866,DAR-DIA-23a-13,OK: Clear:No comment,success,3.18,7 - Analysed & Rejected,None,-9.678142,x0678,,active-noncovalent,RUN46
CCc1nnc(s1)NC(=O)c2cnccn2,x0606,x0606,Mpro-x0606,Z26824727,OK: No comment:No comment,success,3.12,7 - Analysed & Rejected,None,-9.664877,x0678,,active-noncovalent,RUN47
c1ccc(cc1)C[NH2+]Cc2ccc(cc2)F,x0435,x0435,Mpro-x0435,Z2856434783,OK: No comment:No comment,success,1.75,7 - Analysed & Rejected,None,-9.645031,x1093,,active-noncovalent,RUN48
c1cc(c(c(c1)Cl)C[NH+]2CCN(CC2)C(=O)CCl)F,x0729,x0729,Mpro-x0729,PCM-0102137,OK: Clear:Normal,success,1.98,7 - Analysed & Rejected,None,-9.636753,x0830,,active-covalent,RUN49
C[NH+]1CCN(CC1)c2ccc(cc2)C#N,x0609,x0609,Mpro-x0609,Z2856434840,OK: Crystalline:Cracked,Failed - low resolution,3.86,,None,-9.630262,x0749,,active-covalent,RUN50
C[NH+]1CCN(CC1)c2ccc(cc2)C#N,x1265,x1265,Mpro-x1265,Z2856434840,OK: No comment:No comment,success,1.48,7 - Analysed & Rejected,None,-9.630262,x0749,,active-covalent,RUN51
CC(C)[N@@H+](C)CC1CCN(CC1)c2ccc(cc2)S(=O)(=O)N,x2804,x2804,Mpro-x2804,WAR-XCH-b72-48,OK: Clear:No comment,success,2.88,7 - Analysed & Rejected,None,-9.625897,x0104,,active-noncovalent,RUN52
c1cc(cc(c1)Cl)C(=O)Nc2cccnc2,x2658,x2658,Mpro-x2658,Z31791487,OK: No comment:No comment,success,2.29,7 - Analysed & Rejected,None,-9.620449,x0678,,active-noncovalent,RUN53
c1cc(cc(c1)Cl)C(=O)Nc2cccnc2,x2490,x2490,Mpro-x2490,Z31791487,OK: Clear:Cracked,success,2.48,7 - Analysed & Rejected,None,-9.620449,x0678,,active-noncovalent,RUN54
c1cc(ccc1C[NH2+]C2CCCCC2)O,x1121,x1121,Mpro-x1121,Z2241127906,OK: No comment:No comment,success,2.03,7 - Analysed & Rejected,None,-9.573311,x0678,,active-noncovalent,RUN55
c1cc(cnc1)NC(=O)c2cc(ccc2O)Cl,x2486,x2486,Mpro-x2486,Z280470232,OK: Crystalline:Normal,Failed - low resolution,3.04,,None,-9.563734,x0678,,active-noncovalent,RUN56
c1cc(cnc1)NC(=O)c2cc(ccc2O)Cl,x2654,x2654,Mpro-x2654,Z280470232,OK: No comment:No comment,success,2.64,7 - Analysed & Rejected,None,-9.563734,x0678,,active-noncovalent,RUN57
c1ccc(cc1)CCNc2[nH]c3ccccc3n2,x1049,x1049,Mpro-x1049,Z57299529,OK: Precipitated:Normal,success,2.08,7 - Analysed & Rejected,None,-9.556696,x0434,,active-noncovalent,RUN58
c1ccc(cc1)CCNc2[nH]c3ccccc3n2,x0463,x0463,Mpro-x0463,Z57299529,OK: No comment:No comment,success,1.88,7 - Analysed & Rejected,None,-9.556696,x0434,,active-noncovalent,RUN59
Cc1ccnc(c1)NC(=O)Cc2ccc3ccccc3c2,x2495,x2495,Mpro-x2495,Z71390073,OK: Precipitated:Normal,success,1.75,7 - Analysed & Rejected,None,-9.554324,x1093,,active-noncovalent,RUN60
Cc1ccnc(c1)NC(=O)Cc2ccc3ccccc3c2,x2663,x2663,Mpro-x2663,Z71390073,OK: No comment:No comment,success,1.82,7 - Analysed & Rejected,None,-9.554324,x1093,,active-noncovalent,RUN61
c1cc2c(c[nH]c2nc1)CC(=O)NCc3cc(ccn3)Cl,x2644,x2644,Mpro-x2644,Z1575152133,OK: No comment:No comment,success,1.93,7 - Analysed & Rejected,None,-9.539196,x0678,,active-noncovalent,RUN62
c1cc(ccc1[C@H]2CN(CCO2)C(=O)CCl)F,x0685,x0685,Mpro-x0685,PCM-0102615,OK: Clear:Normal,success,2.28,7 - Analysed & Rejected,None,-9.509590,x0749,,active-covalent,RUN63
c1cc(ccc1[C@H]2CN(CCO2)C(=O)CCl)F,x1329,x1329,Mpro-x1329,PCM-0102615,OK: No comment:No comment,success,3.14,7 - Analysed & Rejected,None,-9.509590,x0749,,active-covalent,RUN64
C[NH+]1CCN(CC1)C(=O)c2ccc(c(c2)F)F,x0507,x0507,Mpro-x0507,Z2856434829,OK: No comment:No comment,success,1.91,7 - Analysed & Rejected,None,-9.467382,x0072,,active-noncovalent,RUN65
C[C@@H](c1cnccn1)NC(=O)c2ccccc2OC3CCCCC3,x2814,x2814,Mpro-x2814,BAR-COM-4e0-26,OK: Clear:No comment,success,2.29,7 - Analysed & Rejected,None,-9.447334,x0678,,active-noncovalent,RUN66
C=CC(=O)N1CCCn2c3ccccc3cc2C1,x2774,x2774,Mpro-x2774,PCM-0102730-001,OK: Clear:No comment,success,2.12,7 - Analysed & Rejected,None,-9.444095,x0749,,active-covalent,RUN67
C=CC(=O)N1CCCn2c3ccccc3cc2C1,x2761,x2761,Mpro-x2761,PCM-0102730-001,OK: Clear:No comment,success,1.89,7 - Analysed & Rejected,None,-9.444095,x0749,,active-covalent,RUN68
c1cc(ccc1N2CCN(CC2)C(=O)CCl)F,x1346,x1346,Mpro-x1346,PCM-0102905,OK: No comment:No comment,success,2.05,7 - Analysed & Rejected,None,-9.437925,x0749,,active-covalent,RUN69
c1ccc2c(c1)CC[N@H+](C2)Cc3ccccc3O,x0581,x0581,Mpro-x0581,Z2856434881,OK: Precipitated:No comment,success,1.86,7 - Analysed & Rejected,None,-9.420887,x1093,,active-noncovalent,RUN70
c1cc(cc(c1)N2CCN(CC2)C(=O)CCl)C(F)(F)F,x0754,x0754,Mpro-x0754,PCM-0102239,OK: Clear:Normal,success,1.77,7 - Analysed & Rejected,None,-9.381646,x0749,,active-covalent,RUN71
c1ccc(c(c1)N2CCN(CC2)C(=O)CCl)F,x0714,x0714,Mpro-x0714,PCM-0102373,OK: Clear:Normal,success,1.83,7 - Analysed & Rejected,None,-9.349375,x0749,,active-covalent,RUN72
