SMILES,CID,fragments
CS(=O)(=O)NCCC=1C=CC=CC1,Z45617795,x0072
CC(=O)NCCC1=CNC=2C=CC(F)=CC12,Z1220452176,x0104
CC(=O)NC=1C=NC=CC1C,Z1129283193,x0107
COC(=O)C=1C=CC(=CC1)S(=O)(=O)N,Z18197050,x0161
CN1CCN(CC1)C(=O)NC=2C=CC=CC2,Z2856434890,x0165
NC(=O)C1CCN(CC1)C(=O)NC=2C=CC=CC2,Z33545544,x0177
CC(=O)NC=1C=CC(OC=2N=CC=CN2)=CC1,Z54571979,x0194
CN1CCCC=2C=CC(=CC12)S(=O)(=O)N,Z1367324110,x0195
CCNC=1C=CC(C#N)=CN1,Z219104216,x0305
CC(=O)NCC=1C=CC(=CC1)S(=O)(=O)N,Z30932204,x0336
FC=1C=CC=C(CNCC2=CC=CO2)C1,Z2737076969,x0350
CN1CCN(CC1)C(=O)COC=2C=CC(C)=CC2,Z2856434836,x0354
O=C(N1CCCCCC1)C=2C=CC=3OCOC3C2,Z31432226,x0376
OC1CCN(CC=2C=CSC2)CC1,Z2856434899,x0387
OC=1C=CC=CC1CNC2=NC=3C=CC=CC3N2,Z1587220559,x0390
CC1=NN=C(CN2CCC=C(F)C2)S1,Z1619978933,x0395
CN(CC=1C=C(C)ON1)C(=O)NC2CC2,Z369936976,x0397
C(CN1CCOCC1)SC=2C=CC=CC2,Z2856434865,x0398
C1CC2(CCN(C2)C=3C=NC=CN3)CO1,Z1401276297,x0425
FC=1C=CC=CC1C(=O)NCCC=2C=CN=CC2,Z1310876699,x0426
O=C(NC=1C=CC=CC1)NC=2C=CC=NC2,Z44592329,x0434
CC1C(O)CCCN1CC=2C=CC=CC2,Z2217052426,x0464
COC(=O)C=1C=CC=C(NS(=O)(=O)C)C1,Z24758179,x0478
NC(=O)C=1C=CC(NC(=O)[C@@H]2CCCO2)=CC1,Z1545313172,x0499
O=C(NCCC=1C=CN=CC1)NC2CCCCC2,Z111507846,x0540
ClC=1C=CC=C(CN2CCOCC2)C1,Z2856434856,x0669
O=C(CC1CCCCC1)NC=2C=CC=NC2,Z31792168,x0678
ClCC(=O)N1CCN(CC1)S(=O)(=O)c2cccs2,PCM-0102241,x0689
Fc1cccc(c1)S(=O)(=O)N2CCN(CC2)C(=O)CCl,PCM-0102327,x0691
Cc1cccc(CN2CCN(CC2)C(=O)CCl)c1,PCM-0102340,x0692
Cc1ccc(cc1)C(=O)N2CCN(CC2)C(=O)CCl,PCM-0102962,x0705
ClCC(=O)NNC(=O)c1cc2CCCCc2s1,PCM-0102142,x0708
Cc1ccc(cc1)S(=O)(=O)N2CCN(CC2)C(=O)CCl,PCM-0102759,x0731
[O-][N+](=O)c1ccccc1N2CCN(CC2)C(=O)CCl,PCM-0103016,x0734
ClCC(=O)N1CCN(CC1)C(=O)c2occc2,PCM-0102248,x0736
ClCC(=O)N1CCCC(C1)c2nc3ccccc3s2,PCM-0102425,x0749
ClCC(=O)NCc1ccc2OCOc2c1,PCM-0102578,x0752
Fc1cccc(F)c1S(=O)(=O)N2CCN(CC2)C(=O)CCl,PCM-0102201,x0755
Fc1ccc(cc1)C2CN(CCO2)C(=O)CCl,PCM-0102615,x0759
Fc1ccccc1S(=O)(=O)N2CCN(CC2)C(=O)CCl,PCM-0102281,x0769
ClCC(=O)N1CCN(Cc2cccc(Cl)c2)CC1,PCM-0102269,x0770
Cc1ccc(c(C)c1)S(=O)(=O)N2CCN(CC2)C(=O)CCl,PCM-0102628,x0771
ClCC(=O)N1CCN(CC1)S(=O)(=O)c2ccccc2C#N,PCM-0102395,x0774
ClCC(=O)Nc1cccc(c1)C(=O)N2CCSCC2,PCM-0103072,x0786
CC(NC(=O)CCl)c1cccc2ccccc12,PCM-0102275,x0820
ClCC(=O)N1CCN(Cc2cccc3ccccc23)CC1,PCM-0102287,x0830
Cc1ccccc1CN2CCCN(CC2)C(=O)CCl,PCM-0102911,x0831
O=C([C@@H]1[C@H](C2=CSC=C2)CCC1)N,POB0129,x0874
OCC1(C2=NC=CC=C2)CCCC1,POB0073,x0887
BrC1=CC=C(S(N)(=O)=O)C=C1,NCL-00023830,x0946
CC(=O)NC(Cc1ccc(cc1)O)C(=O)NCC#CBr,NCL-00024905,x0967
C[C@H](O)[C@H](NC(=O)C)C(=O)NCC#CBr,NCL-00025058,x0978
CC(NC(CC(N)=O)C(NCC#CBr)=O)=O,NCL-00025412 ,x0981
Cl.CCC(=N)N,Z1741969146,x0991
NC=1C=NC=NC1,Z1741970824,x0995
OC=1C=CC=CN1,Z1741982125,x1002
OC1CS(=O)(=O)C1,Z3241250482,x1012
N#CC=1C=CC(=CN1)N2CCCOCC2,Z1348371854,x1077
CC=1C=C(F)C=CC1CS(=O)(=O)N,Z1849009686,x1086
CN1CCN(CC1)C(=O)CC1=CNC2=NC=CC=C12,Z316425948_minor,x1093
CC(C)N(C)C=1N=CN=C2N(C)N=CC12,Z328695024,x1101
NC=1C=CC(=CC1)S(=O)(=O)NC=2C=CC=CN2,Z271004858,x1119
CC1CN(CCO1)C(=O)CN2C=CC=N2,Z217038356,x1132
OCC1CN(CC=2C=CC=CC2)CCO1,Z1259086950,x1163
CN1C=CC(=N1)C(=O)NC[C@@H]2CCCO2,Z2643472210,x1187
CCNCC1=CN(C)N=N1,Z1271660837,x1226
COC(=O)NC=1SC(C)=NC1C=2C=CC=CC2,Z979145504,x1235
CS(=O)(=O)CC1=NC=2C=CC=CC2N1,Z126932614,x1237
O=C(NCC=1C=CC(C#N)=CC1)N2CCOCC2,Z509756472,x1249
ClCC(=O)N1CCN(CC1)S(=O)(=O)c2ccc(Cl)cc2,PCM-0102704,x1308
ClCC(=O)N(C1CS(=O)(=O)C=C1)c2ccccc2,PCM-0102372,x1311
ClCC(=O)N1CCN(Cc2ccc(Cl)s2)CC1,PCM-0102277,x1334
Cc1ccc(C)c(c1)S(=O)(=O)N2CCN(CC2)C(=O)CCl,PCM-0102353,x1336
COc1cccc2sc(NC(=O)CCl)nc12,PCM-0103067,x1348
ClCC(=O)N1CCC(CC1)NC(=O)c2ccccc2,PCM-0102575,x1351
Oc1ccccc1NC(=O)C2CCN(CC2)C(=O)CCl,PCM-0102389,x1358
Cc1ccc(cc1)N(C2CS(=O)(=O)C=C2)C(=O)CCl,PCM-0102539,x1374
Fc1ccc(cc1)N(C2CS(=O)(=O)C=C2)C(=O)CCl,PCM-0102868,x1375
ClCC(=O)N1CCC(CC1)C(=O)N2CCCCC2,PCM-0102972,x1380
CC(NC(=O)CCl)c1cccc(Cl)c1,PCM-0102190,x1382
ClCC(=O)Nc1cccc(c1)N2CCCC2=O,PCM-0102179,x1384
ClCC(=O)N1CCN(Cc2ccc(Br)s2)CC1,PCM-0102169,x1385
ClCC(=O)N1CCN(Cc2ccsc2)CC1,PCM-0102739,x1386
ClCC(=O)N1CC(c2ccccc2)c3ccccc3C1,PCM-0102432,x1392
ClCC(=O)N1CCN(CC1)S(=O)(=O)c2ccc(Cl)s2,PCM-0102121,x1402
ClCC(=O)N1CCN(CC1)C(=O)c2cccs2,PCM-0102306,x1412
ClCC(=O)N1CCN(Cc2cccs2)CC1,PCM-0102243,x1418
COc1ccc(cc1)N2CCN(CC2)C(=O)CCl,PCM-0102254,x1425
CC(C)N(C)C(=O)C1CCN(CC1)C(=O)CCl,PCM-0102974,x1458
ClCC(=O)Nc1cccnc1Cl,PCM-0102274,x1478
CC(=O)N1CCN(CC1)C(=O)CCl,PCM-0102535,x1493
