SMILES,TITLE,Hybrid2,fragments,site
C[NH2+]Cc1cc(n(c1)S(=O)(=O)c2cccnc2)c3ccccc3F,vonoprazan,-14.130920,x0678,active-noncovalent
Cc1c(sc(n1)c2cccnc2)C(=O)Nc3ccccc3c4cn5c(csc5[nH+]4)C[NH+]6CCOCC6,SRT2104,-12.776212,x0161,active-noncovalent
c1ccc(cc1)C(c2ccccc2)(c3ccccc3)[NH2+]Cc4cccnc4,UCL-2077,-12.759785,x0678,active-noncovalent
c1cc(cnc1)[C@H]2[C@@H]3CC=C[C@@H]3c4cc(cc(c4N2)F)F,golgicide-a,-12.594658,x0678,active-noncovalent
c1cc(cnc1)[C@H]2[C@@H]3CC=C[C@@H]3c4cc(cc(c4N2)F)F,golgicide-A,-12.594658,x0678,active-noncovalent
COc1cc(ccc1c2[nH]c3c(n2)cccn3)[S@@](=O)C,sulmazole,-12.465656,x0678,active-noncovalent
COc1cc2c(cc1OCCC[NH+]3CCCC3)[NH+]=C(C24CCC4)N,A-366,-12.457256,x1077,active-noncovalent
c1cc(c(c2c1[C@@H](O[C@@H](C2)C34CC5CC(C3)CC(C5)C4)C[NH3+])O)O,A77636,-12.421812,x0749,active-covalent
c1ccc2c(c1)c3c4c(c5c6ccccc6[nH]c5c3[nH]2)C(=O)NC4=O,arcyriaflavin-a,-12.239515,x0678,active-noncovalent
CN1C(=O)c2c(nn(c2Nc3ccccc3)Cc4ccc(cc4)c5cccc(n5)F)N6C1=[NH+][C@H]7[C@@H]6CCC7,ITI214,-12.193553,x0434,active-noncovalent
c1c(cc(c(c1O)O)O)[C@@H]2[C@@H](Cc3c(cc(cc3O2)O)O)OC(=O)c4cc(c(c(c4)O)O)O,epigallocatechin-gallate-(-),-12.171526,x0831,active-covalent
Cc1c(c2cc(ccc2n1CC(=O)[O-])F)Cc3ccc4ccccc4n3,OC000459,-12.096975,x0830,active-covalent
c1cc(ccc1/C=C/c2cc(cc(c2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,polydatin,-11.783890,x0161,active-noncovalent
