SMILES,TITLE,Hybrid2,docked_fragment,site
C[NH2+]Cc1cc(n(c1)S(=O)(=O)c2cccnc2)c3ccccc3F,BRD-K32768103-051-02-6,-14.130920,x0678,active-noncovalent
C[NH2+]Cc1cc(n(c1)S(=O)(=O)c2cccnc2)c3ccccc3F,BRD-K32768103-051-03-4,-14.130920,x0678,active-noncovalent
Cc1c(sc(n1)c2cccnc2)C(=O)Nc3ccccc3c4cn5c(csc5[nH+]4)C[NH+]6CCOCC6,BRD-K48452630-001-01-8,-12.776212,x0161,active-noncovalent
Cc1c(sc(n1)c2cccnc2)C(=O)Nc3ccccc3c4cn5c(csc5[nH+]4)C[NH+]6CCOCC6,BRD-K48452630-001-02-6,-12.776212,x0161,active-noncovalent
c1ccc(cc1)C(c2ccccc2)(c3ccccc3)[NH2+]Cc4cccnc4,BRD-K50325075-001-03-9,-12.759785,x0678,active-noncovalent
c1ccc(cc1)C(c2ccccc2)(c3ccccc3)[NH2+]Cc4cccnc4,BRD-K50325075-001-02-1,-12.759785,x0678,active-noncovalent
c1cc(cnc1)[C@H]2[C@@H]3CC=C[C@@H]3c4cc(cc(c4N2)F)F,BRD-A57886255-001-02-9,-12.594658,x0678,active-noncovalent
c1cc(cnc1)[C@H]2[C@@H]3CC=C[C@@H]3c4cc(cc(c4N2)F)F,BRD-A57886255-001-01-1,-12.594658,x0678,active-noncovalent
COc1cc(ccc1c2[nH]c3c(n2)cccn3)[S@@](=O)C,BRD-A22081593-001-11-1,-12.465656,x0678,active-noncovalent
COc1cc2c(cc1OCCC[NH+]3CCCC3)[NH+]=C(C24CCC4)N,BRD-K06182768-001-04-9,-12.457256,x1077,active-noncovalent
COc1cc2c(cc1OCCC[NH+]3CCCC3)[NH+]=C(C24CCC4)N,BRD-K06182768-001-01-5,-12.457256,x1077,active-noncovalent
COc1cc2c(cc1OCCC[NH+]3CCCC3)[NH+]=C(C24CCC4)N,BRD-K06182768-001-06-4,-12.457256,x1077,active-noncovalent
COc1cc2c(cc1OCCC[NH+]3CCCC3)[NH+]=C(C24CCC4)N,BRD-K06182768-001-02-3,-12.457256,x1077,active-noncovalent
COc1cc2c(cc1OCCC[NH+]3CCCC3)[NH+]=C(C24CCC4)N,BRD-K06182768-001-03-1,-12.457256,x1077,active-noncovalent
c1cc(c(c2c1[C@@H](O[C@@H](C2)C34CC5CC(C3)CC(C5)C4)C[NH3+])O)O,BRD-K72226571-003-01-2,-12.421812,x0749,active-covalent
c1ccc2c(c1)c3c4c(c5c6ccccc6[nH]c5c3[nH]2)C(=O)NC4=O,BRD-K72726508-001-02-1,-12.239515,x0678,active-noncovalent
c1ccc2c(c1)c3c4c(c5c6ccccc6[nH]c5c3[nH]2)C(=O)NC4=O,BRD-K72726508-001-03-9,-12.239515,x0678,active-noncovalent
CN1C(=O)c2c(nn(c2Nc3ccccc3)Cc4ccc(cc4)c5cccc(n5)F)N6C1=[NH+][C@H]7[C@@H]6CCC7,BRD-K77987496-011-01-9,-12.193553,x0434,active-noncovalent
c1c(cc(c(c1O)O)O)[C@@H]2[C@@H](Cc3c(cc(cc3O2)O)O)OC(=O)c4cc(c(c(c4)O)O)O,BRD-K55591206-001-18-1,-12.171526,x0831,active-covalent
c1c(cc(c(c1O)O)O)[C@@H]2[C@@H](Cc3c(cc(cc3O2)O)O)OC(=O)c4cc(c(c(c4)O)O)O,BRD-K55591206-001-19-9,-12.171526,x0831,active-covalent
c1c(cc(c(c1O)O)O)[C@@H]2[C@@H](Cc3c(cc(cc3O2)O)O)OC(=O)c4cc(c(c(c4)O)O)O,BRD-K55591206-001-20-7,-12.171526,x0831,active-covalent
c1c(cc(c(c1O)O)O)[C@@H]2[C@@H](Cc3c(cc(cc3O2)O)O)OC(=O)c4cc(c(c(c4)O)O)O,BRD-K55591206-001-22-3,-12.171526,x0831,active-covalent
Cc1c(c2cc(ccc2n1CC(=O)[O-])F)Cc3ccc4ccccc4n3,BRD-K36463073-001-02-1,-12.096975,x0830,active-covalent
Cc1c(c2cc(ccc2n1CC(=O)[O-])F)Cc3ccc4ccccc4n3,BRD-K36463073-001-03-9,-12.096975,x0830,active-covalent
Cc1c(c2cc(ccc2n1CC(=O)[O-])F)Cc3ccc4ccccc4n3,BRD-K36463073-001-01-3,-12.096975,x0830,active-covalent
c1cc(c(cc1I)F)Nc2cnccc2C(=O)NC[C@@H](CO)O,BRD-K89014967-001-04-3,-12.051374,x0678,active-noncovalent
c1cc(ccc1/C=C/c2cc(cc(c2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,BRD-K43236057-001-07-1,-11.783890,x0161,active-noncovalent
c1cc(ccc1/C=C/c2cc(cc(c2)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O,BRD-K43236057-001-09-7,-11.783890,x0161,active-noncovalent
c1cc(ccc1c2ccc3cc(c(cc3c2)C45CC6CC(C4)CC(C6)C5)O)C(=O)[O-],BRD-K09619322-001-03-8,-11.759232,x0104,active-noncovalent
CC(C)[NH2+]C[C@H](COc1cccc2c1cccc2)O,BRD-K92830582-003-10-5,-11.744864,x0195,active-noncovalent
