SMILES,TITLE,pert_iname,vendor,catalog_no,vendor_name,Hybrid2,docked_fragment,Mpro-_dock,site
C[NH2+]Cc1cc(n(c1)S(=O)(=O)c2cccnc2)c3ccccc3F,BRD-K32768103-051-02-6,vonoprazan,Selleck,S8016,TAK-438,-14.130920,x0678,0.56353,active-noncovalent
C[NH2+]Cc1cc(n(c1)S(=O)(=O)c2cccnc2)c3ccccc3F,BRD-K32768103-051-03-4,vonoprazan,Selleck,S8016,Vonoprazan Fumarate (TAK-438),-14.130920,x0678,0.56353,active-noncovalent
Cc1c(sc(n1)c2cccnc2)C(=O)Nc3ccccc3c4cn5c(csc5[nH+]4)C[NH+]6CCOCC6,BRD-K48452630-001-01-8,SRT2104,Selleck,S7792,SRT2104 (GSK2245840),-12.776212,x0161,6.896312,active-noncovalent
Cc1c(sc(n1)c2cccnc2)C(=O)Nc3ccccc3c4cn5c(csc5[nH+]4)C[NH+]6CCOCC6,BRD-K48452630-001-02-6,SRT2104,MedChemEx,HY-15262,SRT 2104,-12.776212,x0161,6.896312,active-noncovalent
c1ccc(cc1)C(c2ccccc2)(c3ccccc3)[NH2+]Cc4cccnc4,BRD-K50325075-001-03-9,UCL-2077,Tocris,2661,UCL 2077,-12.759785,x0678,3.249948,active-noncovalent
c1ccc(cc1)C(c2ccccc2)(c3ccccc3)[NH2+]Cc4cccnc4,BRD-K50325075-001-02-1,UCL-2077,Tocris,2661,UCL 2077,-12.759785,x0678,3.249948,active-noncovalent
c1cc(cnc1)[C@H]2[C@@H]3CC=C[C@@H]3c4cc(cc(c4N2)F)F,BRD-A57886255-001-02-9,golgicide-A,Selleck,S7266,Golgicide A,-12.594658,x0678,-0.60966,active-noncovalent
c1cc(cnc1)[C@H]2[C@@H]3CC=C[C@@H]3c4cc(cc(c4N2)F)F,BRD-A57886255-001-01-1,golgicide-a,Tocris,3584,Golgicide A,-12.594658,x0678,-0.60966,active-noncovalent
COc1cc(ccc1c2[nH]c3c(n2)cccn3)[S@@](=O)C,BRD-A22081593-001-11-1,sulmazole,Prestwick,Prestw-641,Sulmazole,-12.465656,x0678,0.45049,active-noncovalent
COc1cc2c(cc1OCCC[NH+]3CCCC3)[NH+]=C(C24CCC4)N,BRD-K06182768-001-04-9,A-366,Tocris,5163,A 366,-12.457256,x1077,1.558067,active-noncovalent
