smiles,broad_id,pert_iname,vendor,catalog_no,vendor_name
CC(C)C[C@H](NC(=O)CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCNC(N)=N)C(=O)N[C@@H](CCS(C)(=O)=O)C(N)=O,BRD-K89787693-001-01-1,"[sar9,met(o2)11]-substance-p",Tocris,1178,"2-({5-amino-2-[({1-[6-amino-2-({[1-(2-amino-5-{[amino(imino)methyl]amino}pentanoyl)-2-pyrrolidinyl]carbonyl}amino)hexanoyl]-2-pyrrolidinyl}carbonyl)amino]-5-oxopentanoyl}amino)-N~1~-[13-(aminocarbonyl;)-1,4-dibenzyl-10-isobutyl-6-methyl-16,16-dioxido-2,5,"
Cl\C=C/C[N+]12CN3CN(CN(C3)C1)C2,BRD-K88956297-003-01-9,"1-((Z)-3-Chloroallyl)-1,3,5,7-tetraazaadamantan-1-ium",BidePharm,BD51690,"1-((Z)-3-Chloroallyl)-1,3,5,7-tetraazaadamantan-1-ium chloride"
C(C(N1CCCCC1)c1ccccc1)c1ccccc1,BRD-A86415025-050-01-0,"1-(1,2-Diphenylethyl)piperidine-(+/-)",Tocris,360,"(?)-1-(1,2-Diphenylethyl)piperidine maleate"
CC(C)NCC(O)COc1cc(C)ccc1Cl,BRD-A95802703-001-01-0,1-(2-chloro-5-methylphenoxy)-3-(isopropylamino)-2-propanol,Enamine,Z1672746675,1-(2-chloro-5-methylphenoxy)-3-(isopropylamino)-2-propanol
CN1CCN(CC1)C(C)=O,BRD-K96055017-003-02-7,1-acetyl-4-methylpiperazine,Tocris,351,1-Acetyl-4-methylpiperazine hydrochloride
Brc1ccc2[nH]c-3c(CC(=O)Nc4cccnc-34)c2c1,BRD-K03273112-001-01-8,1-azakenpaullone,Selleck,S7193,1-Azakenpaullone
OC[C@H]1NC[C@@H](O)[C@@H](O)[C@@H]1O,BRD-K89665618-003-02-5,1-deoxymannojirimycin,Tocris,1259,1-Deoxymannojirimycin hydrochloride
CCn1c2ccccc2[nH]c1=O,BRD-K70586315-001-02-4,1-EBIO,Tocris,1041,1-EBIO
CCn1c2ccccc2[nH]c1=O,BRD-K70586315-001-03-2,1-EBIO,Tocris,1041,1-EBIO
CCN1CCCC1=O,BRD-K08288352-001-03-6,1-ethyl-2-pyrrolidone,CombiBlocks,QA-6551,1-Ethyl-2-pyrrolidone
CCCCCCCCCCCCCCCC=O,BRD-K35114608-001-01-7,1-hexadecanal,DuPont,A001212276,palmitaldehyde
CCCCCCCCCCCCCCCCO,BRD-K37203094-001-02-5,1-hexadecanol,Selleck,S4173,1-Hexadecanol
CCCCCCCCCCCCCCCCO,BRD-K37203094-001-03-3,1-hexadecanol,Selleck,S4173,1-Hexadecanol
CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc12,BRD-K29542628-001-03-9,1-naphthyl-PP1,Tocris,3063,1-Naphthyl PP1
