!Source	"The Drug Repurposing Hub, Broad Institute"										
!URL	http://www.broadinstitute.org/repurposing										
!File_date	3/24/2020										
!Table_name	sample information										
!API_available	We suggest using the available data API and/or custom web export function for additional annotation fields and database source information.										
!Disclaimer	For research use only. Do not use the Repurposing Hub to make clinical treatment decisions. BROAD DOES NOT GUARANTEE OR WARRANT THE ACCURACY OF THE DATA WITHIN THE REPURPOSING HUB.  RELIANCE ON THE REPURPOSING HUB IS AT THE USER'S SOLE RISK.										
!Restrictions	The Drug Repurposing Hub data is provided for non-commercial use only.										
!Citation	"Please cite usage as: Corsello SM, et al. Nature Medicine. 2017 Apr 7;23(4):405-408. doi: 10.1038/nm.4306."										
!Contact	repurposing@broadinstitute.org										
broad_id	pert_iname	qc_incompatible	purity	vendor	catalog_no	vendor_name	expected_mass	smiles	InChIKey	pubchem_cid	deprecated_broad_id
BRD-K76022557-003-28-9	(R)-(-)-apomorphine	0	98.9	MedChemEx	HY-12723A	Apomorphine (hydrochloride hemihydrate)	267.126	CN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31	VMWNQDUVQKEIOC-CYBMUJFWSA-N	6005	
BRD-K76022557-003-02-7	(R)-(-)-apomorphine	0	97.34	Tocris	2073	(R)-(-)-Apomorphine hydrochloride	267.126	CN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31	VMWNQDUVQKEIOC-CYBMUJFWSA-N	6005	
BRD-K76022557-003-29-9	(R)-(-)-apomorphine	0	97.36	Tocris	2073	(R)-(-)-Apomorphine hydrochloride	267.126	CN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31	VMWNQDUVQKEIOC-CYBMUJFWSA-N	6005	
BRD-K76022557-001-03-9	(R)-(-)-apomorphine	0	95.8	Selleck	S4350	R-(-)-Apomorphine HCl Hemihydrate	267.126	CN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31	VMWNQDUVQKEIOC-CYBMUJFWSA-N	6005	
BRD-K75516118-001-04-1	(R)-(-)-rolipram	0	93.92	Tocris	1349	(R)-(-)-Rolipram	275.152	COc1ccc(cc1OC1CCCC1)[C@@H]1CNC(=O)C1	HJORMJIFDVBMOB-LBPRGKRZSA-N	448055	
BRD-K75516118-001-05-9	(R)-(-)-rolipram	0	93.75	Tocris	1349	(R)-(-)-Rolipram	275.152	COc1ccc(cc1OC1CCCC1)[C@@H]1CNC(=O)C1	HJORMJIFDVBMOB-LBPRGKRZSA-N	448055	
BRD-K75516118-001-03-3	(R)-(-)-rolipram	0	97.48	Tocris	1349	(R)-(-)-Rolipram	275.152	COc1ccc(cc1OC1CCCC1)[C@@H]1CNC(=O)C1	HJORMJIFDVBMOB-LBPRGKRZSA-N	448055	
BRD-K62353271-001-04-7	(R)-baclofen	0	96.78	Selleck	S3072	(R)-baclofen	213.056	NC[C@H](CC(O)=O)c1ccc(Cl)cc1	KPYSYYIEGFHWSV-QMMMGPOBSA-N	6918881	
BRD-K62353271-001-02-1	(R)-baclofen	0	17.08	Selleck	S3072	(R)-baclofen	213.056	NC[C@H](CC(O)=O)c1ccc(Cl)cc1	KPYSYYIEGFHWSV-QMMMGPOBSA-N	6918881	
BRD-K65856711-001-05-9	(S)-(+)-rolipram	0	94.78	Tocris	1350	(S)-(+)-Rolipram	275.152	COc1ccc(cc1OC1CCCC1)[C@H]1CNC(=O)C1	HJORMJIFDVBMOB-GFCCVEGCSA-N	158758	
BRD-K65856711-001-03-6	(S)-(+)-rolipram	0	96.99	Selleck	S2127	S- (+)-Rolipram	275.152	COc1ccc(cc1OC1CCCC1)[C@H]1CNC(=O)C1	HJORMJIFDVBMOB-GFCCVEGCSA-N	158758	
BRD-K65856711-001-04-4	(S)-(+)-rolipram	0	98.17	Tocris	1350	(S)-(+)-Rolipram	275.152	COc1ccc(cc1OC1CCCC1)[C@H]1CNC(=O)C1	HJORMJIFDVBMOB-GFCCVEGCSA-N	158758	
BRD-K89787693-001-01-1	"[sar9,met(o2)11]-substance-p"	0		Tocris	1178	"2-({5-amino-2-[({1-[6-amino-2-({[1-(2-amino-5-{[amino(imino)methyl]amino}pentanoyl)-2-pyrrolidinyl]carbonyl}amino)hexanoyl]-2-pyrrolidinyl}carbonyl)amino]-5-oxopentanoyl}amino)-N~1~-[13-(aminocarbonyl;)-1,4-dibenzyl-10-isobutyl-6-methyl-16,16-dioxido-2,5,"	1392.734	CC(C)C[C@H](NC(=O)CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCNC(N)=N)C(=O)N[C@@H](CCS(C)(=O)=O)C(N)=O	OUPXSLGGCPUZJJ-SARDKLJWSA-N	163829	
BRD-K89787693-001-02-9	"[sar9,met(o2)11]-substance-p"	0	43.63	Bachem	H-9410.0005	"(Sar9, Met(O2)11)-substance P"	1392.734	CC(C)C[C@H](NC(=O)CN(C)C(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCN)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](N)CCCNC(N)=N)C(=O)N[C@@H](CCS(C)(=O)=O)C(N)=O	OUPXSLGGCPUZJJ-SARDKLJWSA-N	163829	
BRD-K88956297-003-01-9	"1-((Z)-3-chloroallyl)-1,3,5,7-tetraazaadamantan-1-ium"	0	94.41	BidePharm	BD51690	"1-((Z)-3-Chloroallyl)-1,3,5,7-tetraazaadamantan-1-ium chloride"	215.106	Cl\C=C/C[N+]12CN3CN(CN(C3)C1)C2	LDLCEGCJYSDJLX-UPHRSURJSA-N	5846454	
BRD-K01825681-050-02-9	"1-(1,2-diphenylethyl)piperidine-(+/-)"	0	92.15	Tocris	360	"(+/-)-1-(1,2-Diphenylethyl)piperidine maleate"	265.183	C([C@@H](N1CCCCC1)c1ccccc1)c1ccccc1 |&1:1|	JQWJJJYHVHNXJH-LJQANCHMSA-N	44574903	
BRD-K01825681-050-01-9	"1-(1,2-diphenylethyl)piperidine-(+/-)"	0	98.04	Tocris	360	"(?)-1-(1,2-Diphenylethyl)piperidine maleate"	381.194	C([C@@H](N1CCCCC1)c1ccccc1)c1ccccc1 |&1:1|	JQWJJJYHVHNXJH-LJQANCHMSA-N	44574903	
BRD-A95802703-001-01-0	1-(2-chloro-5-methylphenoxy)-3-(isopropylamino)-2-propanol	0	92.38	Enamine	Z1672746675	1-(2-chloro-5-methylphenoxy)-3-(isopropylamino)-2-propanol	257.118	"CC(C)NC[C@@H](O)COc1cc(C)ccc1Cl |&1:5,r|"	NJEIOWSBPCZKTL-LLVKDONJSA-N	39359445	
BRD-K96055017-003-02-7	1-acetyl-4-methylpiperazine	0	90.28	Tocris	351	1-Acetyl-4-methylpiperazine hydrochloride	142.111	CN1CCN(CC1)C(C)=O	YSDBJKNOEWSFGA-UHFFFAOYSA-N	550758	
BRD-K96055017-003-03-9	1-acetyl-4-methylpiperazine	0	73.57	Tocris	351	1-Acetyl-4-methylpiperazine hydrochloride	142.111	CN1CCN(CC1)C(C)=O	YSDBJKNOEWSFGA-UHFFFAOYSA-N	550758	
BRD-K03273112-001-01-8	1-azakenpaullone	0	90.5	Selleck	S7193	1-Azakenpaullone	327.001	Brc1ccc2[nH]c-3c(CC(=O)Nc4cccnc-34)c2c1	NTSBZVCEIVPKBJ-UHFFFAOYSA-N	6538897	
BRD-K03273112-001-02-6	1-azakenpaullone	0	95.26	Selleck	S7193	1-Azakenpaullone	327.001	Brc1ccc2[nH]c-3c(CC(=O)Nc4cccnc-34)c2c1	NTSBZVCEIVPKBJ-UHFFFAOYSA-N	6538897	
BRD-K89665618-003-04-9	1-deoxymannojirimycin	0	85	Tocris	1259	1-Deoxymannojirimycin hydrochloride	163.084	OC[C@H]1NC[C@@H](O)[C@@H](O)[C@@H]1O	LXBIFEVIBLOUGU-KVTDHHQDSA-N	72258	
BRD-K89665618-003-02-5	1-deoxymannojirimycin	0	100	Tocris	1259	1-Deoxymannojirimycin hydrochloride	163.084	OC[C@H]1NC[C@@H](O)[C@@H](O)[C@@H]1O	LXBIFEVIBLOUGU-KVTDHHQDSA-N	72258	
BRD-K70586315-001-03-2	1-EBIO	0	96.47	Tocris	1041	1-EBIO	162.079	CCn1c2ccccc2[nH]c1=O	CXUCKELNYMZTRT-UHFFFAOYSA-N	82320	
BRD-K70586315-001-04-9	1-EBIO	0	93.65	Tocris	1041	1-EBIO	162.079	CCn1c2ccccc2[nH]c1=O	CXUCKELNYMZTRT-UHFFFAOYSA-N	82320	
BRD-K70586315-001-02-4	1-EBIO	0	96.95	Tocris	1041	1-EBIO	162.079	CCn1c2ccccc2[nH]c1=O	CXUCKELNYMZTRT-UHFFFAOYSA-N	82320	
BRD-K08288352-001-03-6	1-ethyl-2-pyrrolidone	0	98.42	CombiBlocks	QA-6551	1-Ethyl-2-pyrrolidone	113.084	CCN1CCCC1=O	ZFPGARUNNKGOBB-UHFFFAOYSA-N	17595	
BRD-K35114608-001-01-7	1-hexadecanal	0	0	DuPont	A001212276	palmitaldehyde	240.245	CCCCCCCCCCCCCCCC=O	NIOYUNMRJMEDGI-UHFFFAOYSA-N	984	
BRD-K37203094-001-02-5	1-hexadecanol	1	0	Selleck	S4173	1-Hexadecanol	242.261	CCCCCCCCCCCCCCCCO	BXWNKGSJHAJOGX-UHFFFAOYSA-N	2682	
BRD-K37203094-001-03-3	1-hexadecanol	1	0	Selleck	S4173	1-Hexadecanol	242.261	CCCCCCCCCCCCCCCCO	BXWNKGSJHAJOGX-UHFFFAOYSA-N	2682	
BRD-K37203094-001-06-6	1-hexadecanol	1	0	Selleck	S4173	C16:0 PALMITYL	242.261	CCCCCCCCCCCCCCCCO	BXWNKGSJHAJOGX-UHFFFAOYSA-N	2682	
BRD-K29542628-001-03-9	1-naphthyl-PP1	0	98.62	Tocris	3063	1-Naphthyl PP1	317.164	CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc12	XSHQBIXMLULFEV-UHFFFAOYSA-N	4877	
BRD-K29542628-001-04-7	1-naphthyl-PP1	0	96.3	Tocris	3063	1-Naphthyl PP1	317.164	CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc12	XSHQBIXMLULFEV-UHFFFAOYSA-N	4877	
BRD-K03083257-001-01-6	1-octacosanol	0	1.71	Acros	25813	"1-Octacosanol, 90+%"	410.449	CCCCCCCCCCCCCCCCCCCCCCCCCCCCO	CNNRPFQICPFDPO-UHFFFAOYSA-N	68406	
BRD-K09338665-001-08-9	1-octanol	1	0	Enamine	Z104473500	1-octanol	130.136	CCCCCCCCO	KBPLFHHGFOOTCA-UHFFFAOYSA-N	957	
BRD-K09338665-001-07-1	1-octanol	1	0	Enamine	Z104473500		130.136	CCCCCCCCO	KBPLFHHGFOOTCA-UHFFFAOYSA-N	957	
BRD-K31491153-003-07-9	1-phenylbiguanide	0	96.75	Tocris	969	1-Phenylbiguanide hydrochloride	177.101	NC(N)=NC(=N)Nc1ccccc1	CUQCMXFWIMOWRP-UHFFFAOYSA-N	4780	
BRD-K31491153-003-05-9	1-phenylbiguanide	0	95.79	Tocris	969	1-Phenylbiguanide hydrochloride	177.101	NC(N)=NC(=N)Nc1ccccc1	CUQCMXFWIMOWRP-UHFFFAOYSA-N	4780	
BRD-K04603573-376-01-3	"1,12-Besm"	0	96.1	Tocris	500	"N~1~,N~4~-bis[3-(ethylamino)propyl]-1,4-butanediamine tetrahydrochloride"	258.278	CCNCCCNCCCCNCCCNCC	PGMIWVSHZMWSSI-UHFFFAOYSA-N	4283	
BRD-K06817181-001-02-3	"1,2,3,4,5,6-hexabromocyclohexane"	0	0	Tocris	2291	"1,2,3,4,5,6-Hexabromocyclohexane"	551.557	BrC1C(Br)C(Br)C(Br)C(Br)C1Br	QFQZKISCBJKVHI-UHFFFAOYSA-N	74603	
BRD-K06817181-001-03-9	"1,2,3,4,5,6-hexabromocyclohexane"	0	38.29	Tocris	2291	"1,2,3,4,5,6-Hexabromocyclohexane"	551.557	BrC1C(Br)C(Br)C(Br)C(Br)C1Br	QFQZKISCBJKVHI-UHFFFAOYSA-N	74603	
BRD-K41853443-001-03-9	"1,3-dipropyl-8-phenylxanthine"	0	95.79	Tocris	486	"1,3-Dipropyl-8-phenylxanthine"	312.159	CCCn1c2nc([nH]c2c(=O)n(CCC)c1=O)-c1ccccc1	CLIGSMOZKDCDRZ-UHFFFAOYSA-N	128784	
BRD-K41853443-001-02-9	"1,3-dipropyl-8-phenylxanthine"	0	97.89	Tocris	486	"1,3-Dipropyl-8-phenylxanthine"	312.159	CCCn1c2nc([nH]c2c(=O)n(CCC)c1=O)-c1ccccc1	CLIGSMOZKDCDRZ-UHFFFAOYSA-N	128784	
BRD-K22346679-001-06-3	"1,4-butanediol"	1	0	Sigma	68891	"1,4-butanediol"	90.068	OCCCCO	WERYXYBDKMZEQL-UHFFFAOYSA-N	8064	
BRD-K53083666-001-01-0	"1,5-dicaffeoylquinic-acid"	0	0	AnalytiCon	NP-000244		516.127	O[C@@H]1C[C@@](C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1O)(OC(=O)\C=C\c1ccc(O)c(O)c1)C(O)=O	YDDUMTOHNYZQPO-PSEXTPKNSA-N	6474640	
BRD-K53083666-001-02-9	"1,5-dicaffeoylquinic-acid"	0	95.94	MedChemEx	HY-N1412	"1,3-Dicaffeoylquinic acid"	516.127	O[C@@H]1C[C@@](C[C@@H](OC(=O)\C=C\c2ccc(O)c(O)c2)[C@@H]1O)(OC(=O)\C=C\c1ccc(O)c(O)c1)C(O)=O	YDDUMTOHNYZQPO-PSEXTPKNSA-N	6474640	
BRD-K96631475-001-03-2	10-deacetylbaccatin	0	95.89	MedChemEx	HY-16565	10-Deacetylbaccatin III	544.231	CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](O)C(C)=C([C@@H](O)C1=O)C2(C)C |t:33|	YWLXLRUDGLRYDR-ZHPRIASZSA-N	154272	
BRD-K96631475-001-02-4	10-deacetylbaccatin	0	93.27	Selleck	S2409	10-DAB (10-Deacetylbaccatin)	544.231	CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](O)C(C)=C([C@@H](O)C1=O)C2(C)C |t:33|	YWLXLRUDGLRYDR-ZHPRIASZSA-N	154272	
BRD-K96631475-001-04-0	10-deacetylbaccatin	0	82.54	Selleck	S2409	10-Deacetylbaccatin-III	544.231	CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]1(C)[C@@H]2[C@H](OC(=O)c2ccccc2)[C@]2(O)C[C@H](O)C(C)=C([C@@H](O)C1=O)C2(C)C |t:33|	YWLXLRUDGLRYDR-ZHPRIASZSA-N	154272	BRD-K61920224-001-01-8
BRD-K70792160-003-04-6	10-DEBC	0	97.32	Tocris	2558	10-DEBC hydrochloride	344.166	CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc12	GYBXAGDWMCJZJK-UHFFFAOYSA-N	10521421	
BRD-K70792160-003-07-9	10-DEBC	0	96.07	Tocris	2558	10-DEBC hydrochloride	344.166	CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc12	GYBXAGDWMCJZJK-UHFFFAOYSA-N	10521421	
BRD-K70792160-003-06-1	10-DEBC	0	87.3	Tocris	2558	10-DEBC hydrochloride	344.166	CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc12	GYBXAGDWMCJZJK-UHFFFAOYSA-N	10521421	
BRD-K63784565-001-08-9	10-hydroxycamptothecin	0	97.94	MedChemEx	HY-N0095	(S)-10-Hydroxycamptothecin	364.106	CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)cc4cc3Cn1c2=O	HAWSQZCWOQZXHI-FQEVSTJZSA-N	97226	
BRD-K63784565-001-05-4	10-hydroxycamptothecin	0	4.36	Selleck	S2423	(S)-10-Hydroxycamptothecin	364.106	CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)cc4cc3Cn1c2=O	HAWSQZCWOQZXHI-FQEVSTJZSA-N	97226	
BRD-K63784565-001-06-2	10-hydroxycamptothecin	0	96.85	Selleck	S2423	10-Hydroxycamptothecin	364.106	CC[C@@]1(O)C(=O)OCc2c1cc1-c3nc4ccc(O)cc4cc3Cn1c2=O	HAWSQZCWOQZXHI-FQEVSTJZSA-N	97226	
BRD-K49460120-001-06-6	10058-F4	0	80.51	Tocris	4406	10058-F4	249.028	CCc1ccc(\C=C2\SC(=S)NC2=O)cc1	SVXDHPADAXBMFB-JXMROGBWSA-N	1271002	
BRD-K49460120-001-05-8	10058-F4	0	95.6	Selleck	S7153	10058-F4	249.028	CCc1ccc(\C=C2\SC(=S)NC2=O)cc1	SVXDHPADAXBMFB-JXMROGBWSA-N	1271002	
BRD-K49460120-001-02-5	10058-F4	0	82.34	Selleck	S7153	10058-F4	249.028	CCc1ccc(\C=C2\SC(=S)NC2=O)cc1	SVXDHPADAXBMFB-JXMROGBWSA-N	1271002	
BRD-K68552125-001-05-3	12-O-tetradecanoylphorbol-13-acetate	0	97.9	Enzo	PE160	Phorbol 12 myristate 13 acetate	616.398	"CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@]2(O)[C@@H]3C=C(C)C(=O)[C@@]3(O)CC(CO)=C[C@H]2[C@@H]2C(C)(C)[C@]12OC(C)=O |c:33,t:22|"	PHEDXBVPIONUQT-RGYGYFBISA-N	27924	
BRD-K68552125-001-07-9	12-O-tetradecanoylphorbol-13-acetate	0	96.97	Sigma	P8139	phorbol 12-myristate 13-acetate	616.398	"CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@]2(O)[C@@H]3C=C(C)C(=O)[C@@]3(O)CC(CO)=C[C@H]2[C@@H]2C(C)(C)[C@]12OC(C)=O |c:33,t:22|"	PHEDXBVPIONUQT-RGYGYFBISA-N	27924	
BRD-K30237152-300-02-5	1400W	0	89.27	Tocris	1415	1400W dihydrochloride	177.127	CC(=N)NCc1cccc(CN)c1	RODUKNYOEVZQPR-UHFFFAOYSA-N	1433	
BRD-K92301463-001-05-5	"16,16-dimethylprostaglandin-e2"	0	100	Enzo	PG021	"16,16-Dimethyl-prostaglandin E2"	380.256	CCCCC(C)(C)[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O	QAOBBBBDJSWHMU-WMBBNPMCSA-N	5283066	
BRD-K92301463-001-06-9	"16,16-dimethylprostaglandin-e2"	0	0	Sigma	MFCD00151141	"(5Z,11beta,13E,15R)-11,15-dihydroxy-16,16-dimethyl-9-oxoprosta-5,13-dien-1-oic acid"	380.256	CCCCC(C)(C)[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O	QAOBBBBDJSWHMU-WMBBNPMCSA-N	5283066	
BRD-K70264088-001-17-9	17-hydroxyprogesterone-caproate	0	89.88	MedChemEx	HY-B0742	Hydroxyprogesterone caproate	428.293	CCCCCC(=O)O[C@@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O |t:15|	DOMWKUIIPQCAJU-LJHIYBGHSA-N	169870	
BRD-K07395323-001-01-0	17-PA	0	0	Tocris	2681	17-PA	350.261	C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1CC=C2c1ccccc1 |c:21|	SINAMTXBCYKFDL-WBJZGETLSA-N	25068278	BRD-A34299591-001-23-2|BRD-A34299591-001-23-2|BRD-A34299591-001-23-2|BRD-A34299591-001-23-2|BRD-A34299591-001-23-2|BRD-A34299591-001-23-2|BRD-A34299591-001-23-2|BRD-A34299591-001-23-2
BRD-K07395323-001-02-9	17-PA	0	94.15	Tocris	2681	17-PA	350.261	C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@]34C)[C@@H]1CC=C2c1ccccc1 |c:21|	SINAMTXBCYKFDL-WBJZGETLSA-N	25068278	
BRD-A37752546-001-01-9	1E-1-(2-hydroxy-5-methylphenyl)-1-dodecanone-oxime	0	98.81	Sigma	MFCD00900589	(1E)-1-(2-hydroxy-5-methylphenyl)-1-dodecanone oxime	305.235	CCCCCCCCCCC[C@@H](N=O)c1cc(C)ccc1O |r|	NFONIVRMILHYLH-GOSISDBHSA-N		
BRD-A37752546-001-02-9	1E-1-(2-hydroxy-5-methylphenyl)-1-dodecanone-oxime	0	83.97	Sigma	MFCD00900589	(1E)-1-(2-hydroxy-5-methylphenyl)-1-dodecanone oxime	305.235	CCCCCCCCCCC[C@@H](N=O)c1cc(C)ccc1O |r|	NFONIVRMILHYLH-GOSISDBHSA-N		
BRD-K27853494-003-04-7	"1S,2R-phenylpropanolamine"	0	98.2	MicroSource	1500484	"1S,2R-PHENYLPROPANOLAMINE HYDROCHLORIDE"	151.1	C[C@@H](N)[C@@H](O)c1ccccc1	DLNKOYKMWOXYQA-VXNVDRBHSA-N	26934	
BRD-K75167327-001-01-6	2-(1-adamantylamino)benzoic-acid	0	97.76	Enamine	T0514-6571	2-[(1-adamantylcarbonyl)amino]benzoic acid	299.152	OC(=O)c1ccccc1NC(=O)C12CC3CC(CC(C3)C1)C2	XKZLSYWCDJZTMW-UHFFFAOYSA-N	2847479	
BRD-A66788520-001-01-7	2-(3-mercaptopropyl)pentanedioic-acid	0	84.2	Tocris	5033	2-(3-mercaptopropyl)pentanedioic acid	206.061	"OC(=O)CC[C@@H](CCCS)C(O)=O |&1:5,r|"	FNLNSQHJKVQCBP-ZCFIWIBFSA-N	11735892	
BRD-A66788520-001-02-9	2-(3-mercaptopropyl)pentanedioic-acid	0		Tocris	5033	2-MPPA	206.061	"OC(=O)CC[C@@H](CCCS)C(O)=O |&1:5,r|"	FNLNSQHJKVQCBP-ZCFIWIBFSA-N	11735892	
BRD-K46989997-001-01-8	"2-(chloromethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one"	0	80.5	Enamine	EN300-01894	"2-(chloromethyl)-5,6,7,8-tetrahydro[1]benzothieno[2,3-d]pyrimidin-4(3H)-one"	254.028	ClC=C1Nc2sc3CCCCc3c2C(=O)N1	UTWSZXBGTLNPOV-UHFFFAOYSA-N		
BRD-K91868854-001-04-9	2-[1-(4-piperonyl)piperazinyl]benzothiazole	0	96.43	Tocris	736	2-[1-(4-Piperonyl)piperazinyl]benzothiazole	353.12	C(N1CCN(CC1)c1nc2ccccc2s1)c1ccc2OCOc2c1	BYHKGNWKJMGHGE-UHFFFAOYSA-N	127902	
BRD-K91868854-001-03-6	2-[1-(4-piperonyl)piperazinyl]benzothiazole	0	99.23	Tocris	736	2-[1-(4-Piperonyl)piperazinyl]benzothiazole	353.12	C(N1CCN(CC1)c1nc2ccccc2s1)c1ccc2OCOc2c1	BYHKGNWKJMGHGE-UHFFFAOYSA-N	127902	
BRD-K32681104-001-11-6	2-aminobenzenesulfonamide	0	99.54	Prestwick	Prestw-913	2-Aminobenzenesulfonamide	172.031	Nc1ccccc1S(N)(=O)=O	YAZSBRQTAHVVGE-UHFFFAOYSA-N	72894	
BRD-K32681104-001-12-9	2-aminobenzenesulfonamide	0		MedChemEx	HY-B2147	2-Aminobenzenesulfonamide	172.031	Nc1ccccc1S(N)(=O)=O	YAZSBRQTAHVVGE-UHFFFAOYSA-N	72894	
BRD-K13346085-001-05-9	2-APB	0	0	Tocris	1224	2-APB	225.132	NCCOB(c1ccccc1)c1ccccc1	BLZVCIGGICSWIG-UHFFFAOYSA-N	1598	
BRD-K13346085-001-04-7	2-APB	0	0	Tocris	1224	2-APB	225.132	NCCOB(c1ccccc1)c1ccccc1	BLZVCIGGICSWIG-UHFFFAOYSA-N	1598	
BRD-K22745370-003-02-3	2-BFI	0	97.63	Tocris	348	2-BFI hydrochloride	186.079	C1CN=C(N1)c1cc2ccccc2o1 |c:2|	YTJOHEUHUVBKSB-UHFFFAOYSA-N	3080926	
BRD-K70088346-001-02-4	2-chloro-N6-cyclopentyladenosine	0	97.57	Tocris	1705	2-Chloro-N6-cyclopentyladenosine	369.12	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(NC3CCCC3)nc(Cl)nc12	XSMYYYQVWPZWIZ-IDTAVKCVSA-N	123807	
BRD-K70088346-001-06-9	2-chloro-N6-cyclopentyladenosine	0	93.87	Tocris	1705	2-Chloro-N6-cyclopentyladenosine	369.12	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(NC3CCCC3)nc(Cl)nc12	XSMYYYQVWPZWIZ-IDTAVKCVSA-N	123807	
BRD-K70088346-001-01-6	2-chloro-N6-cyclopentyladenosine	0	98.41	Tocris	1705	2-Chloro-N6-cyclopentyladenosine	369.12	OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(NC3CCCC3)nc(Cl)nc12	XSMYYYQVWPZWIZ-IDTAVKCVSA-N	123807	
BRD-K79511609-001-20-0	2-chloroadenosine	0	98.42	Tocris	3136	2-Chloroadenosine	301.058	Nc1nc(Cl)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	BIXYYZIIJIXVFW-UUOKFMHZSA-N	8974	
BRD-K79511609-001-21-9	2-chloroadenosine	0	95.86	Tocris	3136	2-Chloroadenosine	301.058	Nc1nc(Cl)nc2n(cnc12)[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O	BIXYYZIIJIXVFW-UUOKFMHZSA-N	8974	
BRD-K84075000-001-06-9	2-chloropyrazine	0	0	MedChemEx	HY-Y0109	Pyrazin-2-yl chloride	113.998	Clc1cnccn1	GELVZYOEQVJIRR-UHFFFAOYSA-N	73277	
BRD-K84075000-001-05-5	2-chloropyrazine	0	94.15	Prestwick	Prestw-1087	2-Chloropyrazine	113.998	Clc1cnccn1	GELVZYOEQVJIRR-UHFFFAOYSA-N	73277	
BRD-K92588747-051-03-9	2-CMDO	0	92.34	Tocris	782	2-CMDO	326.119	CN1CCN(CC1)C1=Cc2ccccc2Oc2ccc(Cl)cc12 |t:8|	OTKUTGIVEREJLL-UHFFFAOYSA-N	32224	
