SMILES,TITLE,Hybrid2,fragments,site
c1cc(cnc1)C2=[NH+]OC[C@@H](N2)C[NH+]3CCCCC3,Iroxanadine,-13.762961,x0678,active-noncovalent
CC(=O)Nc1cn[nH]c1C(=O)Nc2ccc(cc2)F,4-(acetylamino)-N-(4-fluorophenyl)-1H-pyrazole-3-carboxamide,-13.079412,x0678,active-noncovalent
c1ccc2c(c1)c3c4c(c5c6ccccc6[nH]c5c3[nH]2)C(=O)NC4,"6,7,12,13-tetrahydro-5H-indolo[2,3-a]pyrrolo[3,4-c]carbazol-5-one",-12.704174,x0678,active-noncovalent
c1ccc2c(c1)c3c4c(c5c6ccccc6[nH]c5c3[nH]2)c([nH]c4C(=O)[O-])O,"7-carboxy-5-hydroxy-12,13-dihydro-6H-indolo[2,3-a]pyrrolo[3,4-c]carbazole",-12.467003,x0678,active-noncovalent
c1ccc2c(c1)c([nH]n2)C(=O)N[C@@H]3C[NH+]4CCC3CC4,Facinicline,-12.401834,x0678,active-noncovalent
c1ccc2cc(ccc2c1)c3cc4c(c[nH]c4nc3)c5ccc(cc5)CC(=O)[O-],"[4-(5-naphthalen-2-yl-1H-pyrrolo[2,3-b]pyridin-3-yl)phenyl]acetic acid",-12.315027,x0161,active-noncovalent
CCCCc1c2c([nH]c1c3ccc(cc3)O)nccn2,"6-PHENYL[5H]PYRROLO[2,3-B]PYRAZINE",-12.273432,x0678,active-noncovalent
c1ccc(cc1)c2ccc(cc2)C[C@@H](C(=O)[O-])[NH3+],Biphenylalanine,-12.168997,x0678,active-noncovalent
c1cc(cc2c1cc(cc2C#N)c3ccc(c(c3)F)O)O,3-(3-FLUORO-4-HYDROXYPHENYL)-7-HYDROXY-1-NAPHTHONITRILE,-12.129187,x0749,active-covalent
c1conc1c2[nH]c3c(n2)cnc4c3COCC4,S-8510,-11.731334,x0678,active-noncovalent
c1ccc2c(c1)cc(cn2)c3cc(ccn3)c4cc5c([nH]4)CCNC5=O,"2-(2-QUINOLIN-3-YLPYRIDIN-4-YL)-1,5,6,7-TETRAHYDRO-4H-PYRROLO[3,2-C]PYRIDIN-4-ON",-11.718282,x0104,active-noncovalent
c1cc(c(=O)[nH]c1)c2[nH]c3cc(ccc3n2)C(=[NH2+])N,"Imino[2-(2-oxo-1,2-dihydro-3-pyridinyl)-1H-benzimidazol-5-yl]methanaminium",-11.711179,x0678,active-noncovalent
