SMILES,TITLE,CAS Number,Drug Groups,InChIKey,InChI,,Formula,KEGG Compound ID,KEGG Drug ID,PubChem Compound ID,PubChem Substance ID,ChEBI ID,ChEMBL ID,HET ID,ChemSpider ID,BindingDB ID,DrugBank ID,Hybrid2,fragments,Mpro-x0678_dock,Mpro-x0107_dock,Mpro-x0749_dock,Mpro-x0830_dock,Mpro-x1077_dock,Mpro-x0104_dock,Mpro-x0072_dock,Mpro-x0831_dock,Mpro-x0692_dock,Mpro-x0967_dock,Mpro-x0195_dock,Mpro-x0161_dock,Mpro-x1334_dock,Mpro-x0397_dock,Mpro-x1392_dock,Mpro-x0946_dock,Mpro-x1386_dock,Mpro-x0434_dock,Mpro-x0770_dock,Mpro-x1418_dock,Mpro-x1093_dock,Mpro-x1385_dock,Mpro-x0708_dock,Mpro-x0354_dock,Mpro-x0874_dock,Mpro-x0759_dock,Mpro-x1375_dock,Mpro-x1374_dock,Mpro-x0426_dock,Mpro-x0820_dock,Mpro-x1412_dock,Mpro-x0305_dock,Mpro-x0736_dock,Mpro-x1249_dock,Mpro-x1311_dock,Mpro-x0395_dock,Mpro-x0387_dock,Mpro-x1493_dock,Mpro-x1187_dock,Mpro-x0734_dock,Mpro-x0540_dock,Mpro-x1458_dock,Mpro-x0774_dock,Mpro-x1348_dock,Mpro-x1380_dock,Mpro-x1358_dock,Mpro-x0981_dock,Mpro-x0691_dock,Mpro-x1478_dock,Mpro-x1351_dock,Mpro-x1382_dock,Mpro-x0771_dock,Mpro-x1384_dock,Mpro-x0705_dock,Mpro-x0731_dock,Mpro-x0887_dock,Mpro-x0752_dock,Mpro-x0769_dock,Mpro-x1425_dock,Mpro-x1308_dock,Mpro-x0755_dock,Mpro-x0978_dock,Mpro-x1402_dock,Mpro-x0689_dock,Mpro-x0786_dock,site
c1cc(cnc1)C2=[NH+]OC[C@@H](N2)C[NH+]3CCCCC3,Iroxanadine,276690-58-5,investigational,QWVRTSZDKPRPDF-UHFFFAOYSA-N,"InChI=1S/C14H20N4O/c1-2-7-18(8-3-1)10-13-11-19-17-14(16-13)12-5-4-6-15-9-12/h4-6,9,13H,1-3,7-8,10-11H2,(H,16,17)",,C14H20N4O,,,6421776,175427005,,CHEMBL2107433,,4927305,,DB05444,-13.762961,x0678,-13.762961,-10.467812,-9.597581,-8.840168,-7.80328,-7.761866,-7.637497,-7.492737,-7.237007,-7.079823,-7.076956,-7.042753,-6.920269,-6.876282,-6.849057,-6.80864,-6.803367,-6.73462,-6.590706,-6.503029,-6.202229,-6.16392,-6.071232,-6.011371,-5.990686,-5.854073,-5.790985,-5.424253,-5.168324,-5.00303,-4.843825,-4.831764,-4.82919,-4.756207,-4.597187,-4.475105,-4.25787,-4.094184,-3.891074,-3.462452,-3.460743,-3.361598,-3.28338,-3.205425,-3.156291,-2.868768,-2.703014,-2.628545,-2.604937,-2.496893,-2.094132,-2.078465,-2.020862,-1.835796,-1.754437,-1.736896,-1.726197,-1.706923,-1.536314,-1.411054,-1.206503,-1.185559,-1.180048,-1.120339,-0.898754,active-noncovalent
CC(=O)Nc1cn[nH]c1C(=O)Nc2ccc(cc2)F,4-(acetylamino)-N-(4-fluorophenyl)-1H-pyrazole-3-carboxamide,,experimental,CWQKPKYIMQTGJK-UHFFFAOYSA-N,"InChI=1S/C12H11FN4O2/c1-7(18)15-10-6-14-17-11(10)12(19)16-9-4-2-8(13)3-5-9/h2-6H,1H3,(H,14,17)(H,15,18)(H,16,19)",,C12H11FN4O2,,,24864077,99444607,,CHEMBL456163,LZ7,22377573,50113282,DB08136,-13.079412,x0678,-13.079412,-8.312956,-8.845667,-6.717868,-5.88486,-8.327097,-6.388285,-5.80272,-4.785924,-4.957631,-6.81832,-8.725622,-7.905308,-6.254796,-6.75438,-8.099712,-5.936419,-5.578268,-5.481805,-5.762481,-8.313129,-8.568557,-7.179667,-3.0211,-6.783029,-5.276216,-4.463875,-2.978262,-3.255979,-2.742252,-7.46704,-6.816526,-2.970392,-3.402162,-5.002493,-6.117448,-5.048579,-2.641106,-3.9862,-2.207521,-3.422193,-3.321465,-3.631689,-4.842199,-4.511051,-3.873466,-3.877486,-1.23473,-2.343469,-3.471202,-4.608097,-2.940029,-1.811063,-1.788108,-1.744123,-0.85729,-1.697078,-1.390797,-2.032794,-2.218438,-1.401067,-1.416334,-3.359276,-1.679757,-1.850313,active-noncovalent
c1ccc2c(c1)c3c4c(c5c6ccccc6[nH]c5c3[nH]2)C(=O)NC4,"6,7,12,13-tetrahydro-5H-indolo[2,3-a]pyrrolo[3,4-c]carbazol-5-one",,experimental,MEXUTNIFSHFQRG-UHFFFAOYSA-N,"InChI=1S/C20H13N3O/c24-20-17-12(9-21-20)15-10-5-1-3-7-13(10)22-18(15)19-16(17)11-6-2-4-8-14(11)23-19/h1-8,22-23H,9H2,(H,21,24)",,C20H13N3O,,,3815,99444507,,CHEMBL16958,K2C,3683,2581,DB08036,-12.704174,x0678,-12.704174,-5.360289,-9.218625,-6.995939,-6.531199,-8.310157,-4.724014,-4.533436,-5.295831,-7.641834,-9.369794,-8.908022,-7.140843,-2.883893,-5.568108,-9.295484,-4.657244,-8.601983,-4.600157,-4.779593,-8.309011,-6.798515,-6.152328,-7.899201,-6.747643,-4.460938,-2.457405,-4.67117,-1.209781,-3.332812,-6.269782,-7.230386,-4.646712,-3.088009,-4.064594,-5.859882,-5.675046,-2.036717,-3.811216,-3.104844,-1.868397,-5.26239,-6.306174,-2.942936,-3.000769,-3.761555,-6.899114,-1.367832,-3.40743,-3.794151,-5.918741,-2.96669,-3.408328,-2.921992,1.501376,-4.411953,-4.972999,-2.461962,-2.54954,-2.029907,-2.479941,-1.01177,-2.657126,-1.978167,-4.324174,active-noncovalent
c1ccc2c(c1)c3c4c(c5c6ccccc6[nH]c5c3[nH]2)c([nH]c4C(=O)[O-])O,"7-carboxy-5-hydroxy-12,13-dihydro-6H-indolo[2,3-a]pyrrolo[3,4-c]carbazole",,experimental,LTOZELYBRTWMHC-UHFFFAOYSA-N,"InChI=1S/C21H13N3O3/c25-20-16-14-10-6-2-4-8-12(10)23-18(14)17-13(15(16)19(24-20)21(26)27)9-5-1-3-7-11(9)22-17/h1-8,22-25H,(H,26,27)",,C21H13N3O3,,,46937063,99443712,,,7CK,22376385,,DB07241,-12.467003,x0678,-12.467003,-5.15394,-10.819045,-4.878691,-8.246151,-8.793918,-4.324703,-5.308832,-4.024156,-4.640169,-10.136566,-8.161611,-4.610892,-5.262557,-4.311471,-8.347843,-4.328046,-7.693313,-4.698622,-4.844851,-7.538095,-3.825928,-3.557801,-4.966024,-4.964874,-4.326646,-2.958547,-4.901102,1.447278,0.467394,-2.395957,-4.79943,-2.159367,-2.17352,-1.516892,-2.92212,-4.794096,-4.750895,-2.640844,-1.952642,-2.739702,-2.832998,-2.145541,-1.290893,-1.862404,-2.143375,-6.435072,-4.072298,-7.454948,-0.254613,-1.004049,-4.538509,-6.078931,-2.212714,-0.670328,-2.684889,-4.398785,-4.063534,-5.464428,-4.264388,-3.570666,3.03776,-5.577892,-3.657407,-4.122117,active-noncovalent
c1ccc2c(c1)c([nH]n2)C(=O)N[C@@H]3C[NH+]4CCC3CC4,Facinicline,677306-35-3,investigational,TXCYUSKWBHUVEP-CYBMUJFWSA-N,"InChI=1S/C15H18N4O/c20-15(14-11-3-1-2-4-12(11)17-18-14)16-13-9-19-7-5-10(13)6-8-19/h1-4,10,13H,5-9H2,(H,16,20)(H,17,18)/t13-/m1/s1",,C15H18N4O,,,,,,CHEMBL2151439,,8145949,50393245,DB05586,-12.401834,x0678,-12.401834,-9.677819,-7.924291,-4.75714,-7.966201,-7.113587,-6.886453,-7.175837,-6.796201,-5.87501,-8.278504,-7.554065,-8.490554,-8.255429,-5.582763,-7.358752,-7.365042,-6.034884,-3.819331,-4.575736,-8.802923,-8.957711,-6.511978,-4.536378,-6.751685,-4.880799,-7.21783,-4.297102,-1.729484,-2.188355,-7.844727,-3.769834,-3.783584,-4.784238,-6.727929,-7.447315,-5.177774,-3.738972,-5.02865,-5.54146,-1.427136,-3.4771,-6.532543,-5.067461,-3.370989,-2.564643,-3.150413,-2.583498,-2.568832,-1.380932,-3.442408,-2.969512,-2.312155,-2.480931,-2.529979,-1.29226,-2.728677,-1.357778,-1.418365,-2.246279,-1.035418,-1.996293,-0.856498,-2.163673,-2.881189,active-noncovalent
c1ccc2cc(ccc2c1)c3cc4c(c[nH]c4nc3)c5ccc(cc5)CC(=O)[O-],"[4-(5-naphthalen-2-yl-1H-pyrrolo[2,3-b]pyridin-3-yl)phenyl]acetic acid",,experimental,SWXKLXXVFMYMDP-UHFFFAOYSA-N,"InChI=1S/C25H18N2O2/c28-24(29)11-16-5-7-18(8-6-16)23-15-27-25-22(23)13-21(14-26-25)20-10-9-17-3-1-2-4-19(17)12-20/h1-10,12-15H,11H2,(H,26,27)(H,28,29)",,C25H18N2O2,,,11952989,99444308,,CHEMBL549906,GMG,10127298,50296004,DB07837,-12.315027,x0161,-2.449258,-3.034382,-4.094995,-1.917324,-7.994037,-10.040243,-5.338721,1.244767,-0.318423,-5.383064,-9.014473,-12.315027,-1.141687,-6.076892,-4.660507,-3.595641,2.516797,-3.50071,3.731694,3.800685,-0.581681,-2.793469,0.738752,-1.369427,-4.725736,5.247076,2.036728,-0.708421,-5.574011,1.830448,6.280224,-6.943272,2.107092,-1.6207,-0.490016,-4.740396,-2.37958,-2.341924,-3.051079,-1.40928,-5.592714,0.14966,4.735901,5.237319,-1.690565,-0.451747,5.564451,2.427936,1.37283,1.253604,4.780043,0.813827,-3.174686,1.740114,1.246278,-0.713357,2.368886,0.787906,-2.874616,-0.76926,-1.420176,1.015364,1.715315,0.361802,4.272324,active-noncovalent
CCCCc1c2c([nH]c1c3ccc(cc3)O)nccn2,"6-PHENYL[5H]PYRROLO[2,3-B]PYRAZINE",,experimental,PRIGRJPRGZCFAS-UHFFFAOYSA-N,"InChI=1S/C16H17N3O/c1-2-3-4-13-14(11-5-7-12(20)8-6-11)19-16-15(13)17-9-10-18-16/h5-10,20H,2-4H2,1H3,(H,18,19)",,C16H17N3O,,,5326843,99443835,,CHEMBL75680,ALH,20120246,7377,DB07364,-12.273432,x0678,-12.273432,-8.354492,-6.610576,-6.985205,-6.79815,-5.03959,-6.251036,-4.735955,-4.206984,-5.452137,-8.025618,-7.385148,-7.143565,-2.712821,-6.7145,-4.437343,-3.862493,-6.224727,-4.49856,-5.398029,-7.544068,-8.569201,-6.564452,-6.188443,-4.660215,-3.694025,-3.668973,-4.275508,-0.415597,-3.588049,-7.950991,-5.368664,-5.417849,-3.584385,-4.391805,-5.053691,-7.587092,-2.976888,-2.932145,-5.734177,0.08304,-4.40941,-6.999085,-6.423198,-2.842083,-3.278629,-3.597077,-2.074098,-1.986467,-2.968141,-3.312115,-2.313493,-1.120387,-1.76968,-0.367479,-1.178378,-2.446337,-2.739865,-2.298915,-2.045897,-3.314815,-0.568476,-1.181396,-1.693457,-2.416005,active-noncovalent
c1ccc(cc1)c2ccc(cc2)C[C@@H](C(=O)[O-])[NH3+],Biphenylalanine,,experimental,JCZLABDVDPYLRZ-AWEZNQCLSA-N,"InChI=1S/C15H15NO2/c16-14(15(17)18)10-11-6-8-13(9-7-11)12-4-2-1-3-5-12/h1-9,14H,10,16H2,(H,17,18)/t14-/m0/s1",,C15H15NO2,,,2761815,46505628,,,BIF,2042538,,DB04639,-12.168997,x0678,-12.168997,-7.700378,-10.756872,-8.939411,-6.924294,-6.839992,-7.966005,-5.880507,-7.585299,-7.992183,-7.701388,-8.901788,-6.641395,-5.144151,-5.905967,-7.401747,-5.239074,-7.333491,-6.157958,-6.421166,-8.148208,-8.088457,-6.024091,-3.510496,-7.265871,-6.486192,-3.775226,-5.344261,-2.661258,-2.286795,-7.051096,-4.22681,-4.466223,-3.761986,-6.339286,-6.557383,-6.395574,-4.522193,-4.81731,-5.932123,-1.534562,-4.114722,-5.823841,-6.932801,-5.957806,-4.462947,-3.884823,-2.096109,-4.96874,-3.664367,-2.665076,-2.811675,-2.803639,-3.317004,-1.705022,-1.029955,-2.111716,-1.871058,-3.121881,-2.669939,-1.837125,-0.261135,-1.865792,-1.950031,-2.17791,active-noncovalent
c1cc(cc2c1cc(cc2C#N)c3ccc(c(c3)F)O)O,3-(3-FLUORO-4-HYDROXYPHENYL)-7-HYDROXY-1-NAPHTHONITRILE,,experimental,NSSOSHDCWCMNDM-UHFFFAOYSA-N,"InChI=1S/C17H10FNO2/c18-16-7-10(2-4-17(16)21)12-5-11-1-3-14(20)8-15(11)13(6-12)9-19/h1-8,20-21H",,C17H10FNO2,,,6102691,99443346,,CHEMBL192154,196,4810213,50168348,DB06875,-12.129187,x0749,-8.297268,-6.497851,-12.129187,-6.921797,-8.250749,-8.074593,-7.254607,-5.615841,-5.967541,-7.913388,-8.664491,-9.414424,-6.381073,-4.552236,-7.087242,-7.157619,-4.311102,-5.832747,-5.573895,-6.220509,-7.052389,-7.738315,-4.927586,-4.233214,-7.451193,-5.343971,-3.398623,-2.889878,-1.988173,-1.902525,-6.643095,-4.626616,-4.574644,-3.262463,-3.098382,-7.651416,-6.43805,-3.880958,-5.915334,-3.714492,-2.34754,-2.436594,-2.762228,-5.16571,-3.026346,-3.452825,2.650522,-0.531743,-1.242826,-2.810508,-3.657641,-0.387866,-0.966339,-3.587399,1.351016,-0.244419,0.906727,-0.459858,-0.73448,-0.800175,-0.785289,0.353546,0.230687,-0.43737,-1.153112,active-covalent
c1conc1c2[nH]c3c(n2)cnc4c3COCC4,S-8510,,investigational,ITPFSYAYHHPKRT-UHFFFAOYSA-N,"InChI=1S/C12H10N4O2/c1-3-17-6-7-8(1)13-5-10-11(7)15-12(14-10)9-2-4-18-16-9/h2,4-5H,1,3,6H2,(H,14,15)",,C12H10N4O2,,,,,,,,11187861,,DB06504,-11.731334,x0678,-11.731334,-4.771689,-7.784489,-6.130105,-6.365451,-6.246977,-5.884569,-6.025757,-5.956564,-5.100716,-7.413989,-6.20224,-4.581927,-7.049745,-5.486999,-6.37016,-3.146379,-7.443706,-3.582026,-4.526412,-7.473808,-5.998297,-5.832006,-5.222699,-5.062177,-6.501242,-5.555236,-3.064335,-5.602248,-2.100116,-4.403599,-5.289706,-3.84785,-2.412594,-6.560803,-5.029437,-4.704653,-3.862556,-5.88447,-5.483425,-5.40848,-3.988769,-3.201779,-6.753069,-4.433433,-1.702604,-1.842469,-1.08725,-2.099802,-1.321972,-2.829961,-3.100883,-3.098043,-0.793413,-1.417603,-0.888027,-2.731817,-1.802724,-1.21293,-2.649847,-0.714565,-1.58771,-1.35793,-0.307346,-3.567768,active-noncovalent
