SMILES,TITLE,Hybrid2,docked_fragment
c1ccc(cc1)C2(CCCC2)CC(=O)Nc3cccnc3,CHR-SOS-f7373dd1-4,-11.737092,x0678
Cc1ccncc1NC(=O)CCNC(=O)c2ccccc2F,PET-SGC-2e937068-1,-11.340974,x0678
c1cc(cnc1)NC(=O)Cc2ccc(s2)Cl,DAR-DIA-842b4336-13,-11.181113,x0678
c1ccc(cc1)[C@@H]2C[N@@H+](C[C@H]2C(=O)N)Cc3cccnc3,DUN-NEW-d8381160-1,-11.157682,x0678
Cc1ccncc1NC(=O)[C@@H](C)c2cccc(c2)Cl,TRY-UNI-714a760b-18,-11.149205,x0678
c1ccc(c(c1)CC(=O)OCc2cn[nH]n2)O[C@@H]3CCOC3,BAR-COM-4e090d3a-50,-11.107311,x0678
Cc1ccncc1NC(=O)CC(C)(C)NC(=O)c2cccc3c2cc[nH]3,GAB-REV-70cc3ca5-6,-11.083416,x0678
c1ccc(cc1)N2CCN(CC2)C(=O)c3cc(=O)[nH]c4c3cccc4,MAT-POS-916a2c5a-4,-10.749320,x0107
c1ccc(cc1)OCc2c3c(cccc3sc2C(=O)NCc4cnccn4)F,BAR-COM-4e090d3a-64,-10.726959,x0678
c1cc(cc(c1)Cl)CNC(=O)Cc2c[nH]c3c2cccn3,TRY-UNI-1fd04853-5,-10.682974,x0678
Cc1cnc(o1)CC(=O)Nc2cccnc2,DAR-DIA-842b4336-16,-10.643672,x0678
c1ccc2c(c1)C[C@@H](C[N@]2CC(=O)Nc3cnccn3)C(=O)N,BAR-COM-4e090d3a-21,-10.617538,x0678
Cc1nnc(s1)CC(=O)Nc2cccnc2,ALE-HEI-f28a35b5-5,-10.544547,x0678
c1ccc(cc1)NC(=O)Cc2cncc3c2cccc3,DAR-DIA-23aa0b97-20,-10.520862,x0678
Cc1ccncc1NC(=O)Nc2ccccc2,ALE-HEI-f28a35b5-1,-10.495522,x0678
Cc1ccncc1NC(=O)Nc2ccccc2,TRY-UNI-714a760b-4,-10.495522,x0678
Cc1ccncc1NC(=O)Cc2ccc(cc2)S(=O)(=O)N,GAB-REV-70cc3ca5-20,-10.478170,x0107
Cc1ccncc1NC(=O)Cc2ccccc2,TRY-UNI-714a760b-5,-10.434412,x0678
c1cc(ccc1N2CCC(CC2)c3ccncc3)S(=O)(=O)N,WAR-XCH-b72a1bbc-15,-10.408019,x0195
Cc1ccncc1NC(=O)Cc2cccc(c2)Cl,TRY-UNI-714a760b-6,-10.387289,x0678
c1ccc(cc1)NC2CCN(CC2)c3ccc(cc3)S(=O)(=O)N,WAR-XCH-b6889685-29,-10.363422,x0072
C[C@@H](c1ccc2c3cc(ccc3[nH]c2c1)Cl)C(=O)[O-],AAR-POS-fca48359-19,-10.343470,x0749
C[C@@H](c1ccc2c3cc(ccc3[nH]c2c1)Cl)C(=O)[O-],AAR-POS-fca48359-20,-10.343470,x0749
C[C@@H](c1ccc2c3cc(ccc3[nH]c2c1)Cl)C(=O)[O-],GER-UNI-ec786817-1,-10.343470,x0749
C[C@@H](c1ccc2c3cc(ccc3[nH]c2c1)Cl)C(=O)[O-],MAK-UNK-0d6072ac-4,-10.343470,x0749
c1ccc(c(c1)C(=O)NC[C@@H](Cn2ccnn2)O)OC3CCC3,BAR-COM-4e090d3a-34,-10.300408,x0678
Cc1c(cncn1)NC(=O)Nc2ccccc2,HAN-NEW-5f56c3bc-1,-10.278812,x0678
c1cc(cc(c1)N2CCC2=O)NC(=O)NCc3cccnn3,BAR-COM-4e090d3a-60,-10.245558,x0397
Cn1cc(nn1)CNC(=O)N(CCc2ccccc2)Cc3cccnc3,BAR-COM-4e090d3a-47,-10.219568,x0678
c1ccc(cc1)C(c2ccccc2)[NH+]3CCN(CC3)C(=O)CCl,SIM-SYN-f15aaa3a-1,-10.115160,x1392
c1cc2c(c[nH]c2nc1)CC(=O)NCc3ccc(cc3)Cl,TRY-UNI-1fd04853-7,-10.089762,x0678
C=CC(=O)N1CCC[C@H](C1)c2nc3ccccc3s2,JOO-IND-b13e14cc-1,-10.088066,x0749
Cc1ccncc1NC(=O)CCNc2ccc(cc2)S(=O)(=O)N,GAB-REV-70cc3ca5-3,-10.081774,x0107
Cc1nnc(s1)NC(=O)Nc2cccnc2,ALE-HEI-f28a35b5-4,-10.058550,x0678
C=CC(=O)N1CC[NH+](CC1)Cc2cc(cc3c2cccc3)Cl,MAT-POS-4e253971-2,-10.049481,x0830
Cc1ccc(s1)NC(=O)Nc2cccnc2,DAR-DIA-842b4336-3,-10.044557,x0678
c1ccc(cc1)[C@H](C[NH+]2CCOCC2)NC(=O)CCn3ccnn3,BAR-COM-4e090d3a-45,-10.001107,x0678
CS(=O)(=O)Nc1cccc(c1)C(=O)Oc2cccc(c2)N3CCCC3=O,MAK-UNK-9159f8ed-7,-9.903871,x0161
c1cc(ccc1NC2CCN(CC2)c3ccc(cc3)S(=O)(=O)N)F,WAR-XCH-b6889685-26,-9.858924,x0072
c1cc(cnc1)NC(=O)Nc2cc(cnc2)Cl,DAR-DIA-23aa0b97-15,-9.845115,x0107
CS(=O)(=O)Cc1ccc(o1)C(=O)Nc2cccnc2,ANT-DIA-3c79be55-4,-9.845098,x0107
c1cc(cc(c1)Cl)NC(=O)Cc2c[nH]c3c2cccn3,DAR-DIA-23aa0b97-12,-9.791058,x0397
c1ccc(cc1)CCCc2cccc(c2)NC(=O)Cc3cncnc3,BAR-COM-4e090d3a-11,-9.786640,x0678
Cc1coc(n1)NC(=O)Nc2cccnc2,DAR-DIA-842b4336-7,-9.765095,x0678
Cc1ccncc1NC(=O)Nc2cccc(c2)Cl,TRY-UNI-714a760b-12,-9.759779,x0678
Cc1ccncc1NC(=O)Nc2cccc(c2)Cl,JAG-UCB-cedd89ab-8,-9.759779,x0678
CS(=O)(=O)NCC[C@H]1CCCC[N@@H+]1CC(=O)Nc2cccnc2,BEN-DND-362d364a-10,-9.718414,x0678
CCC(C)(C)CCN(Cc1ccsc1)C(=O)Cn2c3ccccc3nn2,RUT-UNI-630c5802-20,-9.695564,x0678
c1ccc2c(c1)cccc2C[NH+]3CCN(CC3)C(=O)CCl,MED-COV-4280ac29-31,-9.686901,x0830
c1ccc2c(c1)cccc2C[NH+]3CCN(CC3)C(=O)CCl,AAR-POS-d2a4d1df-40,-9.686901,x0830
c1cc(cc(c1)Cl)NC(=O)Nc2cc(cnc2)N,DAR-DIA-23aa0b97-13,-9.678142,x0678
CC(C)[N@@H+](C)CC1CCN(CC1)c2ccc(cc2)S(=O)(=O)N,WAR-XCH-b72a1bbc-48,-9.625897,x0104
c1cc(cc(c1)Cl)C(=O)Nc2cccnc2,CHR-SOS-7098f804-12,-9.620449,x0678
Cc1ccc(cc1)NC2CCN(CC2)c3ccc(cc3)S(=O)(=O)N,WAR-XCH-b6889685-25,-9.584717,x0072
c1cc(cnc1)NC(=O)c2cc(ccc2O)Cl,CHR-SOS-7098f804-11,-9.563734,x0678
c1cc(cc(c1)N2CCOCC2)NC(=O)NCc3cncs3,BAR-COM-4e090d3a-58,-9.563450,x0195
Cc1ccnc(c1)NC(=O)Cc2ccc3ccccc3c2,ALV-UNI-7ff1a6f9-45,-9.554324,x1093
c1cc2c(c[nH]c2nc1)CC(=O)NCc3cc(ccn3)Cl,TRY-UNI-1fd04853-9,-9.539196,x0678
c1cc(cnc1)NC(=O)Nc2ccc(s2)Cl,DAR-DIA-842b4336-4,-9.498690,x0678
c1cc(cc(c1)NC(=O)NCc2ccns2)CN3CCCC3=O,BAR-COM-4e090d3a-61,-9.494002,x0195
C[C@@H](c1cnccn1)C(=O)Nc2cccc(c2)NC3CCCC3,BAR-COM-4e090d3a-20,-9.470178,x0678
Cc1ccncc1c2ccc(cc2)S(=O)(=O)N,WAR-XCH-b72a1bbc-4,-9.448851,x0678
C[C@@H](c1cnccn1)NC(=O)c2ccccc2OC3CCCCC3,BAR-COM-4e090d3a-26,-9.447334,x0678
Cc1cccc(c1)NC2CCN(CC2)c3ccc(cc3)S(=O)(=O)N,WAR-XCH-b6889685-27,-9.421846,x0072
CC(=O)N1CC[NH+](CC1)Cc2cc(cc(c2)Cl)O,KIM-UNI-2ee5d8f9-1,-9.378798,x0749
CNC(=O)OC1CCN(CC1)C(=O)c2ccncc2,GIA-UNK-595fac82-3,-9.361073,x0104
CNC(=O)OC1CCN(CC1)C(=O)c2ccccc2,GIA-UNK-595fac82-2,-9.340299,x0104
CCC(=O)NCC[C@@H]1CCc2c1c3c(cc2)OCC3,JOH-MSK-ec639444-2,-9.332843,x0104
c1ccc(cc1)CCNS(=O)(=O)c2ccoc2,MIH-UNI-6b9ca91a-6,-9.325847,x0678
COC1CCN(CC1)c2ccc(cc2)S(=O)(=O)N,WAR-XCH-b72a1bbc-9,-9.316606,x0749
c1ccc(cc1)C[C@@H](c2cccs2)NC(=O)NCc3cccnn3,BAR-COM-4e090d3a-29,-9.271416,x1077
CC(=O)N1CCN(CC1)C(=O)Cc2ccccn2,JON-UIO-066ce08b-3,-9.234826,x0107
c1cc(ccc1N2CCC(CC2)C[NH+]3CCCCCC3)S(=O)(=O)N,WAR-XCH-b72a1bbc-20,-9.220327,x0104
C[C@@H]1CS[C@@H]([N@H+]1C)/N=N/C(=O)C(=O)[C@@H](C2CCOCC2)NC(=O)C3CCCCCC3,AAR-POS-dddeddbf-5,-9.213070,x0749
Cn1cncc1CNC(=O)Nc2cccc(n2)OCC(F)F,BAR-COM-4e090d3a-52,-9.207413,x1093
COc1cc(c2ccccc2n1)CNC(=O)Cc3[nH]ccn3,BAR-COM-4e090d3a-22,-9.205212,x0104
CC(=O)NCCc1cn(c2c1cccc2)CC(=O)N3CCOCC3,DUN-NEW-f8ce3686-13,-9.162056,x0104
CC[C@H](c1ccccc1OCC(=O)N2CCCC2)NC(=O)NCc3cnccn3,BAR-COM-4e090d3a-27,-9.135799,x0072
C1CCN(CC1)C(=O)C2CCN(CC2)C(=O)CCl,AAR-POS-0daf6b7e-9,-9.132237,x0749
C1CCN(CC1)C(=O)C2CCN(CC2)C(=O)CCl,VIR-GIT-7b3d3065-2,-9.132237,x0749
c1cc(ccc1N2CCC(CC2)CO)S(=O)(=O)N,WAR-XCH-b72a1bbc-14,-9.132140,x0749
Cc1ccncc1NC(=O)c2cccc(c2)NC(=O)Nc3cccnc3,MAK-UNK-129dcd6f-9,-9.129883,x0678
Cc1ccncc1NC(=O)c2cccc(c2)NC(=O)Nc3cccnc3,MAK-UNK-129dcd6f-11,-9.129883,x0678
c1cc2c(c[nH]c2nc1)CC(=O)NCc3ccc(cn3)Cl,TRY-UNI-1fd04853-11,-9.105130,x0749
