SMILES,TITLE,IC50 (uM),IC50 (uM) - std,Average Inhibition @ 20 uM,Average Inhibition @ 20 uM - std,Average Inhibition @ 50 uM,Average Inhibition @ 50 uM - std,Trypsin IC50 (uM),Relative Solubility @ 20 uM,Relative Solubility @ 100 uM,Hybrid2,docked_fragment,Mpro-_dock,site
c1ccc(cc1)C2(CCCC2)CC(=O)Nc3cccnc3,CHR-SOS-f7373dd1-4,,,,,,26.9,2.65,,,-11.737092,x0678,0.052361,active-noncovalent
Cc1ccncc1NC(=O)CCNC(=O)c2ccccc2F,PET-SGC-2e937068-1,,,,,,15.4,1.68,,,-11.340974,x0678,0.577023,active-noncovalent
c1cc(cnc1)NC(=O)Cc2ccc(s2)Cl,DAR-DIA-842b4336-13,,,,0.922,2.19,11.5,1.87,1.0,1.0,-11.181113,x0678,-1.170343,active-noncovalent
c1ccc(cc1)[C@@H]2C[N@@H+](C[C@H]2C(=O)N)Cc3cccnc3,DUN-NEW-d8381160-1,,,,,,7.36,0.257,,,-11.157682,x0678,-0.213893,active-noncovalent
Cc1ccncc1NC(=O)[C@@H](C)c2cccc(c2)Cl,TRY-UNI-714a760b-18,27.2,3.7,> 49.5,58.0,0.177,78.7,0.239,1.0,1.0,-11.149205,x0678,-1.185478,active-noncovalent
c1ccc(c(c1)CC(=O)OCc2cn[nH]n2)O[C@@H]3CCOC3,BAR-COM-4e090d3a-50,,,,,,9.34,3.4,,,-11.107311,x0678,0.204139,active-noncovalent
Cc1ccncc1NC(=O)CC(C)(C)NC(=O)c2cccc3c2cc[nH]3,GAB-REV-70cc3ca5-6,,,,,,3.87,0.647,,,-11.083416,x0678,3.966797,active-noncovalent
c1ccc(cc1)N2CCN(CC2)C(=O)c3cc(=O)[nH]c4c3cccc4,MAT-POS-916a2c5a-4,,,,,,81.8,1.66,,,-10.749320,x0107,2.865086,active-noncovalent
c1ccc(cc1)OCc2c3c(cccc3sc2C(=O)NCc4cnccn4)F,BAR-COM-4e090d3a-64,,,,-1.73,10.3,6.32,6.99,0.95,0.44,-10.726959,x0678,1.79254,active-noncovalent
c1cc(cc(c1)Cl)CNC(=O)Cc2c[nH]c3c2cccn3,TRY-UNI-1fd04853-5,,,,7.73,2.86,9.03,0.76,1.0,0.96,-10.682974,x0678,0.908274,active-noncovalent
Cc1cnc(o1)CC(=O)Nc2cccnc2,DAR-DIA-842b4336-16,,,,,,6.13,0.809,,,-10.643672,x0678,-0.672206,active-noncovalent
c1ccc2c(c1)C[C@@H](C[N@]2CC(=O)Nc3cnccn3)C(=O)N,BAR-COM-4e090d3a-21,,,,0.0292,5.71,6.19,1.71,1.0,0.93,-10.617538,x0678,1.104097,active-noncovalent
Cc1nnc(s1)CC(=O)Nc2cccnc2,ALE-HEI-f28a35b5-5,,,,-1.16,0.562,-0.0294,0.492,1.0,0.99,-10.544547,x0678,-0.899589,active-noncovalent
c1ccc(cc1)NC(=O)Cc2cncc3c2cccc3,DAR-DIA-23aa0b97-20,61.3,6.0,> 99.0,31.6,1.34,57.8,0.318,1.0,0.98,-10.520862,x0678,0.681776,active-noncovalent
Cc1ccncc1NC(=O)Nc2ccccc2,ALE-HEI-f28a35b5-1,,,,,,5.51,4.97,,,-10.495522,x0678,0.864149,active-noncovalent
Cc1ccncc1NC(=O)Nc2ccccc2,TRY-UNI-714a760b-4,,,,,,5.51,4.97,,,-10.495522,x0678,0.864149,active-noncovalent
Cc1ccncc1NC(=O)Cc2ccc(cc2)S(=O)(=O)N,GAB-REV-70cc3ca5-20,,,,4.76,1.42,10.9,0.786,1.0,1.0,-10.478170,x0107,0.904521,active-noncovalent
Cc1ccncc1NC(=O)Cc2ccccc2,TRY-UNI-714a760b-5,,,,8.19,0.345,19.5,0.723,1.0,1.0,-10.434412,x0678,-0.881286,active-noncovalent
c1cc(ccc1N2CCC(CC2)c3ccncc3)S(=O)(=O)N,WAR-XCH-b72a1bbc-15,,,,0.875,0.328,1.65,0.621,1.0,0.94,-10.408019,x0195,2.789766,active-noncovalent
Cc1ccncc1NC(=O)Cc2cccc(c2)Cl,TRY-UNI-714a760b-6,25.4,3.25,> 49.5,61.6,1.62,81.8,0.414,1.0,1.0,-10.387289,x0678,-1.153472,active-noncovalent
