SMILES,CID,CID (canonical),CID (old format),Postera Link,InChIKey,creator,rationale,Submission Notes,fragments,Structure ID,Fragalysis Link,Enamine - REAL Space,Enamine - Extended REAL Space,Enamine - SCR,Enamine - BB,Mcule,Mcule Ultimate,In Molport or Mcule,In eMolecules,MW,cLogP,TPSA,Rotatable Bonds,Fraction sp3,HBA,HBD,Covalent Fragment,covalent_warhead,Acrylamide,Acrylamide Adduct,Chloroacetamide,Chloroacetamide Adduct,Vinylsulfonamide,Vinylsulfonamide Adduct,Nitrile,Nitrile Adduct,series,Order Date,Maker,Shipment Date,CDD_name,CDD_mol_ID,r_inhibition_at_20_uM,r_inhibition_at_50_uM,r_avg_IC50,r_curve_IC50,r_max_inhibition_reading,r_min_inhibition_reading,r_hill_slope,r_R2,r_concentration_uM,r_inhibition_list,f_inhibition_at_20_uM,f_inhibition_at_50_uM,f_avg_IC50,f_avg_pIC50,f_curve_IC50,f_max_inhibition_reading,f_min_inhibition_reading,f_hill_slope,f_R2,f_concentration_uM,f_inhibition_list,relative_solubility_at_20_uM,relative_solubility_at_100_uM,trypsin_IC50,NMR_std_ratio,structure_ID,structure_LINK,ORDERED,MAKER,ORDER_DATE,MADE,SHIPMENT_DATE,ASSAYED
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCc2ncc[nH]2)c1,RAL-THA-6b94ceba-1,RAL-THA-6b94ceba-1,,https://covid.postera.ai/covid/submissions/6b94ceba-f352-4275-ad8d-e766e56e6fa4/1,VFBYPWUSCBXRKO-UHFFFAOYSA-N,"Ralph Robinson, Thames Pharma Partners","Follow up of beta lactam TRY-UNI-2eddb1ff-7: beta-lactam replacements, generally retaining the H-bond donor proximal to the phenyl ring. Relative synthetic ease taken into account.",,,,,False,False,False,False,,,,,356.1,3.53,79.9,6,0.17,4,2,,False,False,False,False,False,False,False,,,3-aminopyridine-like,,,,CVD-0011600,80157835.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,,FALSE
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCc2ncn[nH]2)c1,RAL-THA-6b94ceba-2,RAL-THA-6b94ceba-2,,https://covid.postera.ai/covid/submissions/6b94ceba-f352-4275-ad8d-e766e56e6fa4/2,CGZHAQKIMHZAPY-UHFFFAOYSA-N,"Ralph Robinson, Thames Pharma Partners","Follow up of beta lactam TRY-UNI-2eddb1ff-7: beta-lactam replacements, generally retaining the H-bond donor proximal to the phenyl ring. Relative synthetic ease taken into account.",,,,,False,False,False,False,,,,,357.1,2.92,92.79,6,0.18,5,2,,False,False,False,False,False,False,False,,,3-aminopyridine-like,,,,CVD-0011601,80157836.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,,FALSE
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCc2cnc[nH]2)c1,RAL-THA-6b94ceba-3,RAL-THA-6b94ceba-3,,https://covid.postera.ai/covid/submissions/6b94ceba-f352-4275-ad8d-e766e56e6fa4/3,OMVPMUJKMSXWDT-UHFFFAOYSA-N,"Ralph Robinson, Thames Pharma Partners","Follow up of beta lactam TRY-UNI-2eddb1ff-7: beta-lactam replacements, generally retaining the H-bond donor proximal to the phenyl ring. Relative synthetic ease taken into account.",,,,,False,False,False,False,,,,,356.1,3.53,79.9,6,0.17,4,2,,False,False,False,False,False,False,False,,,3-aminopyridine-like,,,,CVD-0011602,80157837.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,,FALSE
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCc2ccn[nH]2)c1,RAL-THA-6b94ceba-4,RAL-THA-6b94ceba-4,,https://covid.postera.ai/covid/submissions/6b94ceba-f352-4275-ad8d-e766e56e6fa4/4,QABDFSLPZXHOOA-UHFFFAOYSA-N,"Ralph Robinson, Thames Pharma Partners","Follow up of beta lactam TRY-UNI-2eddb1ff-7: beta-lactam replacements, generally retaining the H-bond donor proximal to the phenyl ring. Relative synthetic ease taken into account.",,,,,False,False,False,False,,,,,356.1,3.53,79.9,6,0.17,4,2,,False,False,False,False,False,False,False,,,3-aminopyridine-like,,,,CVD-0011603,80157838.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,,FALSE
CC(=O)NCc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1,RAL-THA-6b94ceba-5,RAL-THA-6b94ceba-5,,https://covid.postera.ai/covid/submissions/6b94ceba-f352-4275-ad8d-e766e56e6fa4/5,XDVRTJWPDGZLAS-UHFFFAOYSA-N,"Ralph Robinson, Thames Pharma Partners","Follow up of beta lactam TRY-UNI-2eddb1ff-7: beta-lactam replacements, generally retaining the H-bond donor proximal to the phenyl ring. Relative synthetic ease taken into account.",,,,,False,False,False,False,,,,,331.11,2.86,71.09,5,0.24,3,2,,False,False,False,False,False,False,False,,,3-aminopyridine-like,,,,CVD-0011604,80157839.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,,FALSE
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C(N)=O)c1,RAL-THA-6b94ceba-6,RAL-THA-6b94ceba-6,,https://covid.postera.ai/covid/submissions/6b94ceba-f352-4275-ad8d-e766e56e6fa4/6,QAXWUCVTFPVAHE-UHFFFAOYSA-N,"Ralph Robinson, Thames Pharma Partners","Follow up of beta lactam TRY-UNI-2eddb1ff-7: beta-lactam replacements, generally retaining the H-bond donor proximal to the phenyl ring. Relative synthetic ease taken into account.",,,,,False,False,False,False,,,,,303.08,2.32,85.08,4,0.13,3,2,,False,False,False,False,False,False,False,,,3-aminopyridine-like,,,,CVD-0011605,80157840.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,,FALSE
CNC(=O)c1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1,RAL-THA-6b94ceba-7,RAL-THA-6b94ceba-7,,https://covid.postera.ai/covid/submissions/6b94ceba-f352-4275-ad8d-e766e56e6fa4/7,FLSUUSNRZPAOBF-UHFFFAOYSA-N,"Ralph Robinson, Thames Pharma Partners","Follow up of beta lactam TRY-UNI-2eddb1ff-7: beta-lactam replacements, generally retaining the H-bond donor proximal to the phenyl ring. Relative synthetic ease taken into account.",,,,,False,False,False,False,,,,,317.09,2.58,71.09,4,0.19,3,2,,False,False,False,False,False,False,False,,,3-aminopyridine-like,,,,CVD-0011606,80157841.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,,FALSE
COC(=O)NCc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1,RAL-THA-6b94ceba-8,RAL-THA-6b94ceba-8,,https://covid.postera.ai/covid/submissions/6b94ceba-f352-4275-ad8d-e766e56e6fa4/8,KUCGXGBCDLPEAW-UHFFFAOYSA-N,"Ralph Robinson, Thames Pharma Partners","Follow up of beta lactam TRY-UNI-2eddb1ff-7: beta-lactam replacements, generally retaining the H-bond donor proximal to the phenyl ring. Relative synthetic ease taken into account.",,,,,False,False,False,False,,,,,347.1,3.08,80.32,5,0.24,4,2,,False,False,False,False,False,False,False,,,3-aminopyridine-like,,,,CVD-0011607,80157842.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,,FALSE
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2ncc[nH]2)c1,RAL-THA-6b94ceba-9,RAL-THA-6b94ceba-9,,https://covid.postera.ai/covid/submissions/6b94ceba-f352-4275-ad8d-e766e56e6fa4/9,VQUKTACGBSLSGF-UHFFFAOYSA-N,"Ralph Robinson, Thames Pharma Partners","Follow up of beta lactam TRY-UNI-2eddb1ff-7: beta-lactam replacements, generally retaining the H-bond donor proximal to the phenyl ring. Relative synthetic ease taken into account.",,,,,False,False,False,False,,,,,326.09,3.61,70.67,4,0.12,3,2,,False,False,False,False,False,False,False,,,3-aminopyridine-like,,,,CVD-0011608,80157843.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,,FALSE
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2nnc[nH]2)c1,RAL-THA-6b94ceba-10,RAL-THA-6b94ceba-10,,https://covid.postera.ai/covid/submissions/6b94ceba-f352-4275-ad8d-e766e56e6fa4/10,ICTLZPFPOQFOCC-UHFFFAOYSA-N,"Ralph Robinson, Thames Pharma Partners","Follow up of beta lactam TRY-UNI-2eddb1ff-7: beta-lactam replacements, generally retaining the H-bond donor proximal to the phenyl ring. Relative synthetic ease taken into account.",,,,,False,False,False,False,,,,,327.09,3.01,83.56,4,0.12,4,2,,False,False,False,False,False,False,False,,,3-aminopyridine-like,,,,CVD-0011609,80157844.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,,FALSE
