CatalogID,SMILES,scaffold_SMILES,product_SMILES
EN300-1910335,O=[N+]([O-])c1cccc(C(O)CBr)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCC(O)c2cccc([N+](=O)[O-])c2)c1
EN300-101257,CC(=O)CCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,CC(=O)CCCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-384511,C#CCCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,C#CCCCCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-131179,BrCC#CCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCC#CCBr)c1
EN300-1897929,O=[N+]([O-])c1ccccc1CCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCCc2ccccc2[N+](=O)[O-])c1
EN300-1915538,O=[N+]([O-])c1ccc(CCCBr)cc1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCCc2ccc([N+](=O)[O-])cc2)c1
EN300-7442892,CC(C)(CI)CI,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCC(C)(C)CI)c1
EN300-1252000,BrCc1cccs1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCc2cccs2)c1
EN300-1614745,CCC1(CC)OCC(CBr)O1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,CCC1(CC)OCC(COc2cc(Cl)cc(CC(=O)Nc3cnccc3C)c2)O1
EN300-218266,CCOC(CI)OCC,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,CCOC(COc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1)OCC
EN300-1897289,BrCc1c[nH]c2ccccc12,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCc2c[nH]c3ccccc23)c1
EN300-1915378,BrCCCc1c[nH]c2ccccc12,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCCc2c[nH]c3ccccc23)c1
EN300-1893767,BrCCCCc1c[nH]c2ccccc12,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCCCc2c[nH]c3ccccc23)c1
EN300-19508086,Clc1nc(Cl)c(CBr)c(Cl)n1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCc2c(Cl)nc(Cl)nc2Cl)c1
EN300-19476,O=C(O)CI,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCC(=O)O)c1
EN300-19979,CCCCCCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,CCCCCCCCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-19276,CCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,CCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-19277,BrCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCBr)c1
EN300-179370,ICCI,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCI)c1
EN300-18902,CCI,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,CCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-19170,O=C(O)CBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCC(=O)O)c1
EN300-19278,C=CCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,C=CCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-19803,C=CCI,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,C=CCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-19023,NCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCN)c1
EN300-19285,CCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,CCCCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-29201,NCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCCN)c1
EN300-112728,CC(C)(CBr)C(=O)O,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCC(C)(C)C(=O)O)c1
EN300-20530,Clc1cccc(Cl)c1CBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCc2c(Cl)cccc2Cl)c1
EN300-18603,COc1ccccc1C(=O)CBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,COc1ccccc1C(=O)COc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-16984,O=C1c2ccccc2C(=O)N1CCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCCCN2C(=O)c3ccccc3C2=O)c1
EN300-20766,O=C(CBr)c1ccc(-c2ccccc2)cc1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCC(=O)c2ccc(-c3ccccc3)cc2)c1
EN300-20904,O=C(CBr)c1ccc(Cl)cc1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCC(=O)c2ccc(Cl)cc2)c1
EN300-20490,O=C(O)CCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCC(=O)O)c1
EN300-20757,O=C(CBr)c1ccc2ccccc2c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCC(=O)c2ccc3ccccc3c2)c1
EN300-50346,C=C(Br)CBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,C=C(CBr)Oc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-10621,O=[N+]([O-])c1ccccc1CBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCc2ccccc2[N+](=O)[O-])c1
EN300-18404,BrCc1ccc(Br)cc1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCc2ccc(Br)cc2)c1
EN300-29640,O=[N+]([O-])c1ccc(CCBr)cc1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCc2ccc([N+](=O)[O-])cc2)c1
EN300-21406,COc1ccc(C(=O)CBr)cc1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,COc1ccc(C(=O)COc2cc(Cl)cc(CC(=O)Nc3cnccc3C)c2)cc1
EN300-20780,COc1cccc(C(=O)CBr)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,COc1cccc(C(=O)COc2cc(Cl)cc(CC(=O)Nc3cnccc3C)c2)c1
EN300-19290,CCCCCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,CCCCCOc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1
EN300-19659,CCOC(CBr)OCC,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,CCOC(COc1cc(Cl)cc(CC(=O)Nc2cnccc2C)c1)OCC
EN300-19400,CC(C)CCBr,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(O)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OCCC(C)C)c1
