SMILES,CID,CID (canonical),CID (old format),Postera Link,InChIKey,creator,rationale,Submission Notes,fragments,Structure ID,Fragalysis Link,Enamine - REAL Space,Enamine - Extended REAL Space,Enamine - SCR,Enamine - BB,Mcule,Mcule Ultimate,In Molport or Mcule,In eMolecules,MW,cLogP,TPSA,Rotatable Bonds,Fraction sp3,HBA,HBD,Covalent Fragment,covalent_warhead,Acrylamide,Acrylamide Adduct,Chloroacetamide,Chloroacetamide Adduct,Vinylsulfonamide,Vinylsulfonamide Adduct,Nitrile,Nitrile Adduct,series,Order Date,Maker,Shipment Date,CDD_name,CDD_mol_ID,r_inhibition_at_20_uM,r_inhibition_at_50_uM,r_avg_IC50,r_curve_IC50,r_max_inhibition_reading,r_min_inhibition_reading,r_hill_slope,r_R2,r_concentration_uM,r_inhibition_list,f_inhibition_at_20_uM,f_inhibition_at_50_uM,f_avg_IC50,f_avg_pIC50,f_curve_IC50,f_max_inhibition_reading,f_min_inhibition_reading,f_hill_slope,f_R2,f_concentration_uM,f_inhibition_list,relative_solubility_at_20_uM,relative_solubility_at_100_uM,trypsin_IC50,NMR_std_ratio,structure_ID,structure_LINK,ORDERED,MAKER,ORDER_DATE,MADE,SHIPMENT_DATE,ASSAYED
Cc1ccncc1N(C)C(=O)Cc1cccc(Cl)c1,EDG-MED-0da5ad92-1,JAN-GHE-83b26c96-15,,https://covid.postera.ai/covid/submissions/0da5ad92-2252-46c0-8428-da7b3552d800/1,KTTFDHLIVPVQIE-UHFFFAOYSA-N,"Ed Griffen, MedChemica","Straightforward medicinal chemistry pairs based on compound TRY-UNI-714-6 and it's crystal structure.  Selection of approaches: methyl scans, testing H-bond points , additional substituents where there looks to be space, conformational biasing with gem dimethyl and cyclopropyl as opposite biases.",,x0434,,,Z1698063916,s_11____8852370____3020516,False,False,False,False,False,False,274.09,3.25,33.2,3,0.2,2,0,False,False,False,False,False,False,False,False,,,3-aminopyridine-like,2020-05-17,enamine,2020-06-01,CVD-0004627,76346446.0,,0.0,,,,,,,,,5.9736555,15.100114999999999,,,,,,,,,,1.0,1.0,,0.0,,,TRUE,enamine,2020-05-17,TRUE,2020-06-01,TRUE
O=C(Cc1cccc(Cl)c1)Nc1cccnc1,EDG-MED-0da5ad92-2,EDG-MED-0da5ad92-2,,https://covid.postera.ai/covid/submissions/0da5ad92-2252-46c0-8428-da7b3552d800/2,JXVSAHMJMLDNGG-UHFFFAOYSA-N,"Ed Griffen, MedChemica","Straightforward medicinal chemistry pairs based on compound TRY-UNI-714-6 and it's crystal structure.  Selection of approaches: methyl scans, testing H-bond points , additional substituents where there looks to be space, conformational biasing with gem dimethyl and cyclopropyl as opposite biases.",,x0434,x10201,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro,Z1079621790,s_22____57778____3020518,False,False,MCULE-6287436710,JXVSAHMJMLDNGG-UHFFFAOYSA-N,False,False,246.06,2.92,41.99,3,0.08,2,1,False,False,False,False,False,False,False,False,,,3-aminopyridine-like,2020-05-17,enamine,2020-05-26,CVD-0004776,76369639.0,,52.368289247986176,,,,,,,,,24.074975000000002,40.890465,53.71730677823199,4.269885769656957,[53.71730677823199],[65.777815],[-1.333277225],[1.2883182327549483],[0.983838474740441],"[[99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773, 99.0, 49.5, 24.8, 12.4, 7.43, 2.48, 1.55, 0.773]]","[[63.78349, 49.72119, 29.75557, 17.74489, 5.465878, 1.983145, -0.8063953, -2.603664, 67.77214, 50.86719, 25.06813, 11.16795, 0.9601275, -1.725993, -0.8930444, -0.06289045]]",,,99.0,309.41481103157815,x10201,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro,TRUE,enamine,2020-05-17,TRUE,2020-05-26,TRUE
Cc1ccncc1NC(=O)N(C)c1cccc(Cl)c1,EDG-MED-0da5ad92-3,EDG-MED-0da5ad92-3,,https://covid.postera.ai/covid/submissions/0da5ad92-2252-46c0-8428-da7b3552d800/3,PXCFXKRZYHKUTH-UHFFFAOYSA-N,"Ed Griffen, MedChemica","Straightforward medicinal chemistry pairs based on compound TRY-UNI-714-6 and it's crystal structure.  Selection of approaches: methyl scans, testing H-bond points , additional substituents where there looks to be space, conformational biasing with gem dimethyl and cyclopropyl as opposite biases.",,x0434,,,False,False,False,False,False,False,False,False,275.08,3.71,45.23,2,0.14,2,1,False,False,False,False,False,False,False,False,,,3-aminopyridine-like,2020-05-17,enamine,,CVD-0004779,76369642.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,enamine,2020-05-17,TRUE,2020-07-29,FALSE
Cc1ccncc1NC(=O)CC1CCCCC1,EDG-MED-0da5ad92-4,ALE-HEI-f28a35b5-6,,https://covid.postera.ai/covid/submissions/0da5ad92-2252-46c0-8428-da7b3552d800/4,PPFPAWYBPNGJHZ-UHFFFAOYSA-N,"Ed Griffen, MedChemica","Straightforward medicinal chemistry pairs based on compound TRY-UNI-714-6 and it's crystal structure.  Selection of approaches: methyl scans, testing H-bond points , additional substituents where there looks to be space, conformational biasing with gem dimethyl and cyclopropyl as opposite biases.",,x0434,,,Z1129284100,s_22____3391102____59992,Z1129284100,False,False,PPFPAWYBPNGJHZ-UHFFFAOYSA-N,False,False,232.16,3.3,41.99,3,0.57,2,1,False,False,False,False,False,False,False,False,,,3-aminopyridine-like,2020-05-17,enamine,,CVD-0000081,75708223.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,enamine,2020-05-17,FALSE,,FALSE
Cc1ccncc1NC(=O)C(CO)c1cccc(Cl)c1,EDG-MED-0da5ad92-5,EDG-MED-0da5ad92-5,,https://covid.postera.ai/covid/submissions/0da5ad92-2252-46c0-8428-da7b3552d800/5,YUJIYWCEKJSKBQ-UHFFFAOYSA-N,"Ed Griffen, MedChemica","Straightforward medicinal chemistry pairs based on compound TRY-UNI-714-6 and it's crystal structure.  Selection of approaches: methyl scans, testing H-bond points , additional substituents where there looks to be space, conformational biasing with gem dimethyl and cyclopropyl as opposite biases.",,x0434,,,False,False,False,False,False,False,False,False,290.08,2.76,62.22,4,0.2,3,2,False,False,False,False,False,False,False,False,,,3-aminopyridine-like,2020-05-17,enamine,,CVD-0004780,76369643.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,enamine,2020-05-17,FALSE,,FALSE
Cc1ccncc1NC(=N)Cc1cccc(Cl)c1,EDG-MED-0da5ad92-6,EDG-MED-0da5ad92-6,,https://covid.postera.ai/covid/submissions/0da5ad92-2252-46c0-8428-da7b3552d800/6,IGFGXGNAKOKFCT-UHFFFAOYSA-N,"Ed Griffen, MedChemica","Straightforward medicinal chemistry pairs based on compound TRY-UNI-714-6 and it's crystal structure.  Selection of approaches: methyl scans, testing H-bond points , additional substituents where there looks to be space, conformational biasing with gem dimethyl and cyclopropyl as opposite biases.",,x0434,,,False,False,False,False,False,False,False,False,259.09,3.68,48.77,3,0.14,2,2,False,False,False,False,False,False,False,False,,,,2020-05-17,enamine,,CVD-0004781,76369644.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,enamine,2020-05-17,FALSE,,FALSE
CCCCOc1ccc(Cl)cc1CC(=O)Nc1cnccc1C,EDG-MED-0da5ad92-7,EDG-MED-0da5ad92-7,,https://covid.postera.ai/covid/submissions/0da5ad92-2252-46c0-8428-da7b3552d800/7,BNLQGZVZNCOJKF-UHFFFAOYSA-N,"Ed Griffen, MedChemica","Straightforward medicinal chemistry pairs based on compound TRY-UNI-714-6 and it's crystal structure.  Selection of approaches: methyl scans, testing H-bond points , additional substituents where there looks to be space, conformational biasing with gem dimethyl and cyclopropyl as opposite biases.",,x0434,,,False,False,False,False,False,False,False,False,332.13,4.4,51.22,7,0.33,3,1,False,False,False,False,False,False,False,False,,,3-aminopyridine-like,2020-05-17,enamine,,CVD-0004782,76369645.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,enamine,2020-05-17,FALSE,,FALSE
Cc1ccncc1NC(=O)Cc1cncc(Cl)c1,EDG-MED-0da5ad92-8,TRY-UNI-2eddb1ff-2,,https://covid.postera.ai/covid/submissions/0da5ad92-2252-46c0-8428-da7b3552d800/8,OCRRKPZGCOGESB-UHFFFAOYSA-N,"Ed Griffen, MedChemica","Straightforward medicinal chemistry pairs based on compound TRY-UNI-714-6 and it's crystal structure.  Selection of approaches: methyl scans, testing H-bond points , additional substituents where there looks to be space, conformational biasing with gem dimethyl and cyclopropyl as opposite biases.",,x0434,,,False,False,False,False,False,False,False,False,261.07,2.62,54.88,3,0.15,3,1,False,False,False,False,False,False,False,False,,,3-aminopyridine-like,2020-05-17,enamine,2020-06-24,CVD-0004751,76346570.0,,71.44,99.0,[99],[100.0],[0.0],[1.5127515486143672],[0.49685921195518623],"[[33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509, 33.33333333, 11.11111111, 3.703703704, 1.234567901, 0.411522634, 0.137174211, 0.045724737, 0.015241579, 0.005080526, 0.001693509]]","[[42.42125866703481, 13.84156423782456, 2.7691027659314775, -1.9120673208942804, -5.60707984433256, -5.844082049604847, 13.199971593577667, 13.032943048460707, 12.72274195153732, 9.002600803833541, 42.63232463102484, 12.952552919152026, 0.755674164767868, -2.4299855223898303, -4.546089627086125, -6.664966952691306, 28.54222153690149, 14.248033741145818, 11.727294614555843, 9.600657010543665]]",28.841385000000002,46.01123,46.43604809927916,4.333144747626523,[46.436048099279155],[72.674195],[-14.93633],[1.143762436342227],[0.7725099068762877],"[[99.0, 7.43, 49.5, 2.48, 24.8, 1.55, 12.4, 0.773, 7.43, 0.396, 2.48, 0.02, 1.55, 0.099, 0.773, 0.02, 0.396, 0.02, 0.099, 0.02, 99.0, 49.5, 24.8, 12.4]]","[[74.08664, -0.08341211, 35.29445, -40.15459, 39.89879, 2.708113, 30.90141, 11.61653, 14.57488, -11.85008, 10.28193, -22.01524, 0.03892565, 6.278152, 7.379191, 3.508869, 12.76205, 6.022355, -4.19841, 1.918479, 71.26175, 48.95179, 44.08052, 16.27648]]",1.0,1.01,99.0,76.78827958,,,TRUE,enamine,2020-05-17,TRUE,2020-06-24,TRUE
Cc1ccncc1NC(=O)CC1CCCNC1,EDG-MED-0da5ad92-9,EDG-MED-0da5ad92-9,,https://covid.postera.ai/covid/submissions/0da5ad92-2252-46c0-8428-da7b3552d800/9,RMJGRRRPIDPPAR-UHFFFAOYSA-N,"Ed Griffen, MedChemica","Straightforward medicinal chemistry pairs based on compound TRY-UNI-714-6 and it's crystal structure.  Selection of approaches: methyl scans, testing H-bond points , additional substituents where there looks to be space, conformational biasing with gem dimethyl and cyclopropyl as opposite biases.",,x0434,,,Z2503845719,s_240690____7400680____11768802,False,False,False,False,False,False,233.15,1.72,54.02,3,0.54,3,2,False,False,False,False,False,False,False,False,,,3-aminopyridine-like,2020-05-17,enamine,2020-06-16,CVD-0004783,76369646.0,,0.0,,,,,,,,,-1.90836,16.688875,,,,,,,,,,1.0,1.0,,0.0,,,TRUE,enamine,2020-05-17,TRUE,2020-06-16,TRUE
Cc1ccncc1NC(=O)C(C)(C)c1cccc(Cl)c1,EDG-MED-0da5ad92-10,JAN-GHE-83b26c96-22,,https://covid.postera.ai/covid/submissions/0da5ad92-2252-46c0-8428-da7b3552d800/10,QOWQEKIGADCHLL-UHFFFAOYSA-N,"Ed Griffen, MedChemica","Straightforward medicinal chemistry pairs based on compound TRY-UNI-714-6 and it's crystal structure.  Selection of approaches: methyl scans, testing H-bond points , additional substituents where there looks to be space, conformational biasing with gem dimethyl and cyclopropyl as opposite biases.",,x0434,x10422,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro,Z1233377555,s_22____3391102____5183200,False,False,MCULE-9013689716,False,True,False,288.1,3.96,41.99,3,0.25,2,1,False,False,False,False,False,False,False,False,,,3-aminopyridine-like,2020-05-17,enamine,2020-06-10,CVD-0004634,76346453.0,,66.91403689,24.52280885811704,[24.52280885811704],[100.0],[0.0],[2.478325839501523],[0.9569970382732865],"[[100.0, 33.333, 11.111, 3.704, 1.235, 0.412, 0.137, 0.046, 0.015, 0.005, 0.002, 100.0, 33.333, 11.111, 3.704, 1.235, 0.412, 0.137, 0.046, 0.015, 0.005, 0.002]]","[[100.38715992861171, 65.35596972974044, 12.680585192210101, 2.1210610299414787, -6.317036934360757, -9.031822790262584, -6.808904775786474, -12.333013905473852, -10.0943648792314, -6.482471256209038, -3.371620616543769, 100.38715992861171, 69.15003548507225, 13.649011792808718, 2.6987928252606763, -14.397207309547873, -9.524999896686563, -14.79324159778336, -8.878757872874504, -8.21035996167574, -2.3724876291405192, 2.774748778601513]]",49.325525,67.95416,96.9383202483582,4.013504510022682,"[95.81098673002681, 98.07891822523378]","[49.11207, 52.866209999999995]","[-11.5603425, -2.9444644500000003]","[1.744850621940716, 0.5912350201708094]","[0.7324373458759215, 0.628261732269572]","[[99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4], [99.5, 7.46, 49.8, 2.49, 24.9, 1.55, 12.4, 0.776, 7.46, 0.388, 2.49, 0.194, 1.55, 0.1, 0.776, 0.05, 0.388, 0.194, 0.1, 0.05, 99.5, 49.8, 24.9, 12.4]]","[[52.90517, -1.008621, 29.62931, -16.78448, 9.646552, -19.68103, 4.474138, -12.12931, -7.189655, -19.43966, -5.267241, -8.293103, -3.439655, -6.827586, 3.75, 3.068965, 2.551724, 1.258621, -13.94828, -22.53448, 45.31897, 29.84483, 1.336207, -1.939655], [56.16703, 9.966741, 39.13469, 7.716817, 32.11381, 35.65779, 15.29948, 1.853042, 6.990134, 0.5729618, 1.159898, -2.314207, 0.5506023, -0.9167389, 1.93689, 0.1257721, -1.428212, 22.11353, -4.97219, -4.491461, 49.56539, 33.01657, 17.74225, 64.16334]]",1.0,1.0,99.0,268.0555496857791,x10422,https://fragalysis.diamond.ac.uk/viewer/react/preview/target/Mpro,TRUE,enamine,2020-05-17,TRUE,2020-06-10,TRUE
