SMILES,CID (canonical),Structure ID,CDD_name,r_inhibition_at_20_uM,r_inhibition_at_50_uM,r_avg_IC50,f_inhibition_at_20_uM,f_inhibition_at_50_uM,f_avg_IC50
CS(=O)(=O)NCCC(C(=O)Nc1cccnc1)c1ccccc1,ADA-UNI-f8e79267-2,,CVD-0000011,,-18.57249476531554,,-16.99939,-3.1753484999999992,
CNCCC(C(=O)Nc1cccnc1)c1ccccc1,ADA-UNI-f8e79267-5,x10421     ,CVD-0000014,,2.1940968935,,-5.69205,1.5463741000000002,
N#Cc1cccc(CC(=O)Nc2cccnc2)c1,ANN-UNI-26382800-5,x2600,CVD-0000139,0.0,11.54,,11.40413,24.96099,
Cc1cccc(CC(=O)Nc2cccnc2C#N)c1,AGN-NEW-c7b24fe3-3,,CVD-0000059,0.0,,,8.399017,-5.939392,
N#Cc1ncccc1NC(=O)Cc1cccc(Cl)c1,AGN-NEW-c7b24fe3-4,,CVD-0000060,0.0,0.0,,-10.232289999999999,-15.721029999999999,
C#Cc1ncccc1NC(=O)Cc1cccc(Cl)c1,AGN-NEW-c7b24fe3-5,,CVD-0000061,,,,-2.008998,3.6197355000000004,
Cc1ccncc1NC(=O)Cc1ccccc1,TRY-UNI-714a760b-5,,CVD-0003630,-0.6299999999999999,16.1,,8.187834500000001,19.47383,
Cc1ccncc1NC(=O)Cc1cccc(Cl)c1,TRY-UNI-714a760b-6,x2646,CVD-0003631,20.025239300000006,,13.895164921785092,61.634345,81.75695999999999,24.56661919544255
Cc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,TRY-UNI-714a760b-18,x2649,CVD-0003621,20.37830295,,12.967693108434078,58.02024,78.712695,26.179637691562505
Cc1ccncc1NC(=O)Cc1cccc(C#N)c1,TRY-UNI-714a760b-20,x2572,CVD-0003624,20.495,52.68000000000001,43.847050990618925,33.561645,58.318794999999994,61.330272009433386
Cc1ccncc1NC(=O)C(C)c1cccc(C#N)c1,TRY-UNI-714a760b-22,x2912,CVD-0003626,21.0225,58.415,45.3119234238456,35.40893,61.41119499999999,54.94210369958992
Cc1ccncc1NC(=O)Cc1ccc2nc[nH]c2c1,GAB-REV-70cc3ca5-18,x3366,CVD-0001223,0.0,0.0,,-2.241022,4.267136,
Cc1ccncc1NC(=O)Cc1ccc(S(N)(=O)=O)cc1,GAB-REV-70cc3ca5-20,,CVD-0001226,6.415,-0.9400000000000002,,4.7612595,10.89574,
CC(=O)Nc1ccncc1NC(=O)C(C)c1cccc(Cl)c1,JAN-GHE-83b26c96-2,,CVD-0004631,,21.545250815,,14.44519,44.615305,
CC(C(=O)Nc1cnccc1-n1cccn1)c1cccc(Cl)c1,JAN-GHE-83b26c96-3,x10377,CVD-0004638,,4.0260285285,,11.2887,38.86818,
CCCC(C(=O)Nc1cnccc1C)c1cccc(Cl)c1,JAN-GHE-83b26c96-8,x10423,CVD-0004643,,78.318200805,5.479371838136054,77.85272499999998,90.64927,17.31034561223188
Cc1ccncc1NC(=O)C(c1cccc(Cl)c1)C(C)C,JAN-GHE-83b26c96-9,x10327,CVD-0004644,,15.0033608685,,21.338915,42.4666,
Cc1ccncc1NC(=O)C(c1cccc(Cl)c1)N(C)C,JAN-GHE-83b26c96-10,x10395,CVD-0004623,,16.76067445,,16.217575,38.98899,
Cc1ccc(CC(=O)Nc2cnccc2C)cc1,JAN-GHE-83b26c96-11,x10248     ,CVD-0004624,,5.560691032949529,,6.319883,3.2672500500000003,
Cc1ccncc1NC(=O)Cc1cccc(Br)c1,JAN-GHE-83b26c96-12,,CVD-0004625,,98.33861977942725,15.942976151608336,56.18509,77.679955,20.59394407248417
Cc1ccncc1NC(=O)Cc1cccc(I)c1,JAN-GHE-83b26c96-13,,CVD-0004626,,64.32450713350744,69.09189422180799,17.41274,39.673875,
Cc1ccncc1NC(=O)Cc1cccc(C(F)(F)F)c1,JAN-GHE-83b26c96-14,x10247,CVD-0004565,,49.31505745158303,,23.988545,49.125045,
Cc1ccncc1N(C)C(=O)Cc1cccc(Cl)c1,JAN-GHE-83b26c96-15,,CVD-0004627,,0.0,,5.9736555000000005,15.100115,
CCCN(C(=O)Cc1cccc(Cl)c1)c1cccnc1,JAN-GHE-83b26c96-16,,CVD-0004628,,36.23194291696747,,2.279198,3.24693005,
Cc1ccncc1NC(=O)C1(c2cccc(Cl)c2)CC1,JAN-GHE-83b26c96-20,x10392,CVD-0004632,,43.30332433,,38.411715,61.618515,99.49999999999996
Cc1ccncc1NC(=O)C(C)(C)c1cccc(Cl)c1,JAN-GHE-83b26c96-22,x10422,CVD-0004634,,66.91403689,24.52280885811704,49.325525,67.95416,96.93832024835821
Cc1ccncc1NC(=O)C(F)(F)c1cccc(Cl)c1,JAN-GHE-83b26c96-23,,CVD-0004635,,15.502346914,,17.549795,35.264575,
Cc1ccncc1NC(=O)Cc1cccc(F)c1,ALP-POS-95b75b4d-1,x10417     ,CVD-0004557,,40.854543705,,39.63515,65.25146,95.8330784284157
Cc1ccncc1NC(=O)Cc1cccc(O)c1,ALP-POS-95b75b4d-2,x10359     ,CVD-0004564,,1.0435961075,,-7.019247,6.459908,
Cc1ccncc1NC(=O)Cc1cccc(C(F)(F)F)c1,JAN-GHE-83b26c96-14,x10247,CVD-0004565,,49.31505745158303,,23.988545,49.125045,
Cc1ccncc1NC(=O)Cc1cccc(C2CC2)c1,ALP-POS-95b75b4d-4,,CVD-0004566,,23.365588100624127,,7.407047500000001,19.832635,
O=C(Cc1cccc(Cl)c1)Nc1cnccc1O,ALP-POS-95b75b4d-6,,CVD-0004568,,0.0,,0.013454999999999995,-2.059689,
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(OC2CC(=O)N2)c1,TRY-UNI-2eddb1ff-7,,CVD-0004754,,87.191315835,0.9407487777541652,94.4703,97.00562,3.609856311923299
Cc1ccncc1N(C)C(=O)Cc1cccc(Cl)c1,JAN-GHE-83b26c96-15,,CVD-0004627,,0.0,,5.9736555000000005,15.100115,
O=C(Cc1cccc(Cl)c1)Nc1cccnc1,EDG-MED-0da5ad92-2,x10201,CVD-0004776,,52.36828924798618,,24.074975,40.890465,53.71730677823199
Cc1ccncc1NC(=O)C(C)(C)c1cccc(Cl)c1,JAN-GHE-83b26c96-22,x10422,CVD-0004634,,66.91403689,24.52280885811704,49.325525,67.95416,96.93832024835821
Cc1ccncc1NC(=O)C1(c2cccc(Cl)c2)CC1,JAN-GHE-83b26c96-20,x10392,CVD-0004632,,43.30332433,,38.411715,61.618515,99.49999999999996
Cc1cncc(NC(=O)Cc2cccc(Cl)c2)c1,EDG-MED-0da5ad92-12,,CVD-0004768,,38.63234517589564,,19.840895,42.669205,
Cc1ccc(NC(=O)Cc2cccc(Cl)c2)cn1,EDG-MED-0da5ad92-13,,CVD-0004769,,0.0,,0.35968310000000003,3.352639,
Cc1ncccc1NC(=O)Cc1cccc(Cl)c1,EDG-MED-0da5ad92-14,,CVD-0004770,,0.0,,-4.5913685,-3.8985492999999996,
Cc1ccnc(N)c1NC(=O)Cc1cccc(Cl)c1,EDG-MED-0da5ad92-18,,CVD-0004774,,0.0,,6.437589,20.0662,
Cc1ccncc1NC(=O)Cc1cccc(OC2CC(=O)N2)c1,BRU-LEF-c49414a7-1,,CVD-0005077,,0.0,,5.501569999999999,16.656155,
Cc1ccncc1NC(=O)Cc1cccc(CO)c1,EDJ-MED-e58735b6-2,,CVD-0005153,,1.13630184,,2.86527195,6.0491525,
Cc1ccncc1NC(=O)Cc1cccc(S(N)(=O)=O)c1,EDJ-MED-e58735b6-3,,CVD-0005154,,11.54,,11.1451625,6.2286075,
CC(C(=O)Nc1cnccc1O)c1ccccc1,BEN-DND-93268d01-15,,CVD-0005067,,,,0.187329425,0.7404675000000001,
Cc1ccnc(C)c1NC(=O)Cc1cccc(Cl)c1,EDJ-MED-49816e9b-2,x10334,CVD-0005146,,8.4970087445,,-1.5983266,13.252904999999998,
O=C(Nc1cnccc1CO)[C@@H]1COc2ccc(Cl)cc21,JAG-UCB-a3ef7265-3,,CVD-0005334,,58.622264305,18.387963478411024,46.10042,73.050635,42.35758810654831
COc1ccncc1NC(=O)C(O)c1cccc(Br)c1,BAR-COM-0f94fc3d-23,,CVD-0005501,,12.120286284919588,,-3.6262855000000003,-3.6967449999999995,
Cc1ccncc1NC(=O)C1(c2cccc(Cl)c2)CC(=O)C1,BAR-COM-0f94fc3d-25,,CVD-0005503,,27.025,,9.683061,22.602535,
Cc1ccncc1NC(=O)Cc1cc(Cl)c2c(c1)OCCO2,BAR-COM-0f94fc3d-28,,CVD-0005506,,10.935,,9.8295725,22.162670000000002,
