product_SMILES,CatalogID,BB_SMILES,scaffold_SMILES
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2cncc(F)c2)c1,EN300-80322,OB(O)c1cncc(F)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
CCOC(=O)c1cncc(-c2cc(Cl)cc(CC(=O)Nc3cnccc3C)c2)c1,EN300-129678,CCOC(=O)c1cncc(B2OC(C)(C)C(C)(C)O2)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ncc(-c2cc(Cl)cc(CC(=O)Nc3cnccc3C)c2)s1,EN300-125762,Cc1ncc(B2OC(C)(C)C(C)(C)O2)s1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2cncnc2)c1,EN300-152345,OB(O)c1cncnc1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2ccnn2C)c1,EN300-152536,Cn1nccc1B1OC(C)(C)C(C)(C)O1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2ccncc2C)c1,EN300-135148,Cc1cnccc1B1OC(C)(C)C(C)(C)O1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(O)cc(Cl)c1,EN300-157477,O[B-](O)(O)c1cnccn1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2c(Cl)cnn2C)c1,EN300-172191,Cn1ncc(Cl)c1B1OC(C)(C)C(C)(C)O1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2ccc(C(F)(F)F)s2)c1,EN300-148395,OB(O)c1ccc(C(F)(F)F)s1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(C2CCNC2)c1,EN300-183836,CC1(C)OB(C2CCNC2)OC1(C)C,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
Cc1ccncc1NC(=O)Cc1cc(Cl)cc(-c2cnoc2C)c1,EN300-190794,Cc1oncc1B1OC(C)(C)C(C)(C)O1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1
