CatalogID,BB_SMILES,scaffold_SMILES,product_SMILES
EN300-41781,NCCC(F)(F)F,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NCCC(F)(F)F)c1
EN300-52478,CC(C)(C)CN,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NCC(C)(C)C)c1
EN300-29978,NCC(O)C(F)(F)F,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NCC(O)C(F)(F)F)c1
EN300-83162,CC(C)(N)C1CC1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NC(C)(C)C2CC2)c1
EN300-60314,N[C@@H]1CCC[C@H]1O,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(N[C@@H]2CCC[C@H]2O)c1
EN300-31754,NCC1CCOC1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NCC2CCOC2)c1
EN300-35603,NCC1CCCC1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NCC2CCCC2)c1
EN300-49064,NC1COC1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NC2COC2)c1
EN300-39952,CC1CC1CN,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NCC2CC2C)c1
EN300-41780,NCCC(F)(F)F,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NCCC(F)(F)F)c1
EN300-36989,NCC1CCC1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NCC2CCC2)c1
EN300-37531,NCC1CCOC1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NCC2CCOC2)c1
EN300-50654,CS(=O)(=O)CCN,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NCCS(C)(=O)=O)c1
EN300-43281,CC1(N)CCCC1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NC2(C)CCCC2)c1
EN300-41294,NC1COC1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NC2COC2)c1
EN300-42611,CC1(N)CCCC1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NC2(C)CCCC2)c1
EN300-24494,NCc1nccn1C(F)F,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NCc2nccn2C(F)F)c1
EN300-52243,CC1(C)CC1N,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NC2CC2(C)C)c1
EN300-53463,NC1CC(F)(F)C1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NC2CC(F)(F)C2)c1
EN300-52283,CC1(C)CC1N,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NC2CC2(C)C)c1
EN300-70656,NCC1(O)CCC1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NCC2(O)CCC2)c1
EN300-59896,CC(N)CC#N,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NC(C)CC#N)c1
EN300-62718,NCCC(F)F,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NCCC(F)F)c1
EN300-64576,C[C@@H]1C[C@H]1N,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(N[C@@H]2C[C@H]2C)c1
EN300-60515,NCC1CCCC1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(Br)c1,Cc1ccncc1NC(=O)Cc1cc(Cl)cc(NCC2CCCC2)c1
