Molecule Name,SMILES,Batch Name,Canonical PostEra ID,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Lower) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Upper) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Hill slope,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Curve class
CVD-0019985,CCn1nccc1C(=O)N1Cc2ccc(Cl)cc2C2(CCN(C2=O)c2cncc3ccccc23)C1,001,MAT-POS-be048f2c-5,0.297,0.278,0.318,1.17,1.1
CVD-0019953,Cc1cc(C(=O)N2Cc3ccc(Cl)cc3C3(CCN(C3=O)c3cncc4ccccc34)C2)n(C)n1,001,EDJ-MED-cc48ee33-5,0.464,0.433,0.497,1.09,1.1
CVD-0019952,Cc1cnn(C)c1C(=O)N1Cc2ccc(Cl)cc2C2(CCN(C2=O)c2cncc3ccccc23)C1,001,EDJ-MED-cc48ee33-4,0.683,0.624,0.748,1.17,1.1
CVD-0019932,Clc1ccc2c(c1)[C@H](CNS2(=O)=O)C(=O)Nc1cncc2CCCCc12,001,MIK-UNK-58cd43d0-1,0.723,0.690,0.758,1.04,1.1
CVD-0019929,Clc1ccc2c(c1)[C@@H](CNS2(=O)=O)C(=O)Nc1cncc2CCCCc12,001,MIK-UNK-78dbf1b8-1,0.205,0.199,0.211,0.993,2.1
CVD-0019890,Clc1ccc2OCC[C@@]3(CCCN(C3=O)c3cncc4ccccc34)c2c1,001,MAT-POS-e20a5dfb-2,0.365,0.329,0.404,1.07,1.1
CVD-0019849,CNC(=O)C1(CC1)N1CC2(CCN(C2=O)c2cncc3cc(ccc23)S(C)(=O)=O)c2cc(Cl)ccc2C1=O,001,EDJ-MED-976a33d5-2,0.265,0.236,0.297,0.911,2.1
CVD-0019848,CNC(=O)C1(CC1)N1CC2(CCN(C2=O)c2cncc3ccccc23)c2cc(Cl)ccc2C1=O,002,EDJ-MED-976a33d5-1,0.0904,0.0862,0.0947,1.11,2.1
CVD-0019844,CC1(CC1)NC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(C2=O)c2cncc3ccccc23)C1,001,MAT-POS-69786b79-3,0.271,0.256,0.286,1.03,1.1
CVD-0019842,COCOc1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,001,ALP-UNI-fe744232-30,13.2,11.6,15.1,1.11,1.1
CVD-0019830,CC(C)(O)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,001,ALP-UNI-fe744232-18,26.5,24.1,29.2,0.924,2.1
CVD-0019823,CC1(OCCO1)c1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,001,ALP-UNI-fe744232-11,83.1,73.6,93.8,1.05,2.1
CVD-0019755,C[C@]1(CNS(=O)(=O)c2ccc(Cl)cc12)C(=O)Nc1cncc2CCCCc12,001,MIK-ENA-5d9157e9-6,3.72,3.60,3.85,1.03,1.1
CVD-0019754,C[C@@]1(CNS(=O)(=O)c2ccc(Cl)cc12)C(=O)Nc1cncc2CCCCc12,001,MIK-ENA-5d9157e9-5,0.214,0.206,0.222,1.08,2.1
