Molecule Name,CDD Number,SMILES,Canonical PostEra ID,stereochem comments,Covalent Warhead,shipment_SMILES,suspected_SMILES,why_suspected_SMILES,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Run Date,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Lower) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: IC50 CI (Upper) (µM),ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Hill slope,ProteaseAssay_Fluorescence_Dose-Response_Weizmann: Curve class
CVD-0019985,"",CCn1nccc1C(=O)N1Cc2ccc(Cl)cc2C2(CCN(C2=O)c2cncc3ccccc23)C1,MAT-POS-be048f2c-5,Racemic or presumed racemic or meso,False,CCN1N=CC=C1C(=O)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=CC=CC56)C2,CCn1nccc1C(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,shipment_SMILES,2021-12-28,0.297,0.278,0.318,1.17,1.1
CVD-0019953,"",Cc1cc(C(=O)N2Cc3ccc(Cl)cc3C3(CCN(C3=O)c3cncc4ccccc34)C2)n(C)n1,EDJ-MED-cc48ee33-5,Racemic or presumed racemic or meso,False,CC=1C=C(C(=O)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=CC=CC56)C2)N(C)N1,Cc1cc(C(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)n(C)n1,shipment_SMILES,2021-12-28,0.464,0.433,0.497,1.09,1.1
CVD-0019952,"",Cc1cnn(C)c1C(=O)N1Cc2ccc(Cl)cc2C2(CCN(C2=O)c2cncc3ccccc23)C1,EDJ-MED-cc48ee33-4,Racemic or presumed racemic or meso,False,CC=1C=NN(C)C1C(=O)N2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=CC=CC56)C2,Cc1cnn(C)c1C(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,shipment_SMILES,2021-12-28,0.683,0.624,0.748,1.17,1.1
CVD-0019932,"",Clc1ccc2c(c1)[C@H](CNS2(=O)=O)C(=O)Nc1cncc2CCCCc12,MIK-UNK-58cd43d0-1,Single unknown enantiomer,False,"ClC=1C=CC2=C(C1)[C@H](CNS2(=O)=O)C(=O)NC=3C=NC=C4CCCCC34 |o1:7,r|",O=C(Nc1cncc2c1CCCC2)[C@H]1CNS(=O)(=O)c2ccc(Cl)cc21 |o1:13|,shipment_SMILES,2021-12-15,0.723,0.690,0.758,1.04,1.1
CVD-0019929,"",Clc1ccc2c(c1)[C@@H](CNS2(=O)=O)C(=O)Nc1cncc2CCCCc12,MIK-UNK-78dbf1b8-1,Single unknown enantiomer,False,"ClC=1C=CC2=C(C1)[C@@H](CNS2(=O)=O)C(=O)NC=3C=NC=C4CCCCC34 |o1:7,r|",O=C(Nc1cncc2c1CCCC2)[C@@H]1CNS(=O)(=O)c2ccc(Cl)cc21 |o1:13|,shipment_SMILES,2021-12-15,0.205,0.199,0.211,0.993,2.1
CVD-0019890,"",Clc1ccc2OCC[C@@]3(CCCN(C3=O)c3cncc4ccccc34)c2c1,MAT-POS-e20a5dfb-2,Single unknown enantiomer,FALSE,"ClC=1C=CC=2OCC[C@@]3(CCCN(C3=O)C=4C=NC=C5C=CC=CC45)C2C1 |o1:8,r|",O=C1N(c2cncc3ccccc23)CCC[C@@]12CCOc1ccc(Cl)cc12 |o1:16|,shipment_SMILES,2021-11-24,0.365,0.329,0.404,1.07,1.1
CVD-0019849,"",CNC(=O)C1(CC1)N1CC2(CCN(C2=O)c2cncc3cc(ccc23)S(C)(=O)=O)c2cc(Cl)ccc2C1=O,EDJ-MED-976a33d5-2,Racemic or presumed racemic or meso,False,CNC(=O)C1(CC1)N2CC3(CCN(C3=O)C=4C=NC=C5C=C(C=CC45)S(=O)(=O)C)C=6C=C(Cl)C=CC6C2=O,CNC(=O)C1(N2CC3(CCN(c4cncc5cc(S(C)(=O)=O)ccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,shipment_SMILES,2021-12-16,0.265,0.236,0.297,0.911,2.1
CVD-0019848,"",CNC(=O)C1(CC1)N1CC2(CCN(C2=O)c2cncc3ccccc23)c2cc(Cl)ccc2C1=O,EDJ-MED-976a33d5-1,"",False,"","","",2021-12-28,0.0904,0.0862,0.0947,1.11,2.1
CVD-0019844,"",CC1(CC1)NC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(C2=O)c2cncc3ccccc23)C1,MAT-POS-69786b79-3,Racemic or presumed racemic or meso,False,CC1(CC1)NC(=O)CN2CC=3C=CC(Cl)=CC3C4(CCN(C4=O)C=5C=NC=C6C=CC=CC56)C2,CC1(NC(=O)CN2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,shipment_SMILES,2021-12-28,0.271,0.256,0.286,1.03,1.1
CVD-0019842,"",COCOc1ccc(cc1)N(C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C(=O)c1cocn1,ALP-UNI-fe744232-30,"",False,"","","",2021-12-09,13.2,11.6,15.1,1.11,1.1
