SMILES,TITLE,scaffold
c1ccc2c(c1)cncc2N3CC[C@@]4(C3)CCOc5c4cc(cc5)Cl,EDJ-MED-159244ea-2,chromane-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3CCC4(C3)CCOc5c4cc(cc5)Cl,MAT-POS-983b399a-2,chromane-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3CCC4(C3=O)CCOc5c4cc(cc5)Cl,ALP-POS-477dc5b7-4,chromane-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3C(=O)C4(CCOc5c4cc(cc5)Cl)CN3,BEN-BAS-c2bc0d80-3,chromane-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3CCC4(C3=O)CCNc5c4cc(cc5)Cl,DAR-DIA-6be260fc-5,tetralinlike-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3C(=O)C4(CCOc5c4cc(cc5)Cl)C=N3,BRU-THA-73c97d88-1,chromane-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3C(=O)C4(CCNc5c4cc(cc5)Cl)C=N3,BRU-THA-55eab31a-1,tetralinlike-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3CC[C@]4(C3=O)CCOc5c4cc(cc5)Cl,EDJ-MED-159244ea-1,chromane-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3C[C@@]4(CCOc5c4cc(cc5)Cl)CC3=O,EDJ-MED-159244ea-3,chromane-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3CCC4(C3=O)CCOc5c4cc(cc5)Cl,MAT-POS-983b399a-1,chromane-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3CC4(CCOc5c4cc(cc5)Cl)CC3=O,MAT-POS-983b399a-3,chromane-5spiro-isoquinoline
Cc1cccc2c1c(cnc2)N3CCC4(C3)COCc5c4cc(cc5)Cl,EDJ-MED-f3cfbbb5-1,tetralinlike-5spiro-isoquinoline
Cc1cccc2c1c(cnc2)N3CCC4(C3)CCOc5c4cc(cc5)Cl,EDJ-MED-a6bab6fb-1,chromane-5spiro-isoquinoline
c1cc2cncc(c2c(c1)Cl)N3CCC4(C3)CCOc5c4cc(cc5)Cl,EDJ-MED-e78d5f1a-1,chromane-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3C(=O)C[C@]4(C3=O)CCOc5c4cc(cc5)Cl,VLA-UCB-05e51b3f-5,chromane-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3C(=O)C[C@@]4(C3=O)CCOc5c4cc(cc5)Cl,VLA-UCB-50c39ae8-2,chromane-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3C(=O)[C@@]4(CCOc5c4cc(cc5)Cl)NC3=O,VLA-UCB-34f3ed0c-11,chromane-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3C(=O)CC4(C3=O)CCOc5c4cc(cc5)Cl,BEN-BAS-c2bc0d80-6,chromane-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3C(=O)C4(CCOc5c4cc(cc5)Cl)NC3=O,VLA-UCB-29506327-1,chromane-5spiro-isoquinoline
