compound_name,compound_structure,measurement,qualifier,reassigned_structure
MAT-POS-be048f2c-7,c1ccc2c(c1)cncc2N3CCC4(C3=O)CN(Cc5c4cc(cc5)Cl)C(=O)c6ccnn6C7CC7,6.8,=,
MAT-POS-be048f2c-6,CC(C)n1c(ccn1)C(=O)N2Cc3ccc(cc3C4(C2)CCN(C4=O)c5cncc6c5cccc6)Cl,6.6,=,
MAT-POS-be048f2c-5,CCn1c(ccn1)C(=O)N2Cc3ccc(cc3C4(C2)CCN(C4=O)c5cncc6c5cccc6)Cl,6.5,=,
EDJ-MED-cc48ee33-5,Cc1cc(n(n1)C)C(=O)N2Cc3ccc(cc3C4(C2)CCN(C4=O)c5cncc6c5cccc6)Cl,6.3,=,
EDJ-MED-cc48ee33-4,Cc1cnn(c1C(=O)N2Cc3ccc(cc3C4(C2)CCN(C4=O)c5cncc6c5cccc6)Cl)C,6.2,=,
EDJ-MED-fb79a796-3,c1cc2c(cc1Cl)C(CN(C2)S(=O)(=O)CC3(CC3)C#N)C(=O)Nc4nncn4C5CC5,4.3,=,
MIK-UNK-58cd43d0-1,c1cc2c(cc1Cl)[C@H](CNS2(=O)=O)C(=O)Nc3cncc4c3CCCC4,6.1,=,
MIK-UNK-122557fa-1,CNC(=O)CN1Cc2ccc(cc2[C@@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,4,<,
MIK-UNK-1619f2e2-1,CNC(=O)CN1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4CCCC5)Cl,6.6,=,
MIK-UNK-78dbf1b8-1,c1cc2c(cc1Cl)[C@@H](CNS2(=O)=O)C(=O)Nc3cncc4c3CCCC4,6.7,=,
SAL-UNI-60119594-10,CC(=CCc1c(cc(c(c1O)C(=O)/C=C/c2ccc(cc2)O)OC)O)C,4,<,
SAL-UNI-60119594-9,c1cc(c(cc1c2c(c(=O)c3c(cc(cc3o2)O)O)O[C@H]4[C@@H]([C@H]([C@H]([C@H](O4)CO)O)O)O)O)O,4,<,
SAL-UNI-60119594-8,COc1c(cc2c(c1O)c(=O)cc(o2)c3ccc(cc3)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O)O,4,<,
SAL-UNI-60119594-7,C[C@H](C/C=C/C(C)(C)O)[C@H]1CC[C@@]2([C@@]1(CC[C@]34[C@H]2C=C[C@]5([C@H]3CC[C@@H](C5(C)C)O)OC4)C)C,4,<,
SAL-UNI-60119594-6,CC(=CCC/C(=C/CC/C(=C/CC/C(=C/Cc1cc(cc2c1OC(=O)C2=C(C)C)O)/C)/C)/C)C,4,<,
SAL-UNI-60119594-5,CC1=C[C@H]([C@H]([C@@H](C1)c2ccc(cc2O)O)C(=O)c3ccc(cc3O)O)c4c(cc(cc4O)c5cc6ccc(cc6o5)O)O,4,<,
SAL-UNI-60119594-4,CC(=CCC[C@](C)([C@H]1CC[C@@]2([C@@H]1[C@@H](C[C@H]3[C@]2(CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C)C)O)C)O)C,4,<,
SAL-UNI-60119594-3,C[C@H](C/C=C/C(C)(C)O)[C@H]1CC[C@@]2([C@@]1(CC[C@@]34[C@H]2C=C[C@@]5([C@H]3CC[C@@H](C5(C)C)O[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)OC4O)C)C,4,<,
SAL-UNI-60119594-2,C[C@H](C/C=C/C(C)(C)OC)[C@H]1CC[C@@]2([C@@]1(CC[C@@]3([C@H]2[C@H](C=C4[C@H]3CC[C@@H](C4(C)C)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C=O)C)C,4,<,
SAL-UNI-60119594-1,CC(CCC(C(C)(C)O)OC1C(C(C(C(O1)COC2C(C(C(C(O2)CO)O)O)O)O)O)O)C3CCC4(C3(CC(C5(C4CC=C6C5CCC(C6(C)C)O)C)O)C)C,4,<,
ASA-WEI-839d033f-1,C[C@@H]1CC[C@@]2([C@H]([C@@]3([C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC=C6[C@@]5(CC[C@@H](C6)O)C)C)O)C)OC1,4,<,
MAT-POS-e20a5dfb-2,c1ccc2c(c1)cncc2N3CCC[C@@]4(C3=O)CCOc5c4cc(cc5)Cl,6.4,=,YES
MAT-POS-e20a5dfb-1,c1ccc2c(c1)cncc2N3CCC[C@]4(C3=O)CCOc5c4cc(cc5)Cl,4,<,YES
EDJ-MED-976a33d5-2,CNC(=O)C1(CC1)N2CC3(CCN(C3=O)c4cncc5c4ccc(c5)S(=O)(=O)C)c6cc(ccc6C2=O)Cl,6.6,=,
MAT-POS-576f7758-2,CNC(=O)C1(CC1)N2CC3(CCN(C3=O)c4cncc5c4cccc5)c6cc(ccc6C2=O)Cl,7,=,
MAT-POS-69786b79-3,CC1(CC1)NC(=O)CN2Cc3ccc(cc3C4(C2)CCN(C4=O)c5cncc6c5cccc6)Cl,6.6,=,
ALP-UNI-fe744232-30,COCOc1ccc(cc1)N(C(c2cccnc2)C(=O)NCCc3cccc(c3)F)C(=O)c4cocn4,4.9,=,
ALP-UNI-fe744232-22,c1cc(cc(c1)F)CCNC(=O)C(c2cccnc2)N(c3ccc(cc3)C4(COC4)O)C(=O)c5cocn5,4,<,
ALP-UNI-fe744232-19,c1cc(cc(c1)F)CCNC(=O)C(c2cccnc2)N(c3ccc(cc3)C(=O)NCCCO)C(=O)c4cocn4,4,<,
ALP-UNI-fe744232-18,CC(C)(c1ccc(cc1)N(C(c2cccnc2)C(=O)NCCc3cccc(c3)F)C(=O)c4cocn4)O,4.6,=,
ALP-UNI-fe744232-17,c1cc(cc(c1)F)CCNC(=O)C(c2cccnc2)N(c3ccc(cc3)C(=O)NCCO)C(=O)c4cocn4,4,<,
ALP-UNI-fe744232-13,c1cc(cc(c1)F)CCNC(=O)C(c2cccnc2)N(c3ccc(cc3)NC(=O)NC4CC4)C(=O)c5cocn5,4,<,
ALP-UNI-fe744232-12,CNC(=O)Nc1ccc(cc1)N(C(c2cccnc2)C(=O)NCCc3cccc(c3)F)C(=O)c4cocn4,4,<,
ALP-UNI-fe744232-11,CC1(OCCO1)c2ccc(cc2)N(C(c3cccnc3)C(=O)NCCc4cccc(c4)F)C(=O)c5cocn5,4.1,=,
ALP-UNI-fe744232-9,CCNC(=O)c1ccc(cc1)N(C(c2cccnc2)C(=O)NCCc3cccc(c3)F)C(=O)c4cocn4,4,<,
ALP-UNI-fe744232-3,c1cc(cc(c1)F)CCNC(=O)C(c2cccnc2)N(c3ccc(cc3)C#N)C(=O)c4cocn4,4,<,
ALP-UNI-fe744232-1,c1cc(cc(c1)F)CCNC(=O)C(c2cccnc2)N(c3ccc(cc3)n4ccnc4)C(=O)c5cocn5,4,<,
MIK-ENA-5d9157e9-6,C[C@@]1(CNS(=O)(=O)c2c1cc(cc2)Cl)C(=O)Nc3cncc4c3CCCC4,5.4,=,YES
MIK-ENA-5d9157e9-5,C[C@]1(CNS(=O)(=O)c2c1cc(cc2)Cl)C(=O)Nc3cncc4c3CCCC4,6.7,=,YES
MIK-ENA-5d9157e9-4,CNC(=O)CN1C[C@H](c2cc(ccc2C1=O)Cl)C(=O)Nc3cncc4c3c(ccc4)Cl,7,=,YES
MIK-ENA-5d9157e9-3,CNC(=O)CN1C[C@@H](c2cc(ccc2C1=O)Cl)C(=O)Nc3cncc4c3c(ccc4)Cl,4.8,=,YES
MIK-ENA-5d9157e9-2,c1ccc2c(c1)cncc2N3CC[C@]4(C3=O)CN(Cc5c4cc(cc5)Cl)S(=O)(=O)CC6(CC6)C#N,4.9,=,
MIK-ENA-5d9157e9-1,c1ccc2c(c1)cncc2N3CC[C@@]4(C3=O)CN(Cc5c4cc(cc5)Cl)S(=O)(=O)CC6(CC6)C#N,7.3,>,
EDJ-MED-705e09b8-2,c1cc2c(cc1Cl)C3(CCN(C3=O)c4cncc5c4CCCC5)CN(C2)S(=O)(=O)CC6(CC6)C#N,6.3,=,
