SMILES,TITLE,scaffold
c1ccc2c(c1)cncc2N3CCC4(C3=O)CCOc5c4cc(cc5)Cl,ALP-POS-477dc5b7-4,tetralinlike-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3CCC4(C3=O)CCNc5c4cc(cc5)Cl,DAR-DIA-6be260fc-5,tetralinlike-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3CC[C@]4(C3=O)CCOc5c4cc(cc5)Cl,EDJ-MED-159244ea-1,tetralinlike-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3CCC4(C3=O)CCOc5c4cc(cc5)Cl,MAT-POS-983b399a-1,tetralinlike-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3C(=O)C[C@]4(C3=O)CCOc5c4cc(cc5)Cl,VLA-UCB-05e51b3f-5,tetralinlike-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3C(=O)C[C@@]4(C3=O)CCOc5c4cc(cc5)Cl,VLA-UCB-50c39ae8-2,tetralinlike-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3C(=O)CC4(C3=O)CCOc5c4cc(cc5)Cl,BEN-BAS-c2bc0d80-6,tetralinlike-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3CC(=O)C4(C3=O)CCOc5c4cc(cc5)Cl,DAR-DIA-0f7b7cd9-9,tetralinlike-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3C(=O)CC4(C3=O)CCOc5c4cc(cc5)Cl,MAT-POS-94643566-1,tetralinlike-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3C(=O)C[C@]4(C3=O)CNCc5c4cc(cc5)Cl,JOH-MSK-1f2dff76-3,tetralinlike-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3C(=O)C[C@@]4(C3=O)CNCc5c4cc(cc5)Cl,JOH-MSK-1f2dff76-4,tetralinlike-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3C(=O)C[C@@]4(C3=O)CCOc5c4cc(c(c5)F)Cl,VLA-UNK-3a43cd95-3,tetralinlike-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3CCC4(C3=O)CNS(=O)(=O)c5c4cc(cc5)Cl,ALP-POS-4483ae88-1,tetralinlike-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3CCC4(C3=O)CCS(=O)(=O)c5c4cc(cc5)Cl,ALP-POS-41e2080f-1,tetralinlike-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3CCC4(C3=O)CNS(=O)(=O)c5c4cc(cc5)Cl,EDJ-MED-f9b78f78-4,tetralinlike-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3CCC4(C3=O)CCS(=O)(=O)c5c4cc(cc5)Cl,EDJ-MED-94fddcec-4,tetralinlike-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3CCC4(C3=O)CCS(=O)(=O)c5c4cc(cc5)Cl,EDJ-MED-d4864bdc-3,tetralinlike-5spiro-isoquinoline
CN1Cc2ccc(cc2[C@@]3(C1)CC(=O)N(C3=O)c4cncc5c4cccc5)Cl,JOH-MSK-51c67e7d-1,tetralinlike-5spiro-isoquinoline
CN1Cc2ccc(cc2[C@]3(C1)CC(=O)N(C3=O)c4cncc5c4cccc5)Cl,JOH-MSK-51c67e7d-2,tetralinlike-5spiro-isoquinoline
CS(=O)(=O)N1Cc2ccc(cc2C3(C1)CCN(C3=O)c4cncc5c4cccc5)Cl,EDJ-MED-7587a9ee-3,tetralinlike-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3CC[C@@]4(C3=O)CN(C(=O)c5c4cc(cc5)Cl)CC#N,PET-UNK-aa57768f-2,tetralinlike-5spiro-isoquinoline
C#CCN1C[C@]2(CCN(C2=O)c3cncc4c3cccc4)c5cc(ccc5C1=O)Cl,PET-UNK-aa57768f-3,tetralinlike-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3CCC4(C3=O)CN(C(=O)c5c4cc(cc5)Cl)CC#N,PET-UNK-aa57768f-8,tetralinlike-5spiro-isoquinoline
C#CCN1CC2(CCN(C2=O)c3cncc4c3cccc4)c5cc(ccc5C1=O)Cl,PET-UNK-aa57768f-9,tetralinlike-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3CCC4(C3=O)CN(Cc5c4cc(cc5)Cl)CC(=O)O,LUO-POS-e1dab717-19,tetralinlike-5spiro-isoquinoline
CNC(=O)CN1Cc2ccc(cc2C3(C1)CCN(C3=O)c4cncc5c4cccc5)Cl,EDJ-MED-8bb691af-4,tetralinlike-5spiro-isoquinoline
CNC(=O)CN1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4cccc5)Cl,MAT-POS-c7726e07-5,tetralinlike-5spiro-isoquinoline
CNC(=O)CN1Cc2ccc(cc2[C@@]3(C1)CCN(C3=O)c4cncc5c4cccc5)Cl,MAT-POS-c7726e07-6,tetralinlike-5spiro-isoquinoline
CNC(=O)CN1Cc2ccc(cc2[C@]3(C1)CCN(C3=O)c4cncc5c4cccc5)Cl,LUO-POS-868e8996-11,tetralinlike-5spiro-isoquinoline
CNC(=O)CN1Cc2ccc(cc2[C@@]3(C1)CCN(C3=O)c4cncc5c4cccc5)Cl,LUO-POS-868e8996-12,tetralinlike-5spiro-isoquinoline
CNS(=O)(=O)N1Cc2ccc(cc2C3(C1)CCN(C3=O)c4cncc5c4cccc5)Cl,LUO-POS-ed2cfb03-2,tetralinlike-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3C(=O)C[C@@]4(C3=O)CN(C(=O)c5c4cc(cc5)Cl)CC#N,PET-UNK-626a1084-1,tetralinlike-5spiro-isoquinoline
C#CCN1C[C@]2(CC(=O)N(C2=O)c3cncc4c3cccc4)c5cc(ccc5C1=O)Cl,PET-UNK-626a1084-2,tetralinlike-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3C(=O)CC4(C3=O)CN(C(=O)c5c4cc(cc5)Cl)CC#N,PET-UNK-626a1084-3,tetralinlike-5spiro-isoquinoline
C#CCN1CC2(CC(=O)N(C2=O)c3cncc4c3cccc4)c5cc(ccc5C1=O)Cl,PET-UNK-626a1084-4,tetralinlike-5spiro-isoquinoline
c1ccc2c(c1)cncc2N3CCC4(C3=O)CN(Cc5c4cc(cc5)Cl)CC(F)(F)Cl,VLA-UNK-3bd6fc51-1,tetralinlike-5spiro-isoquinoline
CNC(=O)CN1CC2(CCN(C2=O)c3cncc4c3cccc4)c5cc(ccc5C1=O)Cl,EDJ-MED-8bb691af-8,tetralinlike-5spiro-isoquinoline
