SMILES,TITLE
COCC(CCOc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1)COC,mitsunobu-0
CCOC(=O)Cn1nccc1COc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1,mitsunobu-1
COc1ccc(COc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)nc1OC,mitsunobu-2
Cc1c(COc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)cnn1C,mitsunobu-3
O=C(NCCOc1cc(Cl)cc(OC2CCN(c3cccnn3)CC2)c1)c1cc(=O)[nH]c2ccccc12,mitsunobu-4
CN(C)C1CCN(CCCOc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)CC1,mitsunobu-5
COC(=O)C1(COc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)COC1,mitsunobu-6
CS(=O)(=O)c1ncc(CCOc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)cn1,mitsunobu-7
Cn1ccc(COc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)c1,mitsunobu-8
O=C(NCCOc1cc(Cl)cc(OCc2cc(=O)n3ccccc3n2)c1)c1cc(=O)[nH]c2ccccc12,mitsunobu-9
CS(=O)(=O)NCCCOc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1,mitsunobu-10
O=C(NCCOc1cc(Cl)cc(OCc2nc(=S)[nH][nH]2)c1)c1cc(=O)[nH]c2ccccc12,mitsunobu-11
O=C(NCCOc1cc(Cl)cc(OCCNc2cnccn2)c1)c1cc(=O)[nH]c2ccccc12,mitsunobu-12
COc1ccc(S(C)(=O)=O)cc1COc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1,mitsunobu-13
O=C(NCCOc1cc(Cl)cc(OCCN2C(=O)CNC2=O)c1)c1cc(=O)[nH]c2ccccc12,mitsunobu-14
CC1(COc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)CN(C2CC2)C1,mitsunobu-15
COC1CC(COc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)C1,mitsunobu-16
O=C(NCCOc1cc(Cl)cc(OCCOCCn2cncn2)c1)c1cc(=O)[nH]c2ccccc12,mitsunobu-17
Cc1[nH]ncc1COc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1,mitsunobu-18
Cc1nn(C)cc1COc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1,mitsunobu-19
O=C(NCCOc1cc(Cl)cc(OC2CNC(=S)NC2)c1)c1cc(=O)[nH]c2ccccc12,mitsunobu-20
Cn1c(C#N)ccc1COc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1,mitsunobu-21
COCCOCCOc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1,mitsunobu-22
CCn1nccc1CCOc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1,mitsunobu-23
CC(=O)NCCOc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1,mitsunobu-24
O=C(NCCOc1cc(Cl)cc(OCC2CCS(=O)(=O)CC2)c1)c1cc(=O)[nH]c2ccccc12,mitsunobu-25
O=C(NCCOc1cc(Cl)cc(OC2CCN(c3ccncn3)CC2)c1)c1cc(=O)[nH]c2ccccc12,mitsunobu-26
COCCCS(=O)(=O)N1CCC(Oc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)CC1,mitsunobu-27
CN1CCN(C(=O)CCOc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)CC1,mitsunobu-28
O=C(NCCOc1cc(Cl)cc(OCCSc2ncc[nH]2)c1)c1cc(=O)[nH]c2ccccc12,mitsunobu-29
CC1(C)CN(CC(=O)NCCOc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)CCS1,mitsunobu-30
COC(=O)N(C)CCOc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1,mitsunobu-31
COC(=O)N(C)CCCOc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1,mitsunobu-32
CCN(C)C(=O)OCCOc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1,mitsunobu-33
O=C1CC2(CN1)CC(COc1cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c1)C2,mitsunobu-34
CS(=O)(=O)Cc1nccc(COc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)n1,mitsunobu-35
CS(=O)(=O)CCCCCOc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1,mitsunobu-36
O=C(NCCOc1cc(Cl)cc(OCc2ccc3c(=O)[nH]ncc3c2)c1)c1cc(=O)[nH]c2ccccc12,mitsunobu-37
O=C(NCCOc1cc(Cl)cc(OCCCN2C(=O)CCC2=O)c1)c1cc(=O)[nH]c2ccccc12,mitsunobu-38
CCOC(=O)c1n[nH]c(COc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)n1,mitsunobu-39
O=C(NCCOc1cc(Cl)cc(OC2CC3(COC3)C2)c1)c1cc(=O)[nH]c2ccccc12,mitsunobu-40
N#CCC(=O)NCCOc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1,mitsunobu-41
CC12CC(COc3cc(Cl)cc(OCCNC(=O)c4cc(=O)[nH]c5ccccc45)c3)(CO1)C2,mitsunobu-42
Cc1ccnc(CCOc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)n1,mitsunobu-43
O=C(NCCOc1cc(Cl)cc(OCC23COC(C2)C3)c1)c1cc(=O)[nH]c2ccccc12,mitsunobu-44
CNS(=O)(=O)CCOc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1,mitsunobu-45
O=C(NCCOc1cc(Cl)cc(OCc2ncc[nH]2)c1)c1cc(=O)[nH]c2ccccc12,mitsunobu-46
O=C(NCCOc1cc(Cl)cc(OCCNC(=O)N2CCCC2)c1)c1cc(=O)[nH]c2ccccc12,mitsunobu-47
O=C(NCCOc1cc(Cl)cc(OCCNC(=O)N2CCCCC2)c1)c1cc(=O)[nH]c2ccccc12,mitsunobu-48
O=C(NCCOc1cc(Cl)cc(OCCCCNC(=O)N2CCOCC2)c1)c1cc(=O)[nH]c2ccccc12,mitsunobu-49
O=C(NCCOc1cc(Cl)cc(OCCCNC(=O)N2CCCC2)c1)c1cc(=O)[nH]c2ccccc12,mitsunobu-50
O=C(NCCOc1cc(Cl)cc(OCCNC(=O)N2CCCCCC2)c1)c1cc(=O)[nH]c2ccccc12,mitsunobu-51
CN1CC(Oc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)C1,mitsunobu-52
O=C(NCCOc1cc(Cl)cc(OCc2cccnn2)c1)c1cc(=O)[nH]c2ccccc12,mitsunobu-53
O=C(NCCOc1cc(Cl)cc(OCCCc2ncc[nH]2)c1)c1cc(=O)[nH]c2ccccc12,mitsunobu-54
O=C(NCCOc1cc(Cl)cc(OCc2ncco2)c1)c1cc(=O)[nH]c2ccccc12,mitsunobu-55
O=C(NCCOc1cc(Cl)cc(OCCS(=O)(=O)NC2CC2)c1)c1cc(=O)[nH]c2ccccc12,mitsunobu-56
CN(C)CC(CN(C)C)Oc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1,mitsunobu-57
O=C(NCCOc1cc(Cl)cc(OCCN2C(=O)Cc3ccccc3C2=O)c1)c1cc(=O)[nH]c2ccccc12,mitsunobu-58
NC(=O)C1(COc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)CC1,mitsunobu-59
COc1noc(C)c1COc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1,mitsunobu-60
CN(C)C(=O)N1CC(Oc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)C1,mitsunobu-61
COCc1ocnc1COc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1,mitsunobu-62
O=C(NCCOc1cc(Cl)cc(OCc2cnc3n2CCOC3)c1)c1cc(=O)[nH]c2ccccc12,mitsunobu-63
O=C(NCCOc1cc(Cl)cc(OCCS(=O)(=O)c2cnn[nH]2)c1)c1cc(=O)[nH]c2ccccc12,mitsunobu-64
Cc1cc(C)n(CCOc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)c(=O)n1,mitsunobu-65
Cn1nnc(COc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)n1,mitsunobu-66
COCCOc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1,mitsunobu-67
CCOCCOc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1,mitsunobu-68
CC(=O)N(C)CCOc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1,mitsunobu-69
O=C(NCCOc1cc(Cl)cc(OCCNc2nccs2)c1)c1cc(=O)[nH]c2ccccc12,mitsunobu-70
