,SMILES
0,COCC(CCOc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1)COC
1,CCOC(=O)Cn1nccc1COc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
2,COc1ccc(COc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)nc1OC
3,Cc1c(COc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)cnn1C
4,O=C(NCCOc1cc(Cl)cc(OC2CCN(c3cccnn3)CC2)c1)c1cc(=O)[nH]c2ccccc12
5,CN(C)C1CCN(CCCOc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)CC1
6,COC(=O)C1(COc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)COC1
7,CS(=O)(=O)c1ncc(CCOc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)cn1
8,Cn1ccc(COc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)c1
9,O=C(NCCOc1cc(Cl)cc(OCc2cc(=O)n3ccccc3n2)c1)c1cc(=O)[nH]c2ccccc12
10,CS(=O)(=O)NCCCOc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
11,O=C(NCCOc1cc(Cl)cc(OCc2nc(=S)[nH][nH]2)c1)c1cc(=O)[nH]c2ccccc12
12,O=C(NCCOc1cc(Cl)cc(OCCNc2cnccn2)c1)c1cc(=O)[nH]c2ccccc12
13,COc1ccc(S(C)(=O)=O)cc1COc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
14,O=C(NCCOc1cc(Cl)cc(OCCN2C(=O)CNC2=O)c1)c1cc(=O)[nH]c2ccccc12
15,CC1(COc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)CN(C2CC2)C1
16,COC1CC(COc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)C1
17,O=C(NCCOc1cc(Cl)cc(OCCOCCn2cncn2)c1)c1cc(=O)[nH]c2ccccc12
18,Cc1[nH]ncc1COc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
19,Cc1nn(C)cc1COc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
20,O=C(NCCOc1cc(Cl)cc(OC2CNC(=S)NC2)c1)c1cc(=O)[nH]c2ccccc12
21,Cn1c(C#N)ccc1COc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
22,COCCOCCOc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
23,CCn1nccc1CCOc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
24,CC(=O)NCCOc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
25,O=C(NCCOc1cc(Cl)cc(OCC2CCS(=O)(=O)CC2)c1)c1cc(=O)[nH]c2ccccc12
26,O=C(NCCOc1cc(Cl)cc(OC2CCN(c3ccncn3)CC2)c1)c1cc(=O)[nH]c2ccccc12
27,COCCCS(=O)(=O)N1CCC(Oc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)CC1
28,CN1CCN(C(=O)CCOc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)CC1
29,O=C(NCCOc1cc(Cl)cc(OCCSc2ncc[nH]2)c1)c1cc(=O)[nH]c2ccccc12
30,CC1(C)CN(CC(=O)NCCOc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)CCS1
31,COC(=O)N(C)CCOc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
32,COC(=O)N(C)CCCOc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
33,CCN(C)C(=O)OCCOc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
34,O=C1CC2(CN1)CC(COc1cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c1)C2
35,CS(=O)(=O)Cc1nccc(COc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)n1
36,CS(=O)(=O)CCCCCOc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
37,O=C(NCCOc1cc(Cl)cc(OCc2ccc3c(=O)[nH]ncc3c2)c1)c1cc(=O)[nH]c2ccccc12
38,O=C(NCCOc1cc(Cl)cc(OCCCN2C(=O)CCC2=O)c1)c1cc(=O)[nH]c2ccccc12
39,CCOC(=O)c1n[nH]c(COc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)n1
40,O=C(NCCOc1cc(Cl)cc(OC2CC3(COC3)C2)c1)c1cc(=O)[nH]c2ccccc12
41,N#CCC(=O)NCCOc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
42,CC12CC(COc3cc(Cl)cc(OCCNC(=O)c4cc(=O)[nH]c5ccccc45)c3)(CO1)C2
43,Cc1ccnc(CCOc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)n1
44,O=C(NCCOc1cc(Cl)cc(OCC23COC(C2)C3)c1)c1cc(=O)[nH]c2ccccc12
45,CNS(=O)(=O)CCOc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
46,O=C(NCCOc1cc(Cl)cc(OCc2ncc[nH]2)c1)c1cc(=O)[nH]c2ccccc12
47,O=C(NCCOc1cc(Cl)cc(OCCNC(=O)N2CCCC2)c1)c1cc(=O)[nH]c2ccccc12
48,O=C(NCCOc1cc(Cl)cc(OCCNC(=O)N2CCCCC2)c1)c1cc(=O)[nH]c2ccccc12
49,O=C(NCCOc1cc(Cl)cc(OCCCCNC(=O)N2CCOCC2)c1)c1cc(=O)[nH]c2ccccc12
50,O=C(NCCOc1cc(Cl)cc(OCCCNC(=O)N2CCCC2)c1)c1cc(=O)[nH]c2ccccc12
51,O=C(NCCOc1cc(Cl)cc(OCCNC(=O)N2CCCCCC2)c1)c1cc(=O)[nH]c2ccccc12
52,CN1CC(Oc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)C1
53,O=C(NCCOc1cc(Cl)cc(OCc2cccnn2)c1)c1cc(=O)[nH]c2ccccc12
54,O=C(NCCOc1cc(Cl)cc(OCCCc2ncc[nH]2)c1)c1cc(=O)[nH]c2ccccc12
55,O=C(NCCOc1cc(Cl)cc(OCc2ncco2)c1)c1cc(=O)[nH]c2ccccc12
56,O=C(NCCOc1cc(Cl)cc(OCCS(=O)(=O)NC2CC2)c1)c1cc(=O)[nH]c2ccccc12
57,CN(C)CC(CN(C)C)Oc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
58,O=C(NCCOc1cc(Cl)cc(OCCN2C(=O)Cc3ccccc3C2=O)c1)c1cc(=O)[nH]c2ccccc12
59,NC(=O)C1(COc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)CC1
60,COc1noc(C)c1COc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
