,SMILES
0,Cc1nc(CNc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)nn1C
1,N#Cc1nc(CNc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)cs1
2,CC(C)(C)OC(=O)NC1(CNc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)COC1
3,COc1c(CNc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)occc1=O
4,COC(=O)c1cc(CNc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)ccn1
5,Cn1cc(CNc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)c(-c2ccnn2C)n1
6,CS(=O)(=O)C1(CNc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)CCC1
7,NS(=O)(=O)c1csc(CNc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)c1
8,Cn1nnc2cccc(CNc3cc(Cl)cc(OCCNC(=O)c4cc(=O)[nH]c5ccccc45)c3)c21
9,COc1ncncc1CNc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
10,CNC(=O)COc1ccccc1CNc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
11,Cc1ncc(CNc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)o1
12,Cc1nn(CCO)c(C)c1CNc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
13,COC(=O)c1sncc1CNc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
14,Cn1nc2c(c1CNc1cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c1)COCC2
15,O=C1COc2ccc(CNc3cc(Cl)cc(OCCNC(=O)c4cc(=O)[nH]c5ccccc45)c3)cc2N1
16,CCc1c(CNc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)cnn1C
17,CC(C)n1cc(CNc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)nn1
18,COCCCCNc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
19,Cn1ccc(CNc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)c1
20,COCCCn1nccc1CNc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
21,CS(=O)(=O)c1ccc(CNc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)o1
22,CCn1nnc(C)c1CNc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
23,Cn1cc(CNc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)cc1C#N
24,O=C(NCCOc1cc(Cl)cc(NCc2ccc(OCCO)nc2)c1)c1cc(=O)[nH]c2ccccc12
25,Cn1cc(CNc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)n(C)c1=O
26,Cc1cn(C)nc1CNc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
27,O=C(NCCOc1cc(Cl)cc(NCCN2C(=O)COc3ccccc32)c1)c1cc(=O)[nH]c2ccccc12
28,CCc1c[nH]c(CNc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)n1
29,Cc1coc(CNc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)n1
30,O=C(NCCOc1cc(Cl)cc(NCCCN2CCOC2=O)c1)c1cc(=O)[nH]c2ccccc12
31,Cn1cccc(CNc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)c1=O
32,Cn1c(CNc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)cnc1C#N
33,O=C(NCCOc1cc(Cl)cc(NCc2cnco2)c1)c1cc(=O)[nH]c2ccccc12
34,O=C(NCCOc1cc(Cl)cc(NCc2cnn(CCO)c2)c1)c1cc(=O)[nH]c2ccccc12
35,O=C(NCCOc1cc(Cl)cc(NCc2c[nH]c(=O)[nH]c2=O)c1)c1cc(=O)[nH]c2ccccc12
36,COCC1(CNc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)CC1
37,Cc1nnn(C)c1CNc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
38,O=C1NCCOc2ccc(CNc3cc(Cl)cc(OCCNC(=O)c4cc(=O)[nH]c5ccccc45)c3)cc21
39,CS(=O)(=O)CCCNc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
40,CCOC(=O)c1coc(CNc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)n1
41,COCc1ocnc1CNc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
42,COCCOCCCNc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
43,COCCN1CCC(CNc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)CC1
44,COCc1cc(CNc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)on1
45,O=C(NCCOc1cc(Cl)cc(NCc2cnsn2)c1)c1cc(=O)[nH]c2ccccc12
46,Cn1nc(CNc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)c2c1CCOC2
47,Cc1nc(CNc2cc(Cl)cc(OCCNC(=O)c3cc(=O)[nH]c4ccccc34)c2)n(C)c1C
48,Cn1nnc2ccc(CNc3cc(Cl)cc(OCCNC(=O)c4cc(=O)[nH]c5ccccc45)c3)cc21
49,O=C1COc2ncc(CNc3cc(Cl)cc(OCCNC(=O)c4cc(=O)[nH]c5ccccc45)c3)cc2N1
50,CCNc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
