SMILES,TITLE
O=C(NCCOc1cc(Cl)cc(OCCOCCOCCOCCO)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-0
O=C(NCCOc1cc(Cl)cc(OCCC2(O)CC2)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-1
O=C(NCCOc1cc(Cl)cc(OCCCO)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-2
O=C(NCCOc1cc(Cl)cc(OCC2(O)CCOCC2)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-3
CC(C)(CO)COc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1,williamson_ether-4
O=C(NCCOc1cc(Cl)cc(OCCOCCOCCO)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-5
O=C(NCCOc1cc(Cl)cc(OCCS(=O)(=O)CCCO)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-6
O=C(NCCOc1cc(Cl)cc(OCC2(O)CCC2)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-7
O=C(NCCOc1cc(Cl)cc(OCCOCCOCCCO)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-8
O=C(NCCOc1cc(Cl)cc(OCCCCO)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-9
O=C(NCCOc1cc(Cl)cc(OCCS(=O)(=O)CCO)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-10
O=C(NCCOc1cc(Cl)cc(OCc2cc(C3(O)COC3)on2)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-11
O=C(NCCOc1cc(Cl)cc(OC2CCC(O)CC2)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-12
O=C(NCCOc1cc(Cl)cc(OCc2cc(CO)on2)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-13
O=C(NCCOc1cc(Cl)cc(OCCC2(O)CC2)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-14
O=C(NCCOc1cc(Cl)cc(OCC2(CO)CN(C3CC3)C2)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-15
CN(CCO)C(=O)COc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1,williamson_ether-16
O=C(NCCOc1cc(Cl)cc(OCc2cccc(CO)n2)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-17
O=C(NCCOc1cc(Cl)cc(OC2CC(CO)C2)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-18
O=C(NCCOc1cc(Cl)cc(OC2CC(CO)C2)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-19
O=C(NCCOc1cc(Cl)cc(OCC2(CO)CN(Cc3ccccc3)C2)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-20
O=C(NCCOc1cc(Cl)cc(OCCO)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-21
CC(C)(O)CCOc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1,williamson_ether-22
CC(C)(CCO)COc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1,williamson_ether-23
O=C(NCCOc1cc(Cl)cc(OCCOCCO)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-24
CC(C)(CO)COc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1,williamson_ether-25
O=C(NCCOc1cc(Cl)cc(OCCCO)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-26
O=C(NCCOc1cc(Cl)cc(OCCO)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-27
O=C(NCCOc1cc(Cl)cc(OCCCCO)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-28
O=C(NCCOc1cc(Cl)cc(OCCCO)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-29
O=C(NCCOc1cc(Cl)cc(OCCCCCCO)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-30
O=C(NCCOc1cc(Cl)cc(OC2CC(O)C2)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-31
O=C(NCCOc1cc(Cl)cc(OCCOCCO)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-32
O=C(NCCOc1cc(Cl)cc(OCCC2(O)CCC2)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-33
O=C(NCCOc1cc(Cl)cc(OCC2(O)CCC2)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-34
O=C(NCCOc1cc(Cl)cc(OCCOCCO)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-35
O=C(NCCOc1cc(Cl)cc(OCCCCCO)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-36
O=C(NCCOc1cc(Cl)cc(OCC2CCC(O)CC2)c1)c1cc(=O)[nH]c2ccccc12,williamson_ether-37
CC(C)(O)CNC(=O)COc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1,williamson_ether-38
