,SMILES
0,O=C(NCCOc1cc(Cl)cc(OCCOCCOCCOCCO)c1)c1cc(=O)[nH]c2ccccc12
1,O=C(NCCOc1cc(Cl)cc(OCCC2(O)CC2)c1)c1cc(=O)[nH]c2ccccc12
2,O=C(NCCOc1cc(Cl)cc(OCCCO)c1)c1cc(=O)[nH]c2ccccc12
3,O=C(NCCOc1cc(Cl)cc(OCC2(O)CCOCC2)c1)c1cc(=O)[nH]c2ccccc12
4,CC(C)(CO)COc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
5,O=C(NCCOc1cc(Cl)cc(OCCOCCOCCO)c1)c1cc(=O)[nH]c2ccccc12
6,O=C(NCCOc1cc(Cl)cc(OCCS(=O)(=O)CCCO)c1)c1cc(=O)[nH]c2ccccc12
7,O=C(NCCOc1cc(Cl)cc(OCC2(O)CCC2)c1)c1cc(=O)[nH]c2ccccc12
8,O=C(NCCOc1cc(Cl)cc(OCCOCCOCCCO)c1)c1cc(=O)[nH]c2ccccc12
9,O=C(NCCOc1cc(Cl)cc(OCCCCO)c1)c1cc(=O)[nH]c2ccccc12
10,O=C(NCCOc1cc(Cl)cc(OCCS(=O)(=O)CCO)c1)c1cc(=O)[nH]c2ccccc12
11,O=C(NCCOc1cc(Cl)cc(OCc2cc(C3(O)COC3)on2)c1)c1cc(=O)[nH]c2ccccc12
12,O=C(NCCOc1cc(Cl)cc(OC2CCC(O)CC2)c1)c1cc(=O)[nH]c2ccccc12
13,O=C(NCCOc1cc(Cl)cc(OCc2cc(CO)on2)c1)c1cc(=O)[nH]c2ccccc12
14,O=C(NCCOc1cc(Cl)cc(OCCC2(O)CC2)c1)c1cc(=O)[nH]c2ccccc12
15,O=C(NCCOc1cc(Cl)cc(OCC2(CO)CN(C3CC3)C2)c1)c1cc(=O)[nH]c2ccccc12
16,CN(CCO)C(=O)COc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
17,O=C(NCCOc1cc(Cl)cc(OCc2cccc(CO)n2)c1)c1cc(=O)[nH]c2ccccc12
18,O=C(NCCOc1cc(Cl)cc(OC2CC(CO)C2)c1)c1cc(=O)[nH]c2ccccc12
19,O=C(NCCOc1cc(Cl)cc(OC2CC(CO)C2)c1)c1cc(=O)[nH]c2ccccc12
20,O=C(NCCOc1cc(Cl)cc(OCC2(CO)CN(Cc3ccccc3)C2)c1)c1cc(=O)[nH]c2ccccc12
21,O=C(NCCOc1cc(Cl)cc(OCCO)c1)c1cc(=O)[nH]c2ccccc12
22,CC(C)(O)CCOc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
23,CC(C)(CCO)COc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
24,O=C(NCCOc1cc(Cl)cc(OCCOCCO)c1)c1cc(=O)[nH]c2ccccc12
25,CC(C)(CO)COc1cc(Cl)cc(OCCNC(=O)c2cc(=O)[nH]c3ccccc23)c1
26,O=C(NCCOc1cc(Cl)cc(OCCCO)c1)c1cc(=O)[nH]c2ccccc12
27,O=C(NCCOc1cc(Cl)cc(OCCO)c1)c1cc(=O)[nH]c2ccccc12
28,O=C(NCCOc1cc(Cl)cc(OCCCCO)c1)c1cc(=O)[nH]c2ccccc12
29,O=C(NCCOc1cc(Cl)cc(OCCCO)c1)c1cc(=O)[nH]c2ccccc12
30,O=C(NCCOc1cc(Cl)cc(OCCCCCCO)c1)c1cc(=O)[nH]c2ccccc12
31,O=C(NCCOc1cc(Cl)cc(OC2CC(O)C2)c1)c1cc(=O)[nH]c2ccccc12
32,O=C(NCCOc1cc(Cl)cc(OCCOCCO)c1)c1cc(=O)[nH]c2ccccc12
33,O=C(NCCOc1cc(Cl)cc(OCCC2(O)CCC2)c1)c1cc(=O)[nH]c2ccccc12
34,O=C(NCCOc1cc(Cl)cc(OCC2(O)CCC2)c1)c1cc(=O)[nH]c2ccccc12
35,O=C(NCCOc1cc(Cl)cc(OCCOCCO)c1)c1cc(=O)[nH]c2ccccc12
