product,EN-code,SMILES,parent_SMILES
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(CCc1nc2ncc([N+](=O)[O-])cn2n1)C(=O)c1ccco1,EN300-26619500,Cl.Cl.NCCc1nc2ncc([N+](=O)[O-])cn2n1,NCCc1nc2ncc([N+](=O)[O-])cn2n1
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)C1CC2(CCC2)C1OCc1ccccc1,EN300-26658513,Cl.NC1CC2(CCC2)C1OCc1ccccc1,NC1CC2(CCC2)C1OCc1ccccc1
CS[C@H]1C[C@@H](CN(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)C1,EN300-26667981,CS[C@H]1C[C@@H](CN)C1.Cl,CS[C@H]1C[C@@H](CN)C1
CO[C@@H]1C[C@H](N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)C[C@@H]1O,EN300-7493272,CO[C@@H]1C[C@H](N)C[C@@H]1O.Cl,CO[C@@H]1C[C@H](N)C[C@@H]1O
C#CCC(CN(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1)C1CC1,EN300-7494542,C#CCC(CN)C1CC1,C#CCC(CN)C1CC1
CC(C)(C)OC(=O)[C@H]1C[C@@](O)(CN(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)C1,EN300-7542744,CC(C)(C)OC(=O)[C@H]1C[C@@](O)(CN)C1,CC(C)(C)OC(=O)[C@H]1C[C@@](O)(CN)C1
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)C1CCCC2(CC1)CC2,EN300-7463937,Cl.NC1CCCC2(CC1)CC2,NC1CCCC2(CC1)CC2
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(CC1CC(=C2CCC2)C1)C(=O)c1ccco1,EN300-7464663,Cl.NCC1CC(=C2CCC2)C1,NCC1CC(=C2CCC2)C1
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C[C@@]1(CO)CC[C@@H]1c1ccccc1)C(=O)c1ccco1,EN300-7465001,Cl.NC[C@@]1(CO)CC[C@@H]1c1ccccc1,NC[C@@]1(CO)CC[C@@H]1c1ccccc1
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1ccco1)C1CCC2CC21CO,EN300-7540903,NC1CCC2CC12CO,NC1CCC2CC12CO
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(CCn1cc(Br)nn1)C(=O)c1ccco1,EN300-7563670,Cl.NCCn1cc(Br)nn1,NCCn1cc(Br)nn1
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C[C@@H]1C[C@@H]1Br)C(=O)c1ccco1,EN300-26664655,Cl.NC[C@@H]1C[C@@H]1Br,NC[C@@H]1C[C@@H]1Br
