tert_butyl_product,EN-code,parent_SMILES
CC(C)(C)NC(=O)C(c1cccnc1)N(CCc1nc2ncc([N+](=O)[O-])cn2n1)C(=O)c1ccco1,EN300-26619500,NCCc1nc2ncc([N+](=O)[O-])cn2n1
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)C1CC2(CCC2)C1OCc1ccccc1,EN300-26658513,NC1CC2(CCC2)C1OCc1ccccc1
CS[C@H]1C[C@@H](CN(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)C1,EN300-26667981,CS[C@H]1C[C@@H](CN)C1
CO[C@@H]1C[C@H](N(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)C[C@@H]1O,EN300-7493272,CO[C@@H]1C[C@H](N)C[C@@H]1O
C#CCC(CN(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cccnc1)C1CC1,EN300-7494542,C#CCC(CN)C1CC1
CC(C)(C)NC(=O)C(c1cccnc1)N(C[C@]1(O)C[C@H](C(=O)OC(C)(C)C)C1)C(=O)c1ccco1,EN300-7542744,CC(C)(C)OC(=O)[C@H]1C[C@@](O)(CN)C1
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)C1CCCC2(CC1)CC2,EN300-7463937,NC1CCCC2(CC1)CC2
CC(C)(C)NC(=O)C(c1cccnc1)N(CC1CC(=C2CCC2)C1)C(=O)c1ccco1,EN300-7464663,NCC1CC(=C2CCC2)C1
CC(C)(C)NC(=O)C(c1cccnc1)N(C[C@@]1(CO)CC[C@@H]1c1ccccc1)C(=O)c1ccco1,EN300-7465001,NC[C@@]1(CO)CC[C@@H]1c1ccccc1
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)C1CCC2CC21CO,EN300-7540903,NC1CCC2CC12CO
CC(C)(C)NC(=O)C(c1cccnc1)N(CCn1cc(Br)nn1)C(=O)c1ccco1,EN300-7563670,NCCn1cc(Br)nn1
CC(C)(C)NC(=O)C(c1cccnc1)N(C[C@@H]1C[C@@H]1Br)C(=O)c1ccco1,EN300-26664655,NC[C@@H]1C[C@@H]1Br
CC(C)(C)NC(=O)C(c1cccnc1)N(CCCCCC(=O)NCCC(=O)OC(C)(C)C)C(=O)c1ccco1,EN300-7435278,CC(C)(C)OC(=O)CCNC(=O)CCCCCN
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)[C@@H]1C[C@H](CO)[C@@H](O)[C@H]1O,EN300-7443835,N[C@@H]1C[C@H](CO)[C@@H](O)[C@H]1O
C#CCC(CC(=O)OC)N(C(=O)c1ccco1)C(C(=O)NC(C)(C)C)c1cccnc1,EN300-7439257,C#CCC(N)CC(=O)OC
CC(C)(C)NC(=O)C(c1cccnc1)N(C(=O)c1ccco1)[C@@H]1CC[C@@H]1c1ccc(F)cc1F,EN300-7426139,N[C@@H]1CC[C@@H]1c1ccc(F)cc1F
CO[C@@H]1C[C@H](CN(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)N(c2cc(C)ncn2)C1,EN300-7426157,CO[C@@H]1C[C@H](CN)N(c2cc(C)ncn2)C1
CO[C@@H]1CN[C@H](CN(C(=O)c2ccco2)C(C(=O)NC(C)(C)C)c2cccnc2)C1,EN300-7471420,CO[C@@H]1CN[C@H](CN)C1
CC(C)(C)NC(=O)C(c1cccnc1)N(C[C@@H]1C[C@H](O)CN1)C(=O)c1ccco1,EN300-7444820,NC[C@@H]1C[C@H](O)CN1
