SMILES,TITLE,f_avg_IC50,intermediate
c1ccc2c(c1)cncc2NC(=O)N(CCC3CCCCC3)c4cc(cc(c4)Cl)OC5CC(=O)N5,MAT-POS-53907a1c-3,0.0578097108344873,linker-isoquinoline  
c1ccc2c(c1)cncc2NC(=O)[C@@H]3CCOc4c3cc(cc4)Cl,MAT-POS-b3e365b9-1,0.141182142293249,benzopyran-isoquinoline-scaffold
C[C@H]1COc2ccc(cc2[C@@H]1C(=O)Nc3cncc4c3cccc4)Cl,EDJ-MED-e4b030d8-11,0.16863013323185902,benzopyran-isoquinoline-scaffold
c1ccc2c(c1)cncc2NC(=O)Cc3ccc(c(c3)Cl)Cl,MAT-POS-23a8a11a-1,0.177683344973029,linker-isoquinoline  
C[C@@H]1C[C@H](c2cc(ccc2O1)Cl)C(=O)Nc3cncc4c3cccc4,EDJ-MED-e4b030d8-2,0.231301767856905,benzopyran-isoquinoline-scaffold
c1ccc2c(c1)cncc2NC(=O)C3=CCCc4c3cc(cc4)Cl,MAT-POS-0c8fa4a7-1,0.23326725872218804,linker-isoquinoline  
c1ccc2c(c1)cncc2NC(=O)C3CCNc4c3cc(cc4)Cl,ALP-POS-477dc5b7-2,0.258756865710846,linker-isoquinoline  
c1ccc2c(c1)cncc2NC(=O)N(CCC3CCCCC3)c4cccc(c4)Cl,EDJ-MED-c314995a-1,0.26066699469482296,linker-isoquinoline  
c1ccc2c(c1)cncc2NC(=O)Cc3cc(cc(c3)Cl)OC4CC(=O)N4,ALP-POS-3b848b35-2,0.273736533581856,linker-isoquinoline  
C[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EDJ-MED-e4b030d8-13,0.283626273282572,benzopyran-isoquinoline-scaffold
c1ccc2c(c1)cncc2NC(=O)C3CCCc4c3cc(cc4)Cl,ALP-POS-477dc5b7-1,0.32387234828101796,linker-isoquinoline  
c1ccc2c(c1)cncc2NC(=O)C3CCOc4c3cc(cc4)Cl,VLA-UCB-1dbca3b4-15,0.35948329848828803,benzopyran-isoquinoline-scaffold
C[C@@H]1C[C@@H](c2cc(ccc2O1)Cl)C(=O)Nc3cncc4c3cccc4,MAT-POS-8a69d52e-2,0.6792897338977919,benzopyran-isoquinoline-scaffold
c1ccc2c(c1)cncc2NC(=O)Cc3cccc(c3)Cl,ADA-UCB-6c2cb422-1,0.721197027282131,linker-isoquinoline  
c1ccc2c(c1)cncc2NC(=O)C3COc4c3cc(cc4)Cl,MAT-POS-f7918075-2,0.7641388380138839,linker-isoquinoline  
c1cc2cncc(c2cc1F)NC(=O)C3CCOc4c3cc(cc4)Cl,ALP-POS-696356e4-1,0.7666156173262609,benzopyran-isoquinoline-scaffold
c1ccc2c(c1)cncc2NC(=O)C3CCOc4c3cc(cc4)Br,MAT-POS-11b63608-1,0.8509028862137729,benzopyran-isoquinoline-scaffold
COc1ccc2cncc(c2c1)NC(=O)Cc3cccc(c3)Cl,EDJ-MED-00c1612e-1,0.8978004052419591,linker-isoquinoline  
c1ccc2c(c1)cncc2NC(=O)C3CC(=O)Nc4c3cc(cc4)Br,MAT-POS-8d5af1ef-1,1.1228777241743102,linker-isoquinoline  
c1ccc2c(c1)cncc2NC(=O)Cc3cc(cc4c3OCC4)Cl,MAT-POS-bbbbc21a-3,1.12553511709407,linker-isoquinoline  
c1ccc2c(c1)cncc2NC(=O)Cc3cc(cc(c3)Cl)Oc4cccnc4,MAT-POS-9ff17035-3,1.13939201282262,linker-isoquinoline  
c1ccc2c(c1)cncc2N3CCCC(C3=O)c4cccc(c4)Cl,PET-UNK-c9c1e0d8-3,1.14150135208733,linker-isoquinoline  
COc1ccc(cc1CC(=O)Nc2cncc3c2cccc3)Cl,MAT-POS-3b92565d-1,1.20235588644035,linker-isoquinoline  
c1ccc2c(c1)cncc2N3CCC(C3=O)c4cccc(c4)Cl,PET-UNK-c9c1e0d8-4,1.26810244659748,linker-isoquinoline  
c1ccc2c(c1)cncc2N3C(=O)C4(CCOc5c4cc(cc5)Cl)NC3=O,VLA-UCB-29506327-1,1.31599737331982,benzopyran-isoquinoline-scaffold
C[C@@H]1COc2ccc(cc2[C@@H]1C(=O)Nc3cncc4c3cccc4)Cl,MAT-POS-8a69d52e-7,1.71348824265682,benzopyran-isoquinoline-scaffold
c1ccc2c(c1)cncc2NC(=O)Cc3cc(cc(c3)Cl)Oc4cccc(=O)[nH]4,MAT-POS-9ff17035-2,1.9756307466153402,linker-isoquinoline  
c1ccc2c(c1)cncc2NC(=O)Cc3cc(ccn3)Cl,PET-UNK-3c72d439-1,3.39726824812966,linker-isoquinoline  
Cc1c(ccc2c1[C@@H](CCO2)C(=O)Nc3cncc4c3cccc4)Cl,EDJ-MED-e4b030d8-8,3.6688094427442794,benzopyran-isoquinoline-scaffold
c1ccc2c(c1)cncc2NC(=O)Cc3cc(cc(c3)Cl)CC4CC(=O)N4,EDJ-MED-50011917-1,4.5670547127788605,linker-isoquinoline  
c1ccc2c(c1)cncc2NC(=O)C3COc4c3cccc4Cl,FRA-DIA-c7e803f4-1,4.7574956193285995,linker-isoquinoline  
c1ccc2c(c1)cncc2NC(=O)Cc3cc(cc(c3)Cl)Cc4ccn[nH]4,PET-UNK-372a2f82-1,5.0407871491875,linker-isoquinoline  
c1ccc2c(c1)cncc2NC(=O)[C@H]3Cc4cc(ccc4OC3)Cl,EDJ-MED-e4b030d8-12,7.46,linker-isoquinoline  
C#Cc1cccc(c1)CC(=O)Nc2cncc3c2cccc3,PET-UNK-c9c1e0d8-2,9.383352671421779,linker-isoquinoline  
c1ccc2c(c1)cncc2NC(=O)COc3cccc(c3)Cl,ALP-POS-f13221e1-2,11.172469105917099,linker-isoquinoline  
C[C@@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,MAT-POS-8e4737f4-1,19.4982866141812,benzopyran-isoquinoline-scaffold
C[C@H]1C[C@H](c2cc(ccc2O1)Cl)C(=O)Nc3cncc4c3cccc4,EDJ-MED-e4b030d8-3,20.0766576250445,benzopyran-isoquinoline-scaffold
c1ccc2c(c1)cncc2NC(=O)CCc3cccc(c3)Cl,ALP-POS-f13221e1-3,20.793421107379103,linker-isoquinoline  
Cc1c(c(on1)C)CCNC(=O)Nc2cn(c(=O)c3c2cccc3)CC(C)C,LON-WEI-4d77710c-51,27.658120109671398,linker-isoquinoline  
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)NCc3ccco3,LON-WEI-4d77710c-44,29.6429810673398,linker-isoquinoline  
CN(c1cncc2c1cccc2)C(=O)Cc3cccc(c3)Cl,MAT-POS-bb423b95-7,34.368248425343396,linker-isoquinoline  
c1ccc2c(c1)cncc2NC(=O)Cc3cccc(n3)Cl,MAT-POS-afd4d4fd-2,40.650398047308705,linker-isoquinoline  
c1ccc2c(c1)cncc2NC(=O)C3(CCOc4c3cc(cc4)Cl)CCC5CC5,ALP-POS-477dc5b7-3,40.7111309604709,benzopyran-isoquinoline-scaffold
CC(CCc1ccco1)NC(=O)Nc2cn(c(=O)c3c2cccc3)C,LON-WEI-4d77710c-39,44.48156026975779,linker-isoquinoline  
c1ccc2c(c1)cncc2NC(=O)[C@H]3CCOc4c3cc(cc4)Cl,MAT-POS-b3e365b9-2,49.8,benzopyran-isoquinoline-scaffold
C[C@H]1C[C@@H](c2cc(ccc2O1)Cl)C(=O)Nc3cncc4c3cccc4,MAT-POS-8a69d52e-3,52.0706138640358,benzopyran-isoquinoline-scaffold
CC(=O)N1CCN(CC1)CC(=O)Nc2cncc3c2cccc3,ALP-POS-6747fa38-1,71.68809588705629,linker-isoquinoline  
c1ccc2c(c1)cncc2N3CCCC(C3=O)c4ccc(cc4)Cl,ALP-POS-ce760d3f-8,78.2094424667852,linker-isoquinoline  
c1ccc2c(c1)cncc2NC(=O)Cc3cc(cc(c3)Cl)OC4CCC(=O)N4,MAT-POS-9ff17035-1,85.8740204655224,linker-isoquinoline  
COc1ccccc1OCCC(=O)Nc2cncc3c2cccc3,MAR-UCB-f313ec4d-3,93.555549802178,linker-isoquinoline  
c1ccc2c(c1)cncc2NC(=O)C3CCOc4c3c(ccc4O)Cl,ALP-UNI-4b8a177c-1,99.5,benzopyran-isoquinoline-scaffold
c1ccc2c(c1)c(c[nH]c2=O)NC(=O)C3CCOc4c3cc(cc4)Cl,JOH-UNI-f51e3bbc-1,99.5,benzopyran-isoquinoline-scaffold
C[C@H]1COc2ccc(cc2[C@H]1C(=O)Nc3cncc4c3cccc4)Cl,MAT-POS-8a69d52e-5,99.5,benzopyran-isoquinoline-scaffold
C[C@@H]1COc2ccc(cc2[C@H]1C(=O)Nc3cncc4c3cccc4)Cl,MAT-POS-8a69d52e-6,99.5,benzopyran-isoquinoline-scaffold
c1ccc2c(c1)cncc2NC(=O)[C@@H]3Cc4cc(ccc4OC3)Cl,MAT-POS-8e4737f4-2,99.5,linker-isoquinoline  
COc1cc(cc2c1OCC[C@H]2C(=O)Nc3cncc4c3cccc4)Cl,EDJ-MED-e4b030d8-7,99.5,benzopyran-isoquinoline-scaffold
Cn1cc(c2ccccc2c1=O)NC(=O)Cc3cccc(c3)Cl,MAT-POS-4211dce8-1,99.5,linker-isoquinoline  
c1cc(cc(c1)Cl)CC(=O)Nc2cncc3c2cccc3Cl,MAT-POS-bb423b95-9,99.5,linker-isoquinoline  
COc1cc(cc2c1OCC[C@@H]2C(=O)Nc3cncc4c3cccc4)Cl,MAT-POS-43fe65f4-1,,benzopyran-isoquinoline-scaffold
Cn1cc(c2ccccc2c1=O)NC(=O)NCc3cc(ccc3OC)OC,LON-WEI-4d77710c-1,,linker-isoquinoline  
Cc1ccc(c(c1)Br)NC(=O)Nc2cn(c(=O)c3c2cccc3)CC(C)C,LON-WEI-4d77710c-4,,linker-isoquinoline  
Cn1cc(c2ccccc2c1=O)NC(=O)Nc3ccc(c(c3)OC)OC,LON-WEI-4d77710c-5,,linker-isoquinoline  
CC(=O)c1cccc(c1)NC(=O)Nc2cn(c(=O)c3c2cccc3)C,LON-WEI-4d77710c-6,,linker-isoquinoline  
Cc1cc(no1)NC(=O)Nc2cn(c(=O)c3c2cccc3)CC(C)C,LON-WEI-4d77710c-9,,linker-isoquinoline  
CCOC(=O)c1ccc(cc1)NC(=O)Nc2cn(c(=O)c3c2cccc3)C,LON-WEI-4d77710c-12,,linker-isoquinoline  
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)NCC3CCCO3,LON-WEI-4d77710c-13,,linker-isoquinoline  
Cn1cc(c2ccccc2c1=O)NC(=O)Nc3ccc(cc3OC)OC,LON-WEI-4d77710c-18,,linker-isoquinoline  
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)NCCc3c[nH]c4c3cccc4,LON-WEI-4d77710c-20,,linker-isoquinoline  
Cc1cccnc1NC(=O)Nc2cn(c(=O)c3c2cccc3)CC(C)C,LON-WEI-4d77710c-21,,linker-isoquinoline  
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)Nc3cccnc3,LON-WEI-4d77710c-22,,linker-isoquinoline  
Cn1cc(c2ccccc2c1=O)NC(=O)Nc3cccc(c3)C(F)(F)F,LON-WEI-4d77710c-23,,linker-isoquinoline  
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)NC3CCCCCC3,LON-WEI-4d77710c-27,,linker-isoquinoline  
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)NCc3cc(ccc3OC)OC,LON-WEI-4d77710c-28,,linker-isoquinoline  
CCOC(=O)Cc1csc(n1)NC(=O)Nc2cn(c(=O)c3c2cccc3)CC(C)C,LON-WEI-4d77710c-29,,linker-isoquinoline  
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)Nc3nc4ccccc4s3,LON-WEI-4d77710c-30,,linker-isoquinoline  
CC1c2cc(c(cc2CCN1C(=O)Nc3cn(c(=O)c4c3cccc4)C)OC)OC,LON-WEI-4d77710c-33,,linker-isoquinoline  
Cc1cc(c(cc1Cl)OC)NC(=O)Nc2cn(c(=O)c3c2cccc3)C,LON-WEI-4d77710c-36,,linker-isoquinoline  
CCN(CC)S(=O)(=O)c1ccc(cc1)NC(=O)Nc2cn(c(=O)c3c2cccc3)C,LON-WEI-4d77710c-37,,linker-isoquinoline  
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)NCCC3=CCCCC3,LON-WEI-4d77710c-40,,linker-isoquinoline  
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)NC3CCCc4c3cccc4,LON-WEI-4d77710c-42,,linker-isoquinoline  
Cc1cc(c(cc1Cl)OC)NC(=O)Nc2cn(c(=O)c3c2cccc3)CC(C)C,LON-WEI-4d77710c-43,,linker-isoquinoline  
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)NCCc3cc(ccc3OC)OC,LON-WEI-4d77710c-48,,linker-isoquinoline  
Cn1cc(c2ccccc2c1=O)NC(=O)NCc3ccccn3,LON-WEI-4d77710c-49,,linker-isoquinoline  
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)N3CCCN(C3)Cc4ccccc4F,LON-WEI-4d77710c-53,,linker-isoquinoline  
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)NCc3ccc4c(c3)OCO4,LON-WEI-4d77710c-55,,linker-isoquinoline  
CC(C)Cn1cc(c2ccccc2c1=O)NC(=O)Nc3ccsc3C(=O)OC,LON-WEI-4d77710c-56,,linker-isoquinoline  
