SMILES,CID,canonical_CID,r_inhibition_at_20_uM,r_inhibition_at_50_uM,r_avg_IC50,f_inhibition_at_20_uM,f_inhibition_at_50_uM,f_avg_IC50,f_avg_pIC50,relative_solubility_at_20_uM,relative_solubility_at_100_uM,trypsin_IC50,NMR_std_ratio,acrylamide,chloroacetamide,series,frag_id
CCN(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,KHR-WEI-75c61062-1,KHR-WEI-75c61062-1,,,,,,99.5,,,,,,False,False,Ugi,
CN(C(=O)c1ccco1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,KHR-WEI-75c61062-2,KHR-WEI-75c61062-2,,,,,,99.5,,,,,,False,False,Ugi,
O=C(c1cncc2ccccc12)N1CCN(c2cccc(Cl)c2)CC1,MAT-POS-54c4bf04-3,MAT-POS-54c4bf04-3,,,0.833229685585151,,,1.60457755961468,5.79463928579903,,,,,False,False,,
CC1CN(C(=O)c2cc(=O)[nH]c3ccccc23)CCN1c1cccc(Cl)c1,MAT-POS-54c4bf04-4,MAT-POS-54c4bf04-4,,,99.0,,,14.7443805057112,4.83137346988079,,,,,False,False,quinolones,
O=C(Cc1cncc2ccccc12)N1CCOc2ccc(Cl)cc21,JOH-UNI-ea1df7a8-1,JOH-UNI-ea1df7a8-1,,,3.65576605228134,,,6.04725234461936,5.21844190842579,,,,,False,False,3-aminopyridine-like,
COc1cc(Cl)cc2c1OCC[C@@H]2C(=O)Nc1cncc2ccccc12,MAT-POS-43fe65f4-1,MAT-POS-43fe65f4-1,,,10.2038220799419,,,,,,,,,False,False,3-aminopyridine-like,
Cc1ccc(N(Cc2cscn2)C(=O)Cc2cncc3ccccc23)cc1,ALP-POS-c3a96089-1,ALP-POS-c3a96089-1,,,13.6386181800297,,,8.08866515254016,5.09212314275334,,,,,False,False,3-aminopyridine-like,
CCC(=O)Nc1ccc(N(Cc2ccccc2)C(=O)n2nnc3ccccc32)cc1,ALP-POS-a1bdc92a-1,ALP-POS-a1bdc92a-1,,,99.0,,,99.5,,,,,,False,False,,
O=C(Cc1cncc2ccccc12)Nc1cccc(Cl)c1,PET-UNK-8922bd3c-1,PET-UNK-8922bd3c-1,,,7.20093069658843,,,6.47075796400635,5.18904484447733,,,,,False,False,3-aminopyridine-like,
O=C(Nc1cncc2ccccc12)C1CCOc2c(O)ccc(Cl)c21,ALP-UNI-4b8a177c-1,ALP-UNI-4b8a177c-1,,,99.0,,,99.5,,,,,,False,False,3-aminopyridine-like,
O=C(Nc1c[nH]c(=O)c2ccccc12)C1CCOc2ccc(Cl)cc21,JOH-UNI-f51e3bbc-1,JOH-UNI-f51e3bbc-1,,,83.7227319714572,,,99.5,,,,,,False,False,3-aminopyridine-like,
O=C1CC(C(=O)Nc2cncc3ccccc23)c2cc(Br)ccc2N1,MAT-POS-8d5af1ef-1,MAT-POS-8d5af1ef-1,,,1.12199394314129,,,1.12287772417431,5.949667533683,,,,,False,False,3-aminopyridine-like,
Cc1cc(C(F)(F)F)nc2c1c(N)nn2C(=O)C1CCOc2ccc(Cl)cc21,ALP-POS-6495d03e-6,ALP-POS-6495d03e-6,,,57.7859847477592,,,99.5,,,,,,False,False,,
Nc1nn(C(=O)Cc2cccc(Cl)c2)c2cccnc12,ALP-POS-6495d03e-7,ALP-POS-6495d03e-7,,,99.0,,,99.5,,,,,,False,False,,
COc1ccc2c(N)nn(C(=O)C3CCOc4ccc(Cl)cc43)c2c1,ALP-POS-79636100-2,ALP-POS-79636100-2,,,62.0900509520026,,,,,,,,,False,False,,
Cc1cc(C(F)(F)F)nc2c1c(N)nn2C(=O)Cc1cccc(Cl)c1,ALP-POS-79636100-3,ALP-POS-79636100-3,,,99.0,,,99.5,,,,,,False,False,,
C=CC(=O)N(c1ccc(I)cc1)C(C(=O)Nc1ccc(Cl)cc1)c1cncnc1,ALP-POS-568d9d36-1,ALP-POS-568d9d36-1,,,2.752391386984,,,26.2744066398215,4.5804670829481,,,,,True,False,Ugi,
Nc1nn(C(=O)Cc2cccc(Cl)c2)c2cc(F)ccc12,ALP-POS-902f21bb-1,ALP-POS-902f21bb-1,,,99.0,,,99.5,,,,,,False,False,,
Nc1nn(C(=O)C2CCOc3ccc(Cl)cc32)c2ccncc12,ALP-POS-902f21bb-2,ALP-POS-902f21bb-2,,,95.2435080436778,,,87.1704808920427,4.05963055814208,,,,,False,False,,
CC(=O)c1ccccc1C(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,ALP-POS-02c6a514-6,ALP-POS-02c6a514-6,,,,,,99.5,,,,,,False,False,,
CC(C)(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2snc3ccccc23)cc1,ALP-POS-02c6a514-9,ALP-POS-02c6a514-9,,,,,,5.33429769001942,5.27292275138983,,,,,False,False,,
Nc1ccc2[nH]c(C(=O)N(C(=O)c3ccco3)C(C(=O)NCCc3cccc(F)c3)c3cccnc3)cc2c1,ALP-POS-02c6a514-10,ALP-POS-02c6a514-10,,,,,,99.5,,,,,,False,False,Ugi,
CC(C)(C)c1ccc(N(C(=O)c2ccccc2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-POS-02c6a514-11,ALP-POS-02c6a514-11,,,,,,99.5,,,,,,False,False,Ugi,
COc1cncc(C(C(=O)NCCc2cccc(F)c2)N(C(=O)c2ccco2)c2ccc(C(C)(C)C)cc2)c1C,ALP-POS-02c6a514-13,ALP-POS-02c6a514-13,,,,,,99.5,,,,,,False,False,Ugi,
CC(C)(C)c1ccc(N(C(=O)C2CCCO2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-POS-02c6a514-17,ALP-POS-02c6a514-17,,,,,,5.56195529503814,5.25477250615799,,,,,False,False,Ugi,
CC(C)(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2coc3ccccc23)cc1,ALP-POS-02c6a514-19,ALP-POS-02c6a514-19,,,,,,99.5,,,,,,False,False,Ugi,
Cn1cncc1C(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,ALP-POS-02c6a514-22,ALP-POS-02c6a514-22,,,,,,99.5,,,,,,False,False,Ugi,
CC(C)(C)c1ccc(N(C(=O)c2ccncc2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-POS-02c6a514-26,ALP-POS-02c6a514-26,,,,,,99.5,,,,,,False,False,Ugi,
Cn1nc(C(C(=O)NCCc2cccc(F)c2)N(C(=O)c2ccco2)c2ccc(C(C)(C)C)cc2)c2ccccc21,ALP-POS-02c6a514-31,ALP-POS-02c6a514-31,,,,,,99.5,,,,,,False,False,,
CC(C)(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cncc3ccccc23)cc1,ALP-POS-02c6a514-32,ALP-POS-02c6a514-32,,,,,,0.402512793338854,6.39522031159879,,,,,False,False,Ugi,
CC(C)(C)c1ccc(N(C(=O)c2cccc(C#N)c2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-POS-02c6a514-33,ALP-POS-02c6a514-33,,,,,,99.5,,,,,,False,False,Ugi,
CC(C)(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2cnc3ccccn23)cc1,ALP-POS-02c6a514-34,ALP-POS-02c6a514-34,,,,,,37.4742492333521,4.42626705913555,,,,,False,False,Ugi,
COc1ccccc1C(=O)N(c1ccc(C(C)(C)C)cc1)C(C(=O)NCCc1cccc(F)c1)c1cccnc1,ALP-POS-02c6a514-40,ALP-POS-02c6a514-40,,,,,,99.5,,,,,,False,False,Ugi,
Cc1ccncc1C(C(=O)NCCc1cccc(F)c1)N(C(=O)c1ccco1)c1ccc(C(C)(C)C)cc1,ALP-POS-02c6a514-44,ALP-POS-02c6a514-44,,,,,,0.111945707146193,6.95099255593458,,,,,False,False,Ugi,
CC(C)(C)c1ccc(N(C(=O)c2cn3ccccc3n2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-POS-02c6a514-45,ALP-POS-02c6a514-45,,,,,,18.2038870169188,4.73983586862164,,,,,False,False,Ugi,
CC(C)(C)c1ccc(N(C(=O)c2ncc[nH]2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-POS-02c6a514-46,ALP-POS-02c6a514-46,,,,,,5.2855279530574,5.27691162602017,,,,,False,False,Ugi,
CC(C)(C)c1ccc(N(C(=O)c2ccco2)C(C(=O)NCCc2cccc(F)c2)c2n[nH]c3ccccc23)cc1,ALP-POS-02c6a514-48,ALP-POS-02c6a514-48,,,,,,99.5,,,,,,False,False,Ugi,
CC(C)(C)c1ccc(N(C(=O)c2nccs2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-POS-02c6a514-49,ALP-POS-02c6a514-49,,,,,,0.800298769007714,6.0967478511225,,,,,False,False,Ugi,
CC(C)(C)c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-POS-02c6a514-50,ALP-POS-02c6a514-50,,,,,,0.556690293129698,6.254386351312,,,,,False,False,Ugi,
