SMILES,ID,product_1,product_2,product_3,product_4
C#CCNC(=O)[C@H]1C[C@H]1C(=O)O,EN300-2526719,C#CCNC(=O)[C@H]1C[C@H]1C(=O)N[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCNC(=O)[C@H]1C[C@H]1C(=O)NC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCNC(=O)[C@H]1C[C@H]1C(=O)NCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCNC(=O)[C@H]1C[C@H]1C(=O)NCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
C#CCN1CCC[C@H]1C(=O)O,EN300-70791,C#CCN1CCC[C@H]1C(=O)N[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCN1CCC[C@H]1C(=O)NC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCN1CCC[C@H]1C(=O)NCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCN1CCC[C@H]1C(=O)NCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
C#CCOCCOCCC(=O)O,EN300-7463690,C#CCOCCOCCC(=O)N[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCOCCOCCC(=O)NC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCOCCOCCC(=O)NCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCOCCOCCC(=O)NCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
C#CCN(C)CC=CC(=O)O,EN300-6760254,C#CCN(C)CC=CC(=O)N[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCN(C)CC=CC(=O)NC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCN(C)CC=CC(=O)NCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCN(C)CC=CC(=O)NCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
Cn1cc(C#CC(=O)O)cn1,EN300-1231224,Cn1cc(C#CC(=O)N[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)cn1,Cn1cc(C#CC(=O)NC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)cn1,Cn1cc(C#CC(=O)NCC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)cn1,Cn1cc(C#CC(=O)NCCC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)cn1
C#CCN(C)C(=O)[C@@H]1C[C@@H]1C(=O)O,EN300-2557626,C#CCN(C)C(=O)[C@@H]1C[C@@H]1C(=O)N[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCN(C)C(=O)[C@@H]1C[C@@H]1C(=O)NC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCN(C)C(=O)[C@@H]1C[C@@H]1C(=O)NCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCN(C)C(=O)[C@@H]1C[C@@H]1C(=O)NCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
C#C[C@H]1C[C@H]1C(=O)O,EN300-254137,C#C[C@H]1C[C@H]1C(=O)N[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#C[C@H]1C[C@H]1C(=O)NC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#C[C@H]1C[C@H]1C(=O)NCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#C[C@H]1C[C@H]1C(=O)NCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
CC1(C#CC(=O)O)COC1,EN300-1667047,CC1(C#CC(=O)N[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)COC1,CC1(C#CC(=O)NC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)COC1,CC1(C#CC(=O)NCC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)COC1,CC1(C#CC(=O)NCCC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)COC1
C#CCCOCC(=O)O,EN300-6948257,C#CCCOCC(=O)N[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCCOCC(=O)NC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCCOCC(=O)NCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCCOCC(=O)NCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
C#CCOCCOCC(=O)O,EN300-6963624,C#CCOCCOCC(=O)N[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCOCCOCC(=O)NC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCOCCOCC(=O)NCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCOCCOCC(=O)NCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
C#CCOCC(=O)O,EN300-106432,C#CCOCC(=O)N[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCOCC(=O)NC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCOCC(=O)NCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCOCC(=O)NCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
C#CC[C@]1(O)C[C@@H](C(=O)O)C1,EN300-1722372,C#CC[C@]1(O)C[C@@H](C(=O)N[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)C1,C#CC[C@]1(O)C[C@@H](C(=O)NC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)C1,C#CC[C@]1(O)C[C@@H](C(=O)NCC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)C1,C#CC[C@]1(O)C[C@@H](C(=O)NCCC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)C1
CN(C)C(=O)C#CC(=O)O,EN300-1588230,CN(C)C(=O)C#CC(=O)N[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CN(C)C(=O)C#CC(=O)NC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CN(C)C(=O)C#CC(=O)NCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CN(C)C(=O)C#CC(=O)NCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
C#CC1(O)CC(C(=O)O)C1,EN300-1177722,C#CC1(O)CC(C(=O)N[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)C1,C#CC1(O)CC(C(=O)NC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)C1,C#CC1(O)CC(C(=O)NCC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)C1,C#CC1(O)CC(C(=O)NCCC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)C1
O=C(O)C#CC1CCCO1,EN300-787409,O=C(C#CC1CCCO1)N[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,O=C(C#CC1CCCO1)NC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,O=C(C#CC1CCCO1)NCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,O=C(C#CC1CCCO1)NCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
C#CCN1CCC[C@H]1C(=O)O,EN300-295233,C#CCN1CCC[C@H]1C(=O)N[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCN1CCC[C@H]1C(=O)NC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCN1CCC[C@H]1C(=O)NCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCN1CCC[C@H]1C(=O)NCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
COCC#CC(=O)O,EN300-227022,COCC#CC(=O)N[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,COCC#CC(=O)NC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,COCC#CC(=O)NCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,COCC#CC(=O)NCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
