SMILES,TITLE,intermediate
c1ccc2c(c1)cncc2NC(=O)C3CCOc4c3cc(cc4)Cl,VLA-UCB-1dbca3b4-15,benzopyran-isoquinoline-scaffold
c1ccc2c(c1)cncc2N3C(=O)[C@@]4(CCOc5c4cc(cc5)Cl)NC3=O,VLA-UCB-34f3ed0c-11,C0_amine
CO[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,PET-UNK-29afea89-2,C0_alcohol
c1ccc2c(c1)cncc2N3C(=O)[C@@]4(CCOc5c4cc(cc5)Cl)CNC3=O,VLA-UCB-34f3ed0c-12,C1_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)COCCO,EN300-21258_2,C1_alcohol
CC(=O)NCC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-18074_3,C2_amine
COCC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EDJ-MED-28ec730d-2,C2_alcohol
CC(=O)NCCC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-18074_4,C3_amine
COCCC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EDJ-MED-28ec730d-1,C3_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCC(=O)O,JAG-UCB-706446eb-3,C3_acid
c1ccc2c(c1)cncc2NC(=O)C3CCOc4c3cc(cc4)Cl,MAT-POS-f7918075-1,benzopyran-isoquinoline-scaffold
CC(=O)N[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-18074_1,C0_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)OCCO,EN300-21258_1,C0_alcohol
CC(=O)NC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-18074_2,C1_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)COCCCO,EN300-221518_2,C1_alcohol
C#CCNC(=O)C[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-21409_1,C2_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCOCCO,EN300-21258_3,C2_alcohol
C#CCNC(=O)CC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-21409_2,C3_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCCOCCO,EN300-21258_4,C3_alcohol
CCOC(=O)CC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,JAG-UCB-706446eb-4,C3_acid
c1ccc2c(c1)cncc2NC(=O)C3CCOc4c3cc(cc4)Br,MAT-POS-11b63608-1,benzopyran-isoquinoline-scaffold
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)NC(=O)CO,EN300-19242_1,C0_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)OCCCO,EN300-221518_1,C0_alcohol
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CNC(=O)CO,EN300-19242_2,C1_amine
CC(CO)OC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-175186_2,C1_alcohol
C#CCNC(=O)C[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-21409_1,C2_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCOCCCO,EN300-221518_3,C2_alcohol
C#CCNC(=O)CC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-21409_2,C3_amine
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCCOCCCO,EN300-221518_4,C3_alcohol
CN(c1cncc2c1cccc2)C(=O)C3CCOc4c3cccc4,MAK-UNK-3875bbc8-3,benzopyran-isoquinoline-scaffold
COCC(=O)N[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-20233_1,C0_amine
CC(CO)O[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-175186_1,C0_alcohol
COCC(=O)NC[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EN300-20233_2,C1_amine
