SMILES,ID,product_1,product_2,product_3,product_4
OCC#CCBr,EN300-83766,O=C(Nc1cncc2ccccc12)[C@]1(OCC#CCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(COCC#CCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCOCC#CCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCCOCC#CCO)CCOc2ccc(Cl)cc21
C#CCNC(=O)CI,EN300-1659582,C#CCNC(=O)CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCNC(=O)COC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCNC(=O)COCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCNC(=O)COCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
C#CCNC(=O)CBr,EN300-129190,C#CCNC(=O)CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCNC(=O)COC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCNC(=O)COCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCNC(=O)COCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
C#CCNC(=O)C(C)Cl,EN300-28020,C#CCNC(=O)C(C)O[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCNC(=O)C(C)OC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCNC(=O)C(C)OCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCNC(=O)C(C)OCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
C#CCN1CCN(C(=O)CCl)CC1,EN300-97004,C#CCN1CCN(C(=O)CO[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1,C#CCN1CCN(C(=O)COC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1,C#CCN1CCN(C(=O)COCC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1,C#CCN1CCN(C(=O)COCCC[C@@]2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)CC1
C#CCNC(=O)CCl,EN300-23138,C#CCNC(=O)CO[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCNC(=O)COC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCNC(=O)COCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,C#CCNC(=O)COCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
OCCOCCOCCOCCCl,EN300-7463738,O=C(Nc1cncc2ccccc12)[C@]1(OCCOCCOCCOCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(COCCOCCOCCOCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCOCCOCCOCCOCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCCOCCOCCOCCOCCO)CCOc2ccc(Cl)cc21
OCCCI,EN300-221518,O=C(Nc1cncc2ccccc12)[C@]1(OCCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(COCCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCOCCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCCOCCCO)CCOc2ccc(Cl)cc21
OCCOCCOCCCl,EN300-134537,O=C(Nc1cncc2ccccc12)[C@]1(OCCOCCOCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(COCCOCCOCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCOCCOCCOCCO)CCOc2ccc(Cl)cc21,O=C(Nc1cncc2ccccc12)[C@]1(CCCOCCOCCOCCO)CCOc2ccc(Cl)cc21
CC(Br)CO,EN300-175186,CC(CO)O[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CC(CO)OC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CC(CO)OCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,CC(CO)OCCC[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21
