SMILES,CID,canonical_CID,r_inhibition_at_20_uM,r_inhibition_at_50_uM,r_avg_IC50,f_inhibition_at_20_uM,f_inhibition_at_50_uM,f_avg_IC50,f_avg_pIC50,relative_solubility_at_20_uM,relative_solubility_at_100_uM,trypsin_IC50,NMR_std_ratio,acrylamide,chloroacetamide,series,frag_id
CC(C)(C)OC(=O)NC(CCO)CNCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,MAT-POS-61f37a1a-1,MAT-POS-61f37a1a-1,,,,,,2.16806118314178,,,,,,False,False,,
O=C(Nc1cncc2ccccc12)C1CN(S(=O)(=O)[C@@H]2CCC[C@H]2O)Cc2ccc(Cl)cc21,MAT-POS-61f37a1a-2,MAT-POS-61f37a1a-2,,,,,,0.128710271541469,,,,,,False,False,3-aminopyridine-like,
O=C1c2ccccc2C(=O)N1CCNCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,MAT-POS-61f37a1a-3,MAT-POS-61f37a1a-3,,,,,,14.2891089719782,,,,,,False,False,3-aminopyridine-like,
Cn1nnc(CNC(=O)OC(C)(C)C)c1CNCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,MAT-POS-61f37a1a-4,MAT-POS-61f37a1a-4,,,,,,3.48592645678533,,,,,,False,False,,
Cn1cc(CN2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccc(F)cc34)C2)nn1,MAT-POS-61f37a1a-5,MAT-POS-61f37a1a-5,,,,,,0.913656434755311,,,,,,False,False,3-aminopyridine-like,
COc1cc(CNCC2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)cc(OC)c1OCC(N)=O,MAT-POS-61f37a1a-6,MAT-POS-61f37a1a-6,,,,,,12.0979597416791,,,,,,False,False,,
O=C(Nc1cncc2ccccc12)C1(CNCc2cn(CC3CCOC3)nn2)CCOc2ccc(Cl)cc21,MAT-POS-61f37a1a-7,MAT-POS-61f37a1a-7,,,,,,5.97631044991689,,,,,,False,False,3-aminopyridine-like,
Cc1nn(C)c(N2CCOCC2)c1CNCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,MAT-POS-61f37a1a-8,MAT-POS-61f37a1a-8,,,,,,9.57419130718763,,,,,,False,False,,
O=C(Nc1cncc2ccccc12)C1(CNCc2cnc(N3CCOCC3)nc2)CCOc2ccc(Cl)cc21,MAT-POS-61f37a1a-9,MAT-POS-61f37a1a-9,,,,,,14.3306861035561,,,,,,False,False,3-aminopyridine-like,
COC(=O)c1cnc(Cn2ccc(CNCC3(C(=O)Nc4cncc5ccccc45)CCOc4ccc(Cl)cc43)n2)cn1,MAT-POS-61f37a1a-10,MAT-POS-61f37a1a-10,,,,,,3.08902746566604,,,,,,False,False,,
COC(=O)CCc1nocc1CNCC1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,MAT-POS-61f37a1a-11,MAT-POS-61f37a1a-11,,,,,,2.51404313875924,,,,,,False,False,3-aminopyridine-like,
N#CCN1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3ccccc23)C1,MAT-POS-61f37a1a-12,MAT-POS-61f37a1a-12,,,,,,0.334993360882362,,,,,,False,False,3-aminopyridine-like,
Cc1nc(CN2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccc(F)cc34)C2)c[nH]1,MAT-POS-61f37a1a-13,MAT-POS-61f37a1a-13,,,,,,0.306662404548456,,,,,,False,False,3-aminopyridine-like,
O=C1NC2(COc3ccc(Cl)cc32)C(=O)N1c1cncc2ccc(F)cc12,MAT-POS-61f37a1a-14,MAT-POS-61f37a1a-14,,,,,,1.38413747648093,,,,,,False,False,3-aminopyridine-like,
Cn1c(CNCC2(C(=O)Nc3cncc4ccccc34)CCOc3ccc(Cl)cc32)nc2c1c(=O)[nH]c(=O)n2C,MAT-POS-61f37a1a-15,MAT-POS-61f37a1a-15,,,,,,99.5,,,,,,False,False,,
[2H]C([2H])([2H])O[C@@]1(C(=O)Nc2cncc3ccccc23)CCOc2ccc(Cl)cc21,PET-UNK-bcc8fd08-1,PET-UNK-bcc8fd08-1,,,0.174060810048715,,,0.083964088266327,,,,,,False,False,3-aminopyridine-like,
[2H]C([2H])([2H])O[C@@]1(C(=O)Nc2cncc3ccc(F)cc23)CCOc2ccc(Cl)cc21,PET-UNK-bcc8fd08-2,PET-UNK-bcc8fd08-2,,,,,,0.096783696822964,,,,,,False,False,3-aminopyridine-like,
Cn1cc(N2CCC(CNCC3(C(=O)Nc4cncc5ccccc45)CCOc4ccc(Cl)cc43)C2)cn1,MAT-POS-5f1400cf-1,MAT-POS-5f1400cf-1,,,,,,5.37454760386402,,,,,,False,False,3-aminopyridine-like,
