SMILES,TITLE,scaffold
c1ccc2c(c1)cncc2NC(=O)[C@@H]3CCOc4c3cc(cc4)Cl,VLA-UCB-1dbca3b4-15_1,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)[C@H]3c4cc(ccc4OCC3=O)Cl,VLA-UCB-1dbca3b4-16_1,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)[C@@H]3CCOc4c3cc(cc4)Cl,MAT-POS-f7918075-1_1,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)[C@@H]3CCOc4c3cc(cc4)Cl,MAT-POS-b3e365b9-1_1,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)[C@@H]3CCOc4c3cc(cc4)Br,MAT-POS-11b63608-1_1,P2-linker-isoquinoline
C[C@@H]1C[C@H](c2cc(ccc2O1)Cl)C(=O)Nc3cncc4c3cccc4,EDJ-MED-e4b030d8-2_1,P2-linker-isoquinoline
C[C@H]1C[C@H](c2cc(ccc2O1)Cl)C(=O)Nc3cncc4c3cccc4,EDJ-MED-e4b030d8-3_1,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)[C@@H]3CCOc4c3cc(cc4OC5COC5)Cl,EDJ-MED-e4b030d8-4_1,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)[C@@H]3CCOc4c3cc(cc4C5COC5)Cl,EDJ-MED-e4b030d8-5_1,P2-linker-isoquinoline
CCC[C@H]1COc2ccc(cc2[C@@H]1C(=O)Nc3cncc4c3cccc4)Cl,EDJ-MED-e4b030d8-6_1,P2-linker-isoquinoline
COc1cc(cc2c1OCC[C@H]2C(=O)Nc3cncc4c3cccc4)Cl,EDJ-MED-e4b030d8-7_1,P2-linker-isoquinoline
Cc1c(ccc2c1[C@@H](CCO2)C(=O)Nc3cncc4c3cccc4)Cl,EDJ-MED-e4b030d8-8_1,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)[C@@H]3CCOc4c3c(c(cc4)Cl)Cl,EDJ-MED-e4b030d8-10_1,P2-linker-isoquinoline
C[C@H]1COc2ccc(cc2[C@@H]1C(=O)Nc3cncc4c3cccc4)Cl,EDJ-MED-e4b030d8-11_1,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)[C@@H]3CCCc4c3cc(cc4)Cl,ALP-POS-477dc5b7-1_1,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)[C@@H]3CCNc4c3cc(cc4)Cl,ALP-POS-477dc5b7-2_1,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)[C@@H]3CCOc4c3cc(cc4)C#N,DAR-DIA-6a508060-3_1,P2-linker-isoquinoline
COc1cc(cc2c1OCC[C@H]2C(=O)Nc3cncc4c3cccc4)Cl,DAR-DIA-6a508060-4_1,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)[C@@H]3CCOc4c3cc(cc4C[C@@H]5CC(=O)N5)Cl,DAR-DIA-6a508060-5_1,P2-linker-isoquinoline
