SMILES,TITLE,scaffold
CC1(c2cc(ccc2OCC1=O)Cl)C(=O)Nc3cncc4c3cccc4,VLA-UCB-1dbca3b4-14,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)C3CCOc4c3cc(cc4)Cl,VLA-UCB-1dbca3b4-15,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)C3c4cc(ccc4OCC3=O)Cl,VLA-UCB-1dbca3b4-16,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)C3CCOc4c3cc(cc4)Cl,MAT-POS-f7918075-1,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)[C@@H]3CCOc4c3cc(cc4)Cl,MAT-POS-b3e365b9-1,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)[C@H]3CCOc4c3cc(cc4)Cl,MAT-POS-b3e365b9-2,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)C3CCOc4c3cc(cc4)Br,MAT-POS-11b63608-1,P2-linker-isoquinoline
C[C@@]1(c2cc(ccc2OCC1=O)Cl)C(=O)Nc3cncc4c3cccc4,EDJ-MED-e4b030d8-1,P2-linker-isoquinoline
C[C@@H]1C[C@H](c2cc(ccc2O1)Cl)C(=O)Nc3cncc4c3cccc4,EDJ-MED-e4b030d8-2,P2-linker-isoquinoline
C[C@H]1C[C@H](c2cc(ccc2O1)Cl)C(=O)Nc3cncc4c3cccc4,EDJ-MED-e4b030d8-3,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)[C@@H]3CCOc4c3cc(cc4OC5COC5)Cl,EDJ-MED-e4b030d8-4,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)[C@@H]3CCOc4c3cc(cc4C5COC5)Cl,EDJ-MED-e4b030d8-5,P2-linker-isoquinoline
CCC[C@H]1COc2ccc(cc2[C@@H]1C(=O)Nc3cncc4c3cccc4)Cl,EDJ-MED-e4b030d8-6,P2-linker-isoquinoline
COc1cc(cc2c1OCC[C@H]2C(=O)Nc3cncc4c3cccc4)Cl,EDJ-MED-e4b030d8-7,P2-linker-isoquinoline
Cc1c(ccc2c1[C@@H](CCO2)C(=O)Nc3cncc4c3cccc4)Cl,EDJ-MED-e4b030d8-8,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)[C@@H]3CCOc4c3c(c(cc4)Cl)Cl,EDJ-MED-e4b030d8-10,P2-linker-isoquinoline
C[C@H]1COc2ccc(cc2[C@@H]1C(=O)Nc3cncc4c3cccc4)Cl,EDJ-MED-e4b030d8-11,P2-linker-isoquinoline
C[C@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,EDJ-MED-e4b030d8-13,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)C3CCCc4c3cc(cc4)Cl,ALP-POS-477dc5b7-1,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)C3CCNc4c3cc(cc4)Cl,ALP-POS-477dc5b7-2,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)C3(CCOc4c3cc(cc4)Cl)CCC5CC5,ALP-POS-477dc5b7-3,P2-linker-isoquinoline
c1ccc2c(c1)cncc2N3CCC4(C3=O)CCOc5c4cc(cc5)Cl,ALP-POS-477dc5b7-4,P2-linker-isoquinoline
c1ccc2c(c1)cncc2N3CCCC4(C3=O)CCOc5c4cc(cc5)Cl,ALP-POS-477dc5b7-5,P2-linker-isoquinoline
C[C@@]1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,MAT-POS-8e4737f4-1,P2-linker-isoquinoline
CC(=O)N(c1cncc2c1cccc2)C(=O)[C@H]3CCOc4c3cc(cc4)Cl,VLA-UCB-05e51b3f-4,P2-linker-isoquinoline
c1ccc2c(c1)cncc2N3C(=O)C[C@]4(C3=O)CCOc5c4cc(cc5)Cl,VLA-UCB-05e51b3f-5,P2-linker-isoquinoline
c1ccc2c(c1)cncc2N3C(=O)CC[C@]4(C3=O)CCOc5c4cc(cc5)Cl,VLA-UCB-05e51b3f-6,P2-linker-isoquinoline
CC(=O)N1CCN(CC1)CC(=O)N(c2cncc3c2cccc3)C(=O)[C@H]4CCOc5c4cc(cc5)Cl,VLA-UCB-05e51b3f-7,P2-linker-isoquinoline
c1ccc2c(c1)cncc2N(C(=O)CCl)C(=O)[C@H]3CCOc4c3cc(cc4)Cl,VLA-UCB-05e51b3f-9,P2-linker-isoquinoline
C=CC(=O)N(c1cncc2c1cccc2)C(=O)[C@H]3CCOc4c3cc(cc4)Cl,VLA-UCB-05e51b3f-10,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)[C@H]3CCOc4c3cc(cc4OC5CC(=O)N5)Cl,VLA-UCB-05e51b3f-11,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)[C@]3(CCOc4c3cc(cc4OC5CC(=O)N5)Cl)CCC6CCCCC6,VLA-UCB-05e51b3f-12,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)[C@]3(CCOc4c3cc(cc4)Cl)CCC5CCCCC5,VLA-UCB-05e51b3f-13,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)C3CCOc4c3cc(cc4)C#N,DAR-DIA-6a508060-3,P2-linker-isoquinoline
COc1cc(cc2c1OCCC2C(=O)Nc3cncc4c3cccc4)Cl,DAR-DIA-6a508060-4,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)C3CCOc4c3cc(cc4CC5CC(=O)N5)Cl,DAR-DIA-6a508060-5,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)C3CCOc4c3cc(cc4)C5CC5,DAR-DIA-6a508060-8,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)C3(CCOc4c3cc(cc4)Cl)CCC5CCCCC5,DAR-DIA-6a508060-9,P2-linker-isoquinoline
CC1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,DAR-DIA-6a508060-10,P2-linker-isoquinoline
CS(=O)(=O)NCCC1(CCOc2c1cc(cc2)Cl)C(=O)Nc3cncc4c3cccc4,DAR-DIA-6a508060-13,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)C3CCN(c4c3cc(cc4)Cl)Cc5cnc[nH]5,ALP-UNI-b33a865d-1,P2-linker-isoquinoline
CC1CC(c2cc(ccc2O1)Cl)C(=O)Nc3cncc4c3cccc4,MAT-POS-8a69d52e-1,P2-linker-isoquinoline
C[C@@H]1C[C@@H](c2cc(ccc2O1)Cl)C(=O)Nc3cncc4c3cccc4,MAT-POS-8a69d52e-2,P2-linker-isoquinoline
C[C@H]1C[C@@H](c2cc(ccc2O1)Cl)C(=O)Nc3cncc4c3cccc4,MAT-POS-8a69d52e-3,P2-linker-isoquinoline
CC1COc2ccc(cc2C1C(=O)Nc3cncc4c3cccc4)Cl,MAT-POS-8a69d52e-4,P2-linker-isoquinoline
C[C@H]1COc2ccc(cc2[C@H]1C(=O)Nc3cncc4c3cccc4)Cl,MAT-POS-8a69d52e-5,P2-linker-isoquinoline
C[C@@H]1COc2ccc(cc2[C@H]1C(=O)Nc3cncc4c3cccc4)Cl,MAT-POS-8a69d52e-6,P2-linker-isoquinoline
C[C@@H]1COc2ccc(cc2[C@@H]1C(=O)Nc3cncc4c3cccc4)Cl,MAT-POS-8a69d52e-7,P2-linker-isoquinoline
C[C@@H]1COc2ccc(cc2[C@H]1C(=O)Nc3cncc4c3cccc4)Cl,BRU-THA-01b12488-1,P2-linker-isoquinoline
CC(=O)N(c1cncc2c1cccc2)C(=O)[C@@H]3CCOc4c3cc(cc4)Cl,VLA-UCB-50c39ae8-1,P2-linker-isoquinoline
c1ccc2c(c1)cncc2N3C(=O)C[C@@]4(C3=O)CCOc5c4cc(cc5)Cl,VLA-UCB-50c39ae8-2,P2-linker-isoquinoline
c1ccc2c(c1)cncc2N3C(=O)CC[C@@]4(C3=O)CCOc5c4cc(cc5)Cl,VLA-UCB-50c39ae8-3,P2-linker-isoquinoline
CC(=O)N1CCN(CC1)CC(=O)N(c2cncc3c2cccc3)C(=O)[C@@H]4CCOc5c4cc(cc5)Cl,VLA-UCB-50c39ae8-4,P2-linker-isoquinoline
c1ccc2c(c1)cncc2N(C(=O)CCl)C(=O)[C@@H]3CCOc4c3cc(cc4)Cl,VLA-UCB-50c39ae8-6,P2-linker-isoquinoline
C=CC(=O)N(c1cncc2c1cccc2)C(=O)[C@@H]3CCOc4c3cc(cc4)Cl,VLA-UCB-50c39ae8-7,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)[C@@H]3CCOc4c3cc(cc4OC5CC(=O)N5)Cl,VLA-UCB-50c39ae8-8,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4OC5CC(=O)N5)Cl)CCC6CCCCC6,VLA-UCB-50c39ae8-9,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)[C@@]3(CCOc4c3cc(cc4)Cl)CCC5CCCCC5,VLA-UCB-50c39ae8-10,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)[C@H]3CCOc4c3cc(cc4Cl)OC5CC(=O)N5,FRA-DIA-b66f7109-3,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)[C@H]3CCNc4c3cc(cc4Cl)OC5CC(=O)N5,FRA-DIA-b66f7109-4,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)[C@@H]3CCOc4c3cc(cc4OC5CCC6(N5)CCC6)Cl,DAR-DIA-23e5a6a0-1,P2-linker-isoquinoline
c1ccc2c(c1)cncc2NC(=O)[C@@H]3CCOc4c3cc(cc4OC5CC6(N5)CCC6)Cl,DAR-DIA-23e5a6a0-2,P2-linker-isoquinoline
