SMILES,TITLE,CID,SMILES,RUN,DDG (kcal/mol),dDDG (kcal/mol)
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCC[N@H+]3CCOC[C@H]3C,EN300-170738,EN300-170738,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCC[N@H+]3CCOC[C@@H]3C,RUN3598,-4.21,0.19
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3coc(n3)C4CCCCC4,EN300-382173,EN300-382173,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3coc(n3)C4CCCCC4,RUN176,-2.94,0.11
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCC([CH2-])c3csc(n3)C(C)C,EN300-1920731,EN300-1920731,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCC(=C)c3csc(n3)C(C)C,RUN4616,-2.41,0.30
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCC(=O)N3CC[C@@]4([C@H]3CCC4)CO,EN300-718949,EN300-718949,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCC(=O)N3CC[C@]4([C@H]3CCC4)CO,RUN3613,-2.18,0.17
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3nc(no3)C,EN300-185424,EN300-185424,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3nc(no3)C,RUN1591,-1.72,0.09
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3cn[nH]c3c4ccccc4,EN300-1863798,EN300-1863798,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3cn[nH]c3c4ccccc4,RUN1112,-1.44,0.13
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3nnc(o3)C4CCCCC4,EN300-1266528,EN300-1266528,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3nnc(o3)C4CCCCC4,RUN88,-1.37,0.13, similar to EN300-382173
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3ccc(o3)[C@H]4C[C@@H]4C,EN300-1940535,EN300-1940535,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3ccc(o3)[C@H]4C[C@H]4C,RUN106,-1.37,0.12
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3cnc(o3)[C@H]4C[C@@H]4C,EN300-330332,EN300-330332,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCc3cnc(o3)[C@H]4C[C@H]4C,RUN324,-1.35,0.12
Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCC(=O)Nc3c(cc(cn3)N)OC,EN300-377745,EN300-377745,Cc1ccncc1NC(=O)Cc2cc(cc(c2)Cl)OCC(=O)Nc3c(cc(cn3)N)OC,RUN3338,-1.29,0.16
